model,layer,n,k,batch_size,input_tokens,output_tokens,m_prefill,m_decode,path,build_ms,conversion_ms,prefill_first_ms,prefill_steady_ms,decode_first_ms,decode_steady_ms,decode_x_n_steady_ms,runtime_only_steady_ms,runtime_first_inclusive_ms,e2e_with_build_or_conversion_steady_ms,e2e_with_build_or_conversion_first_inclusive_ms,canonical_build_ms,cutlass_materialize_ms,marlin_materialize_ms,wrapper_build_ms,lazy_prefill_materialization_in_first_ms,lazy_decode_materialization_in_first_ms
Qwen3.5-9B,language_model.layers.0.linear_attn.in_proj_qkv,8192,4096,1,16384,32,16384,1,sparse_bf16,941.216203,0.000000,41.656673,2.503875,45.697186,0.128890,4.124467,6.628342,91.349437,947.844546,1032.565640,,,,,,
Qwen3.5-9B,language_model.layers.0.linear_attn.in_proj_qkv,8192,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_explicit,117.098284,281.859175,2.965472,2.492605,2.041792,0.047126,1.508045,4.000650,6.468182,402.958109,405.425642,117.098284,87.510279,194.348896,,,
Qwen3.5-9B,language_model.layers.0.linear_attn.in_proj_qkv,8192,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_lazy_wrapper,2.160860,0.000000,2.714496,2.478624,1.245536,0.052310,1.673933,4.152557,5.581654,6.313417,7.742515,2.008813,,,0.152047,2.714496,1.245536
Qwen3.5-9B,language_model.layers.0.linear_attn.in_proj_z,4096,4096,1,16384,32,16384,1,sparse_bf16,88.719905,0.000000,39.706913,1.294922,38.257824,0.125690,4.022067,5.316989,81.861115,94.036894,170.581020,,,,,,
Qwen3.5-9B,language_model.layers.0.linear_attn.in_proj_z,4096,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_explicit,0.931180,1.568600,2.058880,1.997859,0.175936,0.043571,1.394278,3.392138,3.585523,5.891917,6.085303,0.931180,0.514928,1.053671,,,
Qwen3.5-9B,language_model.layers.0.linear_attn.in_proj_z,4096,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_lazy_wrapper,0.973126,0.000000,2.169280,1.999427,1.031456,0.051232,1.639424,3.638851,4.788928,4.611977,5.762054,0.872302,,,0.100824,2.169280,1.031456
Qwen3.5-9B,language_model.layers.0.mlp.gate_proj,12288,4096,1,16384,32,16384,1,sparse_bf16,94.342838,0.000000,41.593281,3.630326,37.634079,0.126051,4.033638,7.663965,83.134947,102.006803,177.477785,,,,,,
Qwen3.5-9B,language_model.layers.0.mlp.gate_proj,12288,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_explicit,2.994834,1.291999,2.987360,2.949155,0.107104,0.044710,1.430733,4.379888,4.480486,8.666721,8.767319,2.994834,0.190405,1.101593,,,
Qwen3.5-9B,language_model.layers.0.mlp.gate_proj,12288,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_lazy_wrapper,3.075346,0.000000,3.141664,2.954416,1.103776,0.051446,1.646285,4.600701,5.840278,7.676047,8.915625,2.986076,,,0.089270,3.141664,1.103776
Qwen3.5-9B,language_model.layers.0.mlp.down_proj,4096,12288,1,16384,32,16384,1,sparse_bf16,93.394190,0.000000,41.581375,3.618214,37.271809,0.217629,6.964122,10.582336,85.599676,103.976526,178.993867,,,,,,
Qwen3.5-9B,language_model.layers.0.mlp.down_proj,4096,12288,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_explicit,3.155568,1.270629,6.068832,5.729645,0.116576,0.043133,1.380250,7.109894,7.522525,11.536092,11.948722,3.155568,0.200986,1.069644,,,
Qwen3.5-9B,language_model.layers.0.mlp.down_proj,4096,12288,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_lazy_wrapper,3.119632,0.000000,5.897568,5.740291,1.055392,0.051798,1.657549,7.397840,8.558711,10.517472,11.678342,3.023143,,,0.096489,5.897568,1.055392
Qwen3.5-9B,language_model.layers.3.self_attn.q_proj,8192,4096,1,16384,32,16384,1,sparse_bf16,88.277384,0.000000,40.734142,2.466842,38.221409,0.124397,3.980698,6.447539,82.811852,94.724923,171.089236,,,,,,
Qwen3.5-9B,language_model.layers.3.self_attn.q_proj,8192,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_explicit,1.971500,1.220197,2.512608,2.472032,0.099200,0.043930,1.405747,3.877779,3.973626,7.069477,7.165323,1.971500,0.181705,1.038493,,,
Qwen3.5-9B,language_model.layers.3.self_attn.q_proj,8192,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_lazy_wrapper,2.076549,0.000000,2.674432,2.479318,1.088224,0.050896,1.628672,4.107990,5.340432,6.184539,7.416981,1.985033,,,0.091515,2.674432,1.088224
Qwen3.5-9B,language_model.layers.3.self_attn.o_proj,4096,4096,1,16384,32,16384,1,sparse_bf16,84.412912,0.000000,39.477856,1.296390,38.230751,0.128234,4.103475,5.399866,81.683848,89.812777,166.096760,,,,,,
Qwen3.5-9B,language_model.layers.3.self_attn.o_proj,4096,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_explicit,0.917702,1.555404,2.043584,1.995757,0.098016,0.043955,1.406566,3.402323,3.504211,5.875429,5.977317,0.917702,0.510895,1.044509,,,
Qwen3.5-9B,language_model.layers.3.self_attn.o_proj,4096,4096,1,16384,32,16384,1,dense_nvfp4_prefill_marlin_decode_lazy_wrapper,0.944726,0.000000,2.189344,2.000797,1.038880,0.051488,1.647616,3.648413,4.824352,4.593139,5.769078,0.854434,,,0.090293,2.189344,1.038880
