method,name,group,module_type,region,decode_step,m,input_shape,backend,elapsed_ms
sparse_bf16,language_model.layers.0.linear_attn.in_proj_qkv,linear_attn.in_proj_qkv,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.407423973083496
sparse_bf16,language_model.layers.0.linear_attn.in_proj_z,linear_attn.in_proj_z,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.3035520315170288
sparse_bf16,language_model.layers.0.linear_attn.in_proj_b,linear_attn.in_proj_b,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.13040000200271606
sparse_bf16,language_model.layers.0.linear_attn.in_proj_a,linear_attn.in_proj_a,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.12358400225639343
sparse_bf16,language_model.layers.0.linear_attn.out_proj,linear_attn.out_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.240064024925232
sparse_bf16,language_model.layers.0.mlp.gate_proj,mlp.gate_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5788800716400146
sparse_bf16,language_model.layers.0.mlp.up_proj,mlp.up_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5696640014648438
sparse_bf16,language_model.layers.0.mlp.down_proj,mlp.down_proj,QwenManualHybridLinear,prefill,,16384,1x16384x12288,sparse_bf16,3.5645439624786377
sparse_bf16,language_model.layers.1.linear_attn.in_proj_qkv,linear_attn.in_proj_qkv,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.4043519496917725
sparse_bf16,language_model.layers.1.linear_attn.in_proj_z,linear_attn.in_proj_z,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.2831039428710938
sparse_bf16,language_model.layers.1.linear_attn.in_proj_b,linear_attn.in_proj_b,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.11999999731779099
sparse_bf16,language_model.layers.1.linear_attn.in_proj_a,linear_attn.in_proj_a,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.12425599992275238
sparse_bf16,language_model.layers.1.linear_attn.out_proj,linear_attn.out_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.240064024925232
sparse_bf16,language_model.layers.1.mlp.gate_proj,mlp.gate_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5727360248565674
sparse_bf16,language_model.layers.1.mlp.up_proj,mlp.up_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.570688009262085
sparse_bf16,language_model.layers.1.mlp.down_proj,mlp.down_proj,QwenManualHybridLinear,prefill,,16384,1x16384x12288,sparse_bf16,3.565567970275879
sparse_bf16,language_model.layers.2.linear_attn.in_proj_qkv,linear_attn.in_proj_qkv,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.40230393409729
sparse_bf16,language_model.layers.2.linear_attn.in_proj_z,linear_attn.in_proj_z,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.2828480005264282
sparse_bf16,language_model.layers.2.linear_attn.in_proj_b,linear_attn.in_proj_b,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.11776000261306763
sparse_bf16,language_model.layers.2.linear_attn.in_proj_a,linear_attn.in_proj_a,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.11999999731779099
sparse_bf16,language_model.layers.2.linear_attn.out_proj,linear_attn.out_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.240064024925232
sparse_bf16,language_model.layers.2.mlp.gate_proj,mlp.gate_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.579904079437256
sparse_bf16,language_model.layers.2.mlp.up_proj,mlp.up_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5686399936676025
sparse_bf16,language_model.layers.2.mlp.down_proj,mlp.down_proj,QwenManualHybridLinear,prefill,,16384,1x16384x12288,sparse_bf16,3.5727360248565674
sparse_bf16,language_model.layers.3.self_attn.q_proj,self_attn.q_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.3992319107055664
sparse_bf16,language_model.layers.3.self_attn.k_proj,self_attn.k_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.3614720106124878
sparse_bf16,language_model.layers.3.self_attn.v_proj,self_attn.v_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.35839998722076416
sparse_bf16,language_model.layers.3.self_attn.o_proj,self_attn.o_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.240064024925232
sparse_bf16,language_model.layers.3.mlp.gate_proj,mlp.gate_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.57478404045105
sparse_bf16,language_model.layers.3.mlp.up_proj,mlp.up_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.570688009262085
sparse_bf16,language_model.layers.3.mlp.down_proj,mlp.down_proj,QwenManualHybridLinear,prefill,,16384,1x16384x12288,sparse_bf16,3.5778560638427734
sparse_bf16,language_model.layers.4.linear_attn.in_proj_qkv,linear_attn.in_proj_qkv,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.4145920276641846
sparse_bf16,language_model.layers.4.linear_attn.in_proj_z,linear_attn.in_proj_z,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.285856008529663
sparse_bf16,language_model.layers.4.linear_attn.in_proj_b,linear_attn.in_proj_b,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.11724799871444702
sparse_bf16,language_model.layers.4.linear_attn.in_proj_a,linear_attn.in_proj_a,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.1202239990234375
sparse_bf16,language_model.layers.4.linear_attn.out_proj,linear_attn.out_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.240064024925232
sparse_bf16,language_model.layers.4.mlp.gate_proj,mlp.gate_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.570688009262085
sparse_bf16,language_model.layers.4.mlp.up_proj,mlp.up_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5676159858703613
sparse_bf16,language_model.layers.4.mlp.down_proj,mlp.down_proj,QwenManualHybridLinear,prefill,,16384,1x16384x12288,sparse_bf16,3.56659197807312
sparse_bf16,language_model.layers.5.linear_attn.in_proj_qkv,linear_attn.in_proj_qkv,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.4043519496917725
sparse_bf16,language_model.layers.5.linear_attn.in_proj_z,linear_attn.in_proj_z,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.2805119752883911
sparse_bf16,language_model.layers.5.linear_attn.in_proj_b,linear_attn.in_proj_b,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.11872000247240067
sparse_bf16,language_model.layers.5.linear_attn.in_proj_a,linear_attn.in_proj_a,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.12390399724245071
sparse_bf16,language_model.layers.5.linear_attn.out_proj,linear_attn.out_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.240064024925232
sparse_bf16,language_model.layers.5.mlp.gate_proj,mlp.gate_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5778560638427734
sparse_bf16,language_model.layers.5.mlp.up_proj,mlp.up_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5624959468841553
sparse_bf16,language_model.layers.5.mlp.down_proj,mlp.down_proj,QwenManualHybridLinear,prefill,,16384,1x16384x12288,sparse_bf16,3.567647933959961
sparse_bf16,language_model.layers.6.linear_attn.in_proj_qkv,linear_attn.in_proj_qkv,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.3992319107055664
sparse_bf16,language_model.layers.6.linear_attn.in_proj_z,linear_attn.in_proj_z,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.2846720218658447
sparse_bf16,language_model.layers.6.linear_attn.in_proj_b,linear_attn.in_proj_b,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.11776000261306763
sparse_bf16,language_model.layers.6.linear_attn.in_proj_a,linear_attn.in_proj_a,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.12323199957609177
sparse_bf16,language_model.layers.6.linear_attn.out_proj,linear_attn.out_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.2400959730148315
sparse_bf16,language_model.layers.6.mlp.gate_proj,mlp.gate_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.571712017059326
sparse_bf16,language_model.layers.6.mlp.up_proj,mlp.up_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5686399936676025
sparse_bf16,language_model.layers.6.mlp.down_proj,mlp.down_proj,QwenManualHybridLinear,prefill,,16384,1x16384x12288,sparse_bf16,3.5645439624786377
sparse_bf16,language_model.layers.7.self_attn.q_proj,self_attn.q_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.40230393409729
sparse_bf16,language_model.layers.7.self_attn.k_proj,self_attn.k_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.35942399501800537
sparse_bf16,language_model.layers.7.self_attn.v_proj,self_attn.v_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,0.3563520014286041
sparse_bf16,language_model.layers.7.self_attn.o_proj,self_attn.o_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.2339199781417847
sparse_bf16,language_model.layers.7.mlp.gate_proj,mlp.gate_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.5778560638427734
sparse_bf16,language_model.layers.7.mlp.up_proj,mlp.up_proj,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,3.6126720905303955
sparse_bf16,language_model.layers.7.mlp.down_proj,mlp.down_proj,QwenManualHybridLinear,prefill,,16384,1x16384x12288,sparse_bf16,3.6065280437469482
sparse_bf16,language_model.layers.8.linear_attn.in_proj_qkv,linear_attn.in_proj_qkv,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,2.4340479373931885
sparse_bf16,language_model.layers.8.linear_attn.in_proj_z,linear_attn.in_proj_z,QwenManualHybridLinear,prefill,,16384,1x16384x4096,sparse_bf16,1.2935999631881714
