call_index,decode_step,module,group,phase,token_count,module_type,latency_ms
0,,model.layers.0.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9661120176315308
1,,model.layers.0.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9511359930038452
2,,model.layers.0.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9525120258331299
3,,model.layers.0.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.950719952583313
4,,model.layers.0.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.7944960594177246
5,,model.layers.0.mlp.up_proj,mlp.up_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.8336639404296875
6,,model.layers.0.mlp.down_proj,mlp.down_proj,prefill,16384,QwenHybridDenseNVFP4Linear,5.097599983215332
7,,model.layers.1.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9445760250091553
8,,model.layers.1.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9502400159835815
9,,model.layers.1.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9516160488128662
10,,model.layers.1.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.955839991569519
11,,model.layers.1.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.7975680828094482
12,,model.layers.1.mlp.up_proj,mlp.up_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.826335906982422
13,,model.layers.1.mlp.down_proj,mlp.down_proj,prefill,16384,QwenHybridDenseNVFP4Linear,5.102719783782959
14,,model.layers.2.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9702080488204956
15,,model.layers.2.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9643839597702026
16,,model.layers.2.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9578239917755127
17,,model.layers.2.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9568639993667603
18,,model.layers.2.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.7934720516204834
19,,model.layers.2.mlp.up_proj,mlp.up_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.8191680908203125
20,,model.layers.2.mlp.down_proj,mlp.down_proj,prefill,16384,QwenHybridDenseNVFP4Linear,5.087200164794922
21,,model.layers.3.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9599360227584839
22,,model.layers.3.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9654719829559326
23,,model.layers.3.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9651520252227783
24,,model.layers.3.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9568959474563599
25,,model.layers.3.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.7948479652404785
26,,model.layers.3.mlp.up_proj,mlp.up_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.8406078815460205
27,,model.layers.3.mlp.down_proj,mlp.down_proj,prefill,16384,QwenHybridDenseNVFP4Linear,5.099711894989014
28,,model.layers.4.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.97324800491333
29,,model.layers.4.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9677759408950806
30,,model.layers.4.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9538240432739258
31,,model.layers.4.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9599360227584839
32,,model.layers.4.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.801664113998413
33,,model.layers.4.mlp.up_proj,mlp.up_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.817375898361206
34,,model.layers.4.mlp.down_proj,mlp.down_proj,prefill,16384,QwenHybridDenseNVFP4Linear,5.092800140380859
35,,model.layers.5.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9640320539474487
36,,model.layers.5.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9773759841918945
37,,model.layers.5.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9648319482803345
38,,model.layers.5.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9568639993667603
39,,model.layers.5.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.802687883377075
40,,model.layers.5.mlp.up_proj,mlp.up_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.825472116470337
41,,model.layers.5.mlp.down_proj,mlp.down_proj,prefill,16384,QwenHybridDenseNVFP4Linear,5.095712184906006
42,,model.layers.6.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9701759815216064
43,,model.layers.6.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9568639993667603
44,,model.layers.6.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9573760032653809
45,,model.layers.6.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenHybridDenseNVFP4Linear,1.9558720588684082
46,,model.layers.6.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenHybridDenseNVFP4Linear,2.794528007507324
