call_index,decode_step,module,group,phase,token_count,module_type,latency_ms
0,,model.layers.0.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenManualHybridLinear,47.40915298461914
1,,model.layers.0.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenManualHybridLinear,1.2322239875793457
2,,model.layers.0.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenManualHybridLinear,1.2314239740371704
3,,model.layers.0.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenManualHybridLinear,1.2288000583648682
4,,model.layers.0.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenManualHybridLinear,30.988319396972656
5,,model.layers.0.mlp.up_proj,mlp.up_proj,prefill,16384,QwenManualHybridLinear,3.1641600131988525
6,,model.layers.0.mlp.down_proj,mlp.down_proj,prefill,16384,QwenManualHybridLinear,42.47449493408203
7,,model.layers.1.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenManualHybridLinear,1.2233279943466187
8,,model.layers.1.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenManualHybridLinear,1.2224639654159546
9,,model.layers.1.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenManualHybridLinear,1.2268160581588745
10,,model.layers.1.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenManualHybridLinear,1.2388479709625244
11,,model.layers.1.mlp.gate_proj,mlp.gate_proj,prefill,16384,QwenManualHybridLinear,3.173151969909668
12,,model.layers.1.mlp.up_proj,mlp.up_proj,prefill,16384,QwenManualHybridLinear,3.1822400093078613
13,,model.layers.1.mlp.down_proj,mlp.down_proj,prefill,16384,QwenManualHybridLinear,3.193023920059204
14,,model.layers.2.self_attn.q_proj,self_attn.q_proj,prefill,16384,QwenManualHybridLinear,1.22489595413208
15,,model.layers.2.self_attn.k_proj,self_attn.k_proj,prefill,16384,QwenManualHybridLinear,1.226207971572876
16,,model.layers.2.self_attn.v_proj,self_attn.v_proj,prefill,16384,QwenManualHybridLinear,1.2260799407958984
17,,model.layers.2.self_attn.o_proj,self_attn.o_proj,prefill,16384,QwenManualHybridLinear,1.2331520318984985
