method,module_family,layer_bucket,modules,local_rel_mse_mean,local_rel_mse_max,local_rmse_over_rms_mean
dense_nvfp4,attention,layers_00_07,32,0.0026601386490615895,0.006037420447979618,0.04581112270236259
dense_nvfp4,attention,layers_08_15,32,0.00394563193326054,0.008335252345944514,0.058450998191463356
dense_nvfp4,attention,layers_16_23,32,0.003974920303117749,0.007095412182745825,0.05956808763680745
dense_nvfp4,attention,layers_24_31,32,0.0038368067864476586,0.007239808209538285,0.05921198815520128
dense_nvfp4,mlp,layers_00_07,24,0.004251088060253989,0.006468404684724432,0.06358272205647149
dense_nvfp4,mlp,layers_08_15,24,0.004773391739302643,0.006933201863718705,0.06798670127323234
dense_nvfp4,mlp,layers_16_23,24,0.0052169163376641235,0.006954920415369614,0.0715227819043455
dense_nvfp4,mlp,layers_24_31,24,0.0045299862227561735,0.007056298486685195,0.0654739774224143
sparse_bf16,attention,layers_00_07,32,0.022221922516192722,0.06235290146382134,0.1253759814682244
sparse_bf16,attention,layers_08_15,32,0.04228304696515213,0.08743153857730926,0.19112792948710833
sparse_bf16,attention,layers_16_23,32,0.04624743786337482,0.08413780309273264,0.2023880200073644
sparse_bf16,attention,layers_24_31,32,0.046944656367107124,0.0897969485031809,0.20699983904653899
sparse_bf16,mlp,layers_00_07,24,0.04858765138062581,0.08110391730873202,0.20978317121637763
sparse_bf16,mlp,layers_08_15,24,0.0599723943532685,0.08632889379404943,0.241062817145191
sparse_bf16,mlp,layers_16_23,24,0.06378985779229297,0.08707068384205777,0.2502756591122782
sparse_bf16,mlp,layers_24_31,24,0.05643063489302415,0.09250027006018137,0.2274350377619791
sparse_nvfp4,attention,layers_00_07,32,0.04366891171761068,0.1260850693939657,0.17792764071256162
sparse_nvfp4,attention,layers_08_15,32,0.08322081246705682,0.16885614268007795,0.26898645422138734
sparse_nvfp4,attention,layers_16_23,32,0.09216606291259255,0.17873280381356485,0.28619214186312203
sparse_nvfp4,attention,layers_24_31,32,0.09764759274185063,0.1766234787982938,0.2991184410389587
sparse_nvfp4,mlp,layers_00_07,24,0.09213313487563743,0.16057060723964767,0.28987732906628993
sparse_nvfp4,mlp,layers_08_15,24,0.11646609060096795,0.16316505835944842,0.3365252883721977
sparse_nvfp4,mlp,layers_16_23,24,0.12602397681403854,0.1718631182422702,0.35205708096650706
sparse_nvfp4,mlp,layers_24_31,24,0.11330391148803198,0.18184023841288996,0.3234892104463074
