method,policy,selected_modules,replaced_modules,nll,ppl,tokens,nll_delta_vs_dense,task,arc_limit,arc_acc,arc_acc_norm,arc_sample_len
dense_bf16,none,0,0,2.039499126068533,7.686758137742757,16352,0.0,arc_challenge,128,0.40625,0.4609375,128
sparse_nvfp4,all,224,224,3.1070349109149493,22.35466246952257,16352,1.0675357848464162,arc_challenge,128,0.1875,0.265625,128
sparse_nvfp4,family:attention,128,128,2.2338427825449965,9.335672196022117,16352,0.19434365647646334,arc_challenge,128,0.3671875,0.3671875,128
sparse_nvfp4,family:mlp,96,96,2.7256903751022428,15.266950211759672,16352,0.6861912490337096,arc_challenge,128,0.2890625,0.3046875,128
sparse_nvfp4,type:q_proj,32,32,2.058555897901203,7.8346476060254,16352,0.01905677183266974,arc_challenge,128,0.40625,0.4375,128
sparse_nvfp4,type:k_proj,32,32,2.0507891668032294,7.774033695490266,16352,0.011290040734696305,arc_challenge,128,0.375,0.40625,128
sparse_nvfp4,type:v_proj,32,32,2.11013443082746,8.249350177060636,16352,0.07063530475892676,arc_challenge,128,0.40625,0.4453125,128
sparse_nvfp4,type:o_proj,32,32,2.0676696053223136,7.906376654352384,16352,0.028170479253780467,arc_challenge,128,0.375,0.3828125,128
sparse_nvfp4,type:gate_proj,32,32,2.145950246463783,8.550162139591592,16352,0.10645112039525007,arc_challenge,128,0.3828125,0.40625,128
sparse_nvfp4,type:up_proj,32,32,2.1750782333941374,8.802873773942972,16352,0.1355791073256043,arc_challenge,128,0.3671875,0.3984375,128
sparse_nvfp4,type:down_proj,32,32,2.2186108046081903,9.194548964607286,16352,0.17911167853965715,arc_challenge,128,0.3828125,0.40625,128
sparse_nvfp4,bucket:layers_00_07,56,56,2.4525279812150274,11.617678902025299,16352,0.41302885514649423,arc_challenge,128,0.3125,0.359375,128
sparse_nvfp4,bucket:layers_08_15,56,56,2.1513199181006146,8.596197188659412,16352,0.1118207920320815,arc_challenge,128,0.3671875,0.390625,128
sparse_nvfp4,bucket:layers_16_23,56,56,2.183273061614214,8.875308200844318,16352,0.14377393554568085,arc_challenge,128,0.3359375,0.40625,128
sparse_nvfp4,bucket:layers_24_31,56,56,2.2067287318160624,9.085945161420328,16352,0.16722960574752932,arc_challenge,128,0.421875,0.4140625,128
sparse_nvfp4,layer:0,7,7,2.0401072156872533,7.691433797033791,16352,0.0006080896187201645,arc_challenge,128,0.40625,0.4375,128
sparse_nvfp4,layer_family:0:attention,4,4,2.0392366920665284,7.68474113571876,16352,-0.0002624340020047633,arc_challenge,128,0.421875,0.453125,128
sparse_nvfp4,layer_family:0:mlp,3,3,2.0407610443473563,7.696464321258825,16352,0.0012619182788231598,arc_challenge,128,0.4453125,0.4453125,128
sparse_nvfp4,layer:4,7,7,2.0518437402355696,7.78223630925673,16352,0.012344614167036472,arc_challenge,128,0.40625,0.4296875,128
sparse_nvfp4,layer_family:4:attention,4,4,2.0412502998008653,7.700230779705774,16352,0.0017511737323321341,arc_challenge,128,0.421875,0.4375,128
sparse_nvfp4,layer_family:4:mlp,3,3,2.0495271066863476,7.764228586236019,16352,0.010027980617814514,arc_challenge,128,0.4140625,0.4375,128
sparse_nvfp4,layer:8,7,7,2.051162760784948,7.776938570280662,16352,0.011663634716414961,arc_challenge,128,0.4140625,0.4296875,128
sparse_nvfp4,layer_family:8:attention,4,4,2.0437472729766903,7.719482074391126,16352,0.004248146908157224,arc_challenge,128,0.4140625,0.4375,128
sparse_nvfp4,layer_family:8:mlp,3,3,2.0473086400041374,7.747022995875449,16352,0.007809513935604251,arc_challenge,128,0.3984375,0.40625,128
sparse_nvfp4,layer:12,7,7,2.0488144450924866,7.75869728992198,16352,0.009315319023953439,arc_challenge,128,0.3984375,0.4375,128
sparse_nvfp4,layer_family:12:attention,4,4,2.0432709845078203,7.715806249539429,16352,0.003771858439287179,arc_challenge,128,0.3984375,0.4296875,128
