module_index,module_name,layer,layer_bucket,module_type,module_family,in_features,out_features,numel,weight_mean,weight_std,weight_abs_mean,weight_abs_max,weight_outlier_ratio_6x,weight_row_norm_mean,weight_row_norm_max,weight_col_norm_mean,weight_col_norm_max,activation_mean,activation_std,activation_abs_mean,activation_abs_max,activation_outlier_ratio_6x_weight_mean
1,model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,-3.0185713058017427e-06,0.013479271903634071,0.007290542125701904,0.7734375,0.01427382230758667,0.7678268551826477,3.3519811630249023,0.6854398846626282,7.156308174133301,-2.2595643841327728e-05,0.06418002391482229,0.01291067639249377,4.96875,0.02535662055015564
2,model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,8.61367425386561e-06,0.015102141536772251,0.0092847291380167,0.81640625,0.00949704647064209,0.8915396332740784,3.235579490661621,0.8180683255195618,5.607005596160889,-2.2595643841327728e-05,0.06418002391482229,0.01291067639249377,4.96875,0.020456552505493164
3,model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,4.799626367457677e-07,0.011053633876144886,0.008046726696193218,0.134765625,0.00255662202835083,0.6547608971595764,1.816826343536377,0.7004428505897522,0.8215903639793396,-2.2595643841327728e-05,0.06418002391482229,0.01291067639249377,4.96875,0.023123204708099365
4,model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,-1.5904067822702928e-06,0.007180104032158852,0.004932840820401907,0.451171875,0.004933774471282959,0.45231494307518005,3.1075775623321533,0.4033185839653015,1.2295564413070679,-9.624840728861273e-05,0.00853436720455838,0.0024771270909695886,0.69921875,0.011793553829193115
5,model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,4096,11008,45088768,-1.513830284238793e-05,0.016400780528783798,0.012972692027688026,0.890625,0.00019971714937128127,1.0422314405441284,5.189163684844971,1.7197272777557373,1.9885376691818237,-3.3504266411910066e-05,0.04260678044938477,0.02856140141375363,2.90625,0.046907708048820496
6,model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,4096,11008,45088768,-3.2061507226899266e-07,0.01612473651766777,0.012813741341233253,0.341796875,2.557177867856808e-05,1.0297051668167114,1.63874089717865,1.690166711807251,1.8084276914596558,-3.3504266411910066e-05,0.04260678044938477,0.02856140141375363,2.90625,0.04907715320587158
7,model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,11008,4096,45088768,-1.9985723156423774e-06,0.016809994354844093,0.01332381833344698,0.52734375,0.0001343571930192411,1.7578797340393066,6.554708003997803,1.0752086639404297,1.4369772672653198,-4.2273167287285736e-06,0.004420899515836847,0.0014112399035501619,3.0625,0.0003670370855996775
8,model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,-4.032527613162529e-06,0.026456724852323532,0.017509445548057556,0.47265625,0.006599247455596924,1.4396253824234009,4.37037467956543,1.6661643981933594,4.918698787689209,0.0014011805833433755,0.15138829061892625,0.04519098124001175,9.375,0.07743850350379944
9,model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,-2.339013917662669e-06,0.026408636942505836,0.017670709639787674,0.57421875,0.006669104099273682,1.4542551040649414,4.771492958068848,1.656357765197754,5.356703281402588,0.0014011805833433755,0.15138829061892625,0.04519098124001175,9.375,0.07637713849544525
10,model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,1.5309313994293916e-06,0.01004513818770647,0.007418008521199226,0.1279296875,0.0008510947227478027,0.6054952144622803,1.7997655868530273,0.6337789297103882,0.7756046652793884,0.0014011805833433755,0.15138829061892625,0.04519098124001175,9.375,0.2632524073123932
