module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.1.mlp.up_proj,1,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,1.1950959135390657
model.layers.2.mlp.gate_proj,2,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.3986833781633705
model.layers.2.mlp.up_proj,2,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,1.8370349436078999
model.layers.3.mlp.gate_proj,3,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.6601135625083663
model.layers.3.mlp.up_proj,3,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,2.292005724545412
model.layers.4.mlp.gate_proj,4,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.3986125690703364
model.layers.4.mlp.up_proj,4,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,2.2563171474553743
model.layers.5.mlp.gate_proj,5,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.3482013478449884
model.layers.5.mlp.up_proj,5,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,2.276358373662463
model.layers.6.mlp.gate_proj,6,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.2828470268991123
model.layers.6.mlp.up_proj,6,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,2.375656241434675
model.layers.7.mlp.gate_proj,7,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.2815045545182822
model.layers.7.mlp.up_proj,7,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,2.4220167170116027
model.layers.8.mlp.gate_proj,8,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.178581954311117
model.layers.8.mlp.up_proj,8,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,2.109865276771744
model.layers.9.mlp.gate_proj,9,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.1587173229544177
model.layers.9.mlp.up_proj,9,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,2.059888866409659
model.layers.10.mlp.gate_proj,10,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.1280621902271644
model.layers.10.mlp.up_proj,10,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,1.981909803672755
model.layers.11.mlp.gate_proj,11,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.1531455946464149
model.layers.11.mlp.up_proj,11,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,2.0812642977612894
model.layers.12.mlp.gate_proj,12,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,1.2018358819394117
