point_index,module_family,method,modules,latency_cost,quality_cost
0,attention,dense_bf16,128,309.5845901489256,0.0
0,mlp,dense_bf16,96,595.6065277099608,0.0
1,attention,dense_bf16,128,309.5845901489256,0.0
1,mlp,dense_bf16,94,583.3777341842649,0.0
1,mlp,dense_nvfp4,2,5.612371206283569,0.0835134468395764
2,attention,dense_bf16,128,309.5845901489256,0.0
2,mlp,dense_bf16,92,571.148940658569,0.0
2,mlp,dense_nvfp4,4,11.224742412567139,0.23199262343139426
3,attention,dense_bf16,128,309.5845901489256,0.0
3,mlp,dense_bf16,85,528.3481633186339,0.0
3,mlp,dense_nvfp4,11,30.86804163455963,0.7823808308814104
4,attention,dense_bf16,128,309.5845901489256,0.0
4,mlp,dense_bf16,75,467.20419569015496,0.0
4,mlp,dense_nvfp4,21,58.92989766597748,1.3752894570398297
5,attention,dense_bf16,128,309.5845901489256,0.0
5,mlp,dense_nvfp4,42,117.82958745956415,2.8420467576667217
5,mlp,dense_bf16,54,338.95136737823464,0.0
6,attention,sparse_bf16,10,12.957961606979369,0.8109613030756204
6,attention,dense_bf16,118,285.39513704776755,0.0
6,mlp,dense_nvfp4,92,322.76208648681666,8.302251566542772
6,mlp,sparse_bf16,4,12.972761631011963,0.3316556647605611
7,attention,sparse_bf16,55,71.33359997272494,11.425102551279696
7,mlp,dense_nvfp4,92,322.76208648681666,8.302251566542772
7,mlp,sparse_bf16,4,12.972761631011963,0.3316556647605611
7,attention,dense_bf16,48,116.11292538642888,0.0
7,attention,dense_nvfp4,25,49.78231996297834,2.521664863941276
8,attention,sparse_bf16,70,90.77364797592163,18.421299551425733
8,mlp,dense_nvfp4,73,225.5479940414428,6.0536377864492685
8,mlp,sparse_bf16,23,74.59337937831879,27.523955668814892
8,attention,dense_nvfp4,58,115.65589783191686,6.213122902741022
9,attention,sparse_bf16,126,163.34609951972956,85.97378566628204
9,mlp,sparse_nvfp4,5,11.740345573425293,3.8005338282613703
9,mlp,sparse_bf16,32,103.7820930480957,42.80633730411997
9,mlp,dense_nvfp4,59,165.47432696819297,4.654617643573194
9,attention,dense_nvfp4,2,3.982585597038269,0.22336533075671017
10,attention,sparse_bf16,128,165.93561630249016,88.87949969928283
10,mlp,sparse_nvfp4,64,150.26493453979492,117.66874757037418
10,mlp,sparse_bf16,32,103.7820930480957,42.80633730411997
11,attention,sparse_bf16,128,165.93561630249016,88.87949969928283
11,mlp,sparse_nvfp4,64,150.26493453979492,117.66874757037418
11,mlp,sparse_bf16,32,103.7820930480957,42.80633730411997
