module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.9.mlp.gate_proj,9,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.04758673289697949
model.layers.9.mlp.up_proj,9,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.08581906736925388
model.layers.10.mlp.gate_proj,10,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.046507742359480776
model.layers.10.mlp.up_proj,10,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.08344020161359293
model.layers.11.mlp.gate_proj,11,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.046612268663719356
model.layers.11.mlp.up_proj,11,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.08607785611124551
model.layers.24.mlp.up_proj,24,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.12251658827880453
model.layers.25.mlp.gate_proj,25,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.08884749628123569
model.layers.25.mlp.up_proj,25,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.12405339267900665
model.layers.26.mlp.gate_proj,26,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.08375502199881497
model.layers.26.mlp.up_proj,26,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.1186584200437767
model.layers.27.mlp.gate_proj,27,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.07939504718892723
model.layers.27.mlp.up_proj,27,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.10956113729976683
model.layers.28.mlp.gate_proj,28,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.07657451384646109
model.layers.28.mlp.up_proj,28,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.09455087625248071
model.layers.29.mlp.gate_proj,29,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.07190466274535678
model.layers.29.mlp.up_proj,29,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.07846056908514107
model.layers.30.mlp.gate_proj,30,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.05089069666119147
model.layers.30.mlp.up_proj,30,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.05061944227195616
model.layers.31.mlp.gate_proj,31,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.032622750178384924
model.layers.31.mlp.up_proj,31,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.030025363548970084
