module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.0.self_attn.q_proj,1,0,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.00013306167377277677,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.0.self_attn.k_proj,2,0,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.00025134788536883425,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.0.self_attn.v_proj,3,0,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.05529285378218662,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.0.self_attn.o_proj,4,0,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.02868447297177316,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.04155258994765138,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.0.mlp.up_proj,6,0,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.056649417673509755,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.0.mlp.down_proj,7,0,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.17358536986177073,5.968221653425413,3.4039856523906575,0.08013237503233611,0.0,dense_bf16,32
model.layers.1.self_attn.q_proj,8,1,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.006203345842331108,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.1.self_attn.k_proj,9,1,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.005405059069295135,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.1.self_attn.v_proj,10,1,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.22243568790932677,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.1.self_attn.o_proj,11,1,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.3411776539749652,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.1.mlp.gate_proj,12,1,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.04324110009889653,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.1.mlp.up_proj,13,1,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.07723092812965181,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.1.mlp.down_proj,14,1,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.00013065097298794692,5.968221653425413,3.4039856523906575,0.08013237503233611,0.0,dense_bf16,32
model.layers.2.self_attn.q_proj,15,2,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.038265322702137027,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.2.self_attn.k_proj,16,2,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.031133803067720213,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.2.self_attn.v_proj,17,2,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.572438101810648,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.2.self_attn.o_proj,18,2,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.7890948384721158,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.2.mlp.gate_proj,19,2,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.07194509675836203,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.2.mlp.up_proj,20,2,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.09856536531803738,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.2.mlp.down_proj,21,2,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.2686085437349994,5.968221653425413,3.4039856523906575,0.08013237503233611,0.0,dense_bf16,32
model.layers.3.self_attn.q_proj,22,3,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.1284234661193554,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.3.self_attn.k_proj,23,3,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.09821705771273606,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.3.self_attn.v_proj,24,3,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.8754938038167187,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.3.self_attn.o_proj,25,3,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.5919819817896645,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.3.mlp.gate_proj,26,3,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.07888982500598907,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.3.mlp.up_proj,27,3,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.11278897182963867,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.3.mlp.down_proj,28,3,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.11470216294820376,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.4.self_attn.q_proj,29,4,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.1345407211116391,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.4.self_attn.k_proj,30,4,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.09313167510141829,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.4.self_attn.v_proj,31,4,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.9467076287915875,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.4.self_attn.o_proj,32,4,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.8468209312739868,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.4.mlp.gate_proj,33,4,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.06486803731477173,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.4.mlp.up_proj,34,4,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.10822036802679082,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.4.mlp.down_proj,35,4,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.222175507954958,5.968221653425413,3.4039856523906575,0.08013237503233611,0.0,dense_bf16,32
model.layers.5.self_attn.q_proj,36,5,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.15731457133160537,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.5.self_attn.k_proj,37,5,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.10879023796620516,2.451275,1.257995,0.03729,0.0,dense_bf16,32
