point_index,quality_budget,quality_cost,latency_ms,speedup_vs_dense_linear,dense_latency_ms,speed_optimal_latency_ms,speed_gap_to_optimal_ms,total_prefill_ms,total_decode_ms,total_conversion_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_marlin_nvfp4,count_dense_nvfp4_prefill_marlin_decode,quality_budget_bins,delta_latency_vs_prev,delta_quality_vs_prev,decode_fraction
0,0.0,0.0,4176.543776162816,1.0,4176.543776162816,2829.120466551294,1347.4233096115222,984.6786566709227,3191.865119491893,0.0,224,0,0,0,0,0,0,,,0.7642360024355849
1,0.08265041554136472,0.07939888550017404,4135.943637737456,1.0098164148212547,4176.543776162816,2829.120466551294,1306.8231711861617,974.6886916877755,3159.4568065538538,1.798139495826382,220,0,0,0,1,3,11,-40.600138425360456,0.07939888550017404,0.7639022876729085
2,0.16530083108272944,0.1584072161624477,4109.45552708462,1.016325337659948,4176.543776162816,2829.120466551294,1280.3350605333262,968.6300107076364,3137.828583033714,2.9969333432700296,217,0,0,0,2,5,21,-26.48811065283553,0.07900833066227367,0.7635630954886596
3,0.3306016621654589,0.32589587390637925,4056.250200886736,1.0296563499090325,4176.543776162816,2829.120466551294,1227.1297343354418,954.8378097214811,3096.0179726777756,5.394418487479147,215,0,0,0,0,9,42,-53.20532619788446,0.16748865774393154,0.7632709570038249
4,0.6612033243309178,0.6480965810581958,3957.466006479064,1.055358092609029,4176.543776162816,2829.120466551294,1128.34553992777,927.3188217004242,3020.557346752482,9.589838026158292,208,0,0,0,0,16,84,-98.78419440767175,0.32220070715181653,0.7632554118739873
5,1.3224066486618355,1.3054874738344142,3799.9954760890814,1.0990917758831846,4176.543776162816,2829.120466551294,970.8750095377873,882.2277946414575,2901.5851438399336,16.1825376076902,197,0,0,0,0,27,169,-157.47053038998274,0.6573908927762184,0.7635759468919728
6,2.644813297323671,2.597271027163946,3562.056053740592,1.1725092792340923,4176.543776162816,2829.120466551294,732.9355871892976,818.8746926420738,2716.8097423669647,26.371618731553053,175,0,0,0,5,44,337,-237.93942234848964,1.2917835533295317,0.7627083070503576
7,5.289626594647342,5.297421781931477,3190.2573785590703,1.3091557453114386,4176.543776162816,2829.120466551294,361.1369120077761,718.4858136384859,2429.217306030663,42.55425888992143,153,0,0,0,0,71,675,-371.7986751815215,2.700150754767531,0.7614486913679226
8,10.579253189294684,10.4522982016115,2857.2481465512938,1.4617364547786709,4176.543776162816,2829.120466551294,28.1276799999996,663.2791372102125,2136.4285454746373,57.54046386644423,56,0,0,0,72,96,1349,-333.0092320077765,5.154876419680023,0.7477224363775727
9,16.530083108272944,16.530083108272944,2829.120466551294,1.4762693301830427,4176.543776162816,2829.120466551294,0.0,660.8702412102125,2110.709761474637,57.54046386644423,0,0,0,0,128,96,2108,-28.1276799999996,6.077784906661444,0.746065707144524
