point_index,quality_cost,nll,nll_delta,arc_challenge_acc_norm_limit128,predicted_latency_ms,predicted_speedup_vs_dense,e2e_mean_ms,e2e_std_ms,e2e_speedup_vs_dense,count_dense_bf16,count_marlin_nvfp4,count_dense_nvfp4_prefill_marlin_decode,backend_counts
0,0.0,2.039499126068533,0.0,0.4609375,4176.543776162816,1.0,9025.964805603027,4.540973700870536,1.0,224,0,0,{'bf16': 224}
1,0.07939888550017404,nan,nan,nan,4135.943637737456,1.0098164148212547,nan,nan,nan,220,1,3,
2,0.1584072161624477,nan,nan,nan,4109.45552708462,1.016325337659948,nan,nan,nan,217,2,5,
3,0.32589587390637925,nan,nan,nan,4056.250200886736,1.0296563499090325,nan,nan,nan,215,0,9,
4,0.6480965810581958,2.064521946319162,0.025022820250629074,0.46875,3957.466006479064,1.055358092609029,8973.598352432251,4.732463545527912,1.0058356136651228,208,0,16,"{'bf16': 208, 'dense_nvfp4/marlin_nvfp4': 16}"
5,1.3054874738344142,2.0645603433747115,0.025061217306178385,0.4609375,3799.9954760890814,1.0990917758831846,8871.104637781778,11.516550413335832,1.0174566949826862,197,0,27,"{'bf16': 197, 'dense_nvfp4/marlin_nvfp4': 27}"
6,2.597271027163946,2.065575441035739,0.02607631496720586,0.4609375,3562.056053740592,1.1725092792340923,8524.874313990274,30.79956243860286,1.058779809901761,175,5,44,"{'bf16': 175, 'marlin_nvfp4': 5, 'dense_nvfp4/marlin_nvfp4': 44}"
7,5.297421781931477,2.0684353591411315,0.028936233072598405,0.4609375,3190.2573785590703,1.3091557453114386,8340.848864237467,12.43204271273077,1.082139834028535,153,0,71,"{'bf16': 153, 'dense_nvfp4/marlin_nvfp4': 71}"
8,10.4522982016115,2.0725732941450206,0.03307416807648744,0.4453125,2857.2481465512938,1.4617364547786709,7812.8311316172285,101.30812360625421,1.1552745289830275,56,72,96,"{'marlin_nvfp4': 72, 'bf16': 56, 'dense_nvfp4/marlin_nvfp4': 96}"
9,16.530083108272944,2.076294759015048,0.03679563294651489,0.4609375,2829.120466551294,1.4762693301830427,7394.1501057942705,5.53251223879048,1.2206899611802606,0,128,96,"{'marlin_nvfp4': 128, 'dense_nvfp4/marlin_nvfp4': 96}"
