point_index,quality_cost,replaced_modules,predicted_latency_ms,predicted_speedup_vs_p0,wikitext2_nll,wikitext2_ppl,nll_delta_vs_p0,ppl_delta_vs_p0,ppl_rel_delta_pct_vs_p0,tokens,blocks,measured_e2e_ms,measured_speedup_vs_p0,backend_counts
0,0.0,0,4176.543776162816,1.0,1.7038543577838412,5.49508665643905,0.0,0.0,0.0,337755,165,9025.964805603027,1.0,{'bf16': 224}
1,0.07939888550017404,4,4135.943637737456,1.0098164148212547,1.7117510837876198,5.5386516340917185,0.007896726003778554,0.04356497765266809,0.7927987377891466,337755,165,,,
2,0.1584072161624477,7,4109.45552708462,1.016325337659948,1.7120272452133387,5.540181407245995,0.00817288742949751,0.04509475080694436,0.8206376646326952,337755,165,,,
3,0.32589587390637925,9,4056.250200886736,1.0296563499090325,1.7127123460711628,5.543978290756166,0.00885798828732165,0.04889163431711552,0.8897336361352037,337755,165,,,
4,0.6480965810581958,16,3957.466006479064,1.055358092609029,1.713365937894378,5.54760297403773,0.009511580110536766,0.052516317598679585,0.9556958949344718,337755,165,8973.598352432251,1.0058356136651228,"{'bf16': 208, 'dense_nvfp4/marlin_nvfp4': 16}"
5,1.3054874738344142,27,3799.9954760890814,1.0990917758831846,1.7139556883410312,5.5508756403028645,0.01010133055718998,0.055788983863814146,1.015252121610155,337755,165,8871.104637781778,1.0174566949826862,"{'bf16': 197, 'dense_nvfp4/marlin_nvfp4': 27}"
6,2.597271027163946,49,3562.056053740592,1.1725092792340923,1.715473561324268,5.559307562144882,0.011619203540426781,0.06422090570583183,1.1686968690580946,337755,165,8524.874313990274,1.058779809901761,"{'bf16': 175, 'marlin_nvfp4': 5, 'dense_nvfp4/marlin_nvfp4': 44}"
7,5.297421781931477,71,3190.2573785590703,1.3091557453114386,1.7185832379771395,5.5766221184600075,0.014728880193298322,0.08153546202095718,1.4837884662913359,337755,165,8340.848864237467,1.082139834028535,"{'bf16': 153, 'dense_nvfp4/marlin_nvfp4': 71}"
8,10.4522982016115,168,2857.2481465512938,1.4617364547786709,1.7234225171074447,5.603674353359539,0.01956815932360345,0.10858769692048842,1.976087070314847,337755,165,7812.8311316172285,1.1552745289830275,"{'marlin_nvfp4': 72, 'bf16': 56, 'dense_nvfp4/marlin_nvfp4': 96}"
9,16.530083108272944,224,2829.120466551294,1.4762693301830427,1.7279479600077627,5.62909092893155,0.02409360222392154,0.1340042724924997,2.43861982295539,337755,165,7394.1501057942705,1.2206899611802606,"{'marlin_nvfp4': 128, 'dense_nvfp4/marlin_nvfp4': 96}"
