module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.0.self_attn.q_proj,0,q_proj,attention,marlin_nvfp4,dense_bf16,0.502279999999999,-0.002699579873413988
model.layers.0.mlp.up_proj,0,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.10080352586210795
model.layers.1.self_attn.q_proj,1,q_proj,attention,marlin_nvfp4,dense_bf16,0.502279999999999,-0.004107401556205491
model.layers.1.mlp.up_proj,1,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.11222036051483493
model.layers.2.mlp.down_proj,2,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.1146701061613757
model.layers.3.mlp.up_proj,3,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.12224585852494667
model.layers.3.mlp.down_proj,3,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.12191818940960074
model.layers.4.mlp.up_proj,4,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.11739385835229203
model.layers.5.mlp.up_proj,5,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.11383421006910711
model.layers.6.mlp.up_proj,6,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.10775929236097022
model.layers.7.mlp.up_proj,7,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.10141740624424471
model.layers.8.mlp.down_proj,8,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.1238857360709747
model.layers.9.mlp.down_proj,9,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.1240135745222515
model.layers.10.mlp.down_proj,10,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.1253273949245788
model.layers.16.mlp.up_proj,16,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.10152399064863073
model.layers.17.mlp.up_proj,17,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.10130567770479178
model.layers.18.mlp.up_proj,18,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.10721838473889063
model.layers.19.mlp.up_proj,19,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.11077325743254869
model.layers.20.mlp.up_proj,20,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.1118790205696345
model.layers.21.mlp.up_proj,21,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.11032022064120875
model.layers.21.mlp.down_proj,21,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.11984261435084642
model.layers.22.mlp.up_proj,22,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.11391852228446657
model.layers.22.mlp.down_proj,22,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.11925542866382381
model.layers.23.mlp.up_proj,23,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.11716951659629586
model.layers.23.mlp.down_proj,23,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.11846578778320445
model.layers.27.mlp.up_proj,27,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-19.989338218922114,0.1270911476174553
model.layers.29.mlp.down_proj,29,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.1252487360143344
model.layers.30.mlp.down_proj,30,down_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-17.170130373851087,0.08305482943596798
