module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.0.self_attn.q_proj,1,0,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.002699579873413988,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.0.self_attn.k_proj,2,0,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.0.self_attn.v_proj,3,0,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.0.self_attn.o_proj,4,0,o_proj,attention,self_attn.o_proj,4096,4096,marlin_nvfp4,0.039820291046331224,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.06958766485819834,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.0.mlp.up_proj,6,0,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.10080352586210795,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.0.mlp.down_proj,7,0,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.0594692343214006,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.1.self_attn.q_proj,8,1,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.004107401556205491,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.1.self_attn.k_proj,9,1,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.1.self_attn.v_proj,10,1,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.1.self_attn.o_proj,11,1,o_proj,attention,self_attn.o_proj,4096,4096,marlin_nvfp4,0.08012783380946038,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.1.mlp.gate_proj,12,1,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.07811571953211217,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.1.mlp.up_proj,13,1,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.11222036051483493,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.1.mlp.down_proj,14,1,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.009509967814532954,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.2.self_attn.q_proj,15,2,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.012696884994067105,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.2.self_attn.k_proj,16,2,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.2.self_attn.v_proj,17,2,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.2.self_attn.o_proj,18,2,o_proj,attention,self_attn.o_proj,4096,4096,marlin_nvfp4,0.06239517000860952,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
