module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.0.self_attn.q_proj,0,q_proj,attention,marlin_nvfp4,dense_bf16,0.502279999999999,-4.2585342326797605e-06
model.layers.0.self_attn.k_proj,0,k_proj,attention,marlin_nvfp4,dense_bf16,0.502279999999999,-7.190002429287302e-06
model.layers.2.mlp.up_proj,2,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00046080157919070554
model.layers.6.mlp.up_proj,6,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.0004939176438954
model.layers.7.mlp.up_proj,7,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00048485417867226487
model.layers.8.mlp.up_proj,8,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00041243512870756035
model.layers.9.mlp.up_proj,9,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00040121153754998494
model.layers.10.mlp.up_proj,10,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00039009013508417724
model.layers.11.mlp.up_proj,11,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00040242139722637064
model.layers.12.mlp.up_proj,12,up_proj,mlp,dense_bf16,marlin_nvfp4,-11.164326985268517,0.0003846575679508241
model.layers.13.mlp.up_proj,13,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00039840459724347304
model.layers.14.mlp.up_proj,14,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00040194124438476346
model.layers.15.mlp.up_proj,15,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.0003966067391005777
model.layers.17.mlp.up_proj,17,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.0004222878382220463
model.layers.18.mlp.up_proj,18,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00045021864906725996
model.layers.19.mlp.up_proj,19,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.0004531538314561651
model.layers.20.mlp.up_proj,20,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00043921783773085755
model.layers.21.mlp.up_proj,21,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.0004584464342921936
model.layers.22.mlp.up_proj,22,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00046549878872039575
model.layers.23.mlp.up_proj,23,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00048666906154561627
model.layers.24.mlp.gate_proj,24,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00041251929609237883
model.layers.25.mlp.gate_proj,25,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.0004153697037638997
model.layers.26.mlp.gate_proj,26,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.0003915619475225896
model.layers.27.mlp.gate_proj,27,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00037117868945678393
model.layers.28.mlp.up_proj,28,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-14.1120277725245,0.00044203349676049915
