method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_bf16,none,baseline,,,0,0,1.9578884548403745,0.0,7.084352330933277,65408,128061.56805419922,1.9578884548403745
dense_nvfp4,layer:0,layer,0,,7,7,1.958093737436134,0.0002052825957594706,7.0858067744499085,65408,128074.99517822266,1.9578884548403745
dense_nvfp4,layer:1,layer,1,,7,7,1.9802625267939558,0.02237407195358121,7.244644648864268,65408,129525.01135253906,1.9578884548403745
dense_nvfp4,layer:2,layer,2,,7,7,1.9584872274716072,0.0005987726312326469,7.08859551744425,65408,128100.73257446289,1.9578884548403745
dense_nvfp4,layer:3,layer,3,,7,7,1.958550135916693,0.0006616810763184766,7.089041463992849,65408,128104.84729003906,1.9578884548403745
dense_nvfp4,layer:4,layer,4,,7,7,1.958338431882765,0.0004499770423904703,7.087540844167479,65408,128091.00015258789,1.9578884548403745
dense_nvfp4,layer:5,layer,5,,7,7,1.9579370502389808,4.8595398606243734e-05,7.084696606223695,65408,128064.74658203125,1.9578884548403745
dense_nvfp4,layer:6,layer,6,,7,7,1.958150275766033,0.000261820925658407,7.086207405456319,65408,128078.69323730469,1.9578884548403745
dense_nvfp4,layer:7,layer,7,,7,7,1.958028110739303,0.00013965589892839247,7.085341771615385,65408,128070.70266723633,1.9578884548403745
dense_nvfp4,layer:8,layer,8,,7,7,1.9589562248110537,0.0010677699706791444,7.091920829602668,65408,128131.4087524414,1.9578884548403745
dense_nvfp4,layer:9,layer,9,,7,7,1.9585962514821331,0.0007077966417585735,7.089368386686444,65408,128107.86361694336,1.9578884548403745
dense_nvfp4,layer:10,layer,10,,7,7,1.958173233002366,0.00028477816199146133,7.086370087061784,65408,128080.19482421875,1.9578884548403745
dense_nvfp4,layer:11,layer,11,,7,7,1.9583107076745676,0.0004222528341930598,7.087344350433337,65408,128089.18676757812,1.9578884548403745
dense_nvfp4,layer:12,layer,12,,7,7,1.9596622162835706,0.0017737614431960758,7.096929433039757,65408,128177.58624267578,1.9578884548403745
dense_nvfp4,layer:13,layer,13,,7,7,1.9584036036713484,0.0005151488309738106,7.088002766932954,65408,128095.26290893555,1.9578884548403745
dense_nvfp4,layer:14,layer,14,,7,7,1.9584739404181912,0.0005854855778166801,7.088501331522694,65408,128099.86349487305,1.9578884548403745
dense_nvfp4,layer:15,layer,15,,7,7,1.9581481794555127,0.00025972461513812384,7.086192550580757,65408,128078.55612182617,1.9578884548403745
dense_nvfp4,layer:16,layer,16,,7,7,1.9588653318102813,0.0009768769699067814,7.091276252931423,65408,128125.46362304688,1.9578884548403745
dense_nvfp4,layer:17,layer,17,,7,7,1.9583290337116517,0.0004405788712771308,7.087474234558858,65408,128090.38543701172,1.9578884548403745
dense_nvfp4,layer:18,layer,18,,7,7,1.9579446077813374,5.615294096283918e-05,7.0847501493207075,65408,128065.24090576172,1.9578884548403745
dense_nvfp4,layer:19,layer,19,,7,7,1.9587846469505892,0.0008961921102146331,7.090704117383566,65408,128120.18618774414,1.9578884548403745
dense_nvfp4,layer:20,layer,20,,7,7,1.9578149761939,-7.347864647444524e-05,7.083831801436988,65408,128056.76196289062,1.9578884548403745
dense_nvfp4,layer:21,layer,21,,7,7,1.958384156460398,0.0004957016200235476,7.0878649263882405,65408,128093.99090576172,1.9578884548403745
dense_nvfp4,layer:22,layer,22,,7,7,1.9578196017942784,-6.885304609616227e-05,7.083864568487831,65408,128057.06451416016,1.9578884548403745
dense_nvfp4,layer:23,layer,23,,7,7,1.95871639438338,0.0008279395430055292,7.090220175139573,65408,128115.72192382812,1.9578884548403745
dense_nvfp4,layer:24,layer,24,,7,7,1.9580209399856,0.00013248514522534727,7.085290964556801,65408,128070.23364257812,1.9578884548403745
dense_nvfp4,layer:25,layer,25,,7,7,1.9584331867046318,0.0005447318642572974,7.088212454656306,65408,128097.19787597656,1.9578884548403745
dense_nvfp4,layer:26,layer,26,,7,7,1.9582356146870294,0.00034715984665489863,7.086812160554465,65408,128084.27508544922,1.9578884548403745
dense_nvfp4,layer:27,layer,27,,7,7,1.9586646076284508,0.0007761527880763008,7.089853005152322,65408,128112.33465576172,1.9578884548403745
dense_nvfp4,layer:28,layer,28,,7,7,1.9583885450419147,0.000500090201540182,7.087896032129504,65408,128094.27795410156,1.9578884548403745
dense_nvfp4,layer:29,layer,29,,7,7,1.9583283865755086,0.00043993173513401373,7.087469647999601,65408,128090.34310913086,1.9578884548403745
dense_nvfp4,layer:30,layer,30,,7,7,1.9594842547773148,0.0015957999369402565,7.09566656516233,65408,128165.94613647461,1.9578884548403745
dense_nvfp4,layer:31,layer,31,,7,7,1.9584469879210111,0.0005585330806365807,7.088310281285196,65408,128098.1005859375,1.9578884548403745
