module_index,module_name,layer,layer_bucket,module_type,module_family,in_features,out_features,numel,weight_mean,weight_std,weight_abs_mean,weight_abs_max,weight_outlier_ratio_6x,weight_row_norm_mean,weight_row_norm_max,weight_col_norm_mean,weight_col_norm_max,activation_mean,activation_std,activation_abs_mean,activation_abs_max,activation_outlier_ratio_6x_weight_mean,method,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms
1,model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,-3.0185713058017427e-06,0.013479271903634071,0.007290542125701904,0.7734375,0.01427382230758667,0.7678268551826477,3.3519811630249023,0.6854398846626282,7.156308174133301,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.025354329496622086,dense_nvfp4,1.4041881968296366e-06,0.007728450069984084,0.08791160372774509,0.033203125,3.448494570079674e-05,5.245553372356945e-05,0.007242619258498229,0.09375,0.8108100406444322
1,model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,-3.0185713058017427e-06,0.013479271903634071,0.007290542125701904,0.7734375,0.01427382230758667,0.7678268551826477,3.3519811630249023,0.6854398846626282,7.156308174133301,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.025354329496622086,sparse_bf16,1.377384705847362e-05,0.0758092750696477,0.27533484172848105,0.1240234375,4.7624039147819985e-06,7.244159272413601e-06,0.002691497589152478,0.0625,0.8108100406444322
1,model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,-3.0185713058017427e-06,0.013479271903634071,0.007290542125701904,0.7734375,0.01427382230758667,0.7678268551826477,3.3519811630249023,0.6854398846626282,7.156308174133301,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.025354329496622086,sparse_nvfp4,2.451466571073979e-05,0.13492519760212004,0.36732165414268736,0.1376953125,5.3697690816534305e-05,8.168030931362151e-05,0.00903771593455014,0.1171875,0.8108100406444322
1,model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,-3.0185713058017427e-06,0.013479271903634071,0.007290542125701904,0.7734375,0.01427382230758667,0.7678268551826477,3.3519811630249023,0.6854398846626282,7.156308174133301,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.025354329496622086,marlin_nvfp4,1.4041881968296366e-06,0.007728450069984084,0.08791160372774509,0.033203125,3.448494570079674e-05,5.245553372356945e-05,0.007242619258498229,0.09375,0.8108100406444322
2,model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,8.61367425386561e-06,0.015102141536772251,0.0092847291380167,0.81640625,0.00949704647064209,0.8915396332740784,3.235579490661621,0.8180683255195618,5.607005596160889,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.02044830098748207,dense_nvfp4,1.776642875483958e-06,0.007789740174550455,0.08825950472640584,0.037109375,3.665551452058935e-05,8.854440793312813e-05,0.009409803820119106,0.1015625,0.643411902707764
2,model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,8.61367425386561e-06,0.015102141536772251,0.0092847291380167,0.81640625,0.00949704647064209,0.8915396332740784,3.235579490661621,0.8180683255195618,5.607005596160889,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.02044830098748207,sparse_bf16,2.1304822439560667e-05,0.09341158741533943,0.30563309280138407,0.11181640625,5.676237467611145e-06,1.3711418116233457e-05,0.0037028932088616134,0.0625,0.643411902707764
2,model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,8.61367425386561e-06,0.015102141536772251,0.0092847291380167,0.81640625,0.00949704647064209,0.8915396332740784,3.235579490661621,0.8180683255195618,5.607005596160889,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.02044830098748207,sparse_nvfp4,3.7511344999074936e-05,0.16446953699747902,0.4055484397670382,0.130859375,6.532189718200243e-05,0.00015779041125722773,0.01256146533081343,0.125,0.643411902707764
2,model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,8.61367425386561e-06,0.015102141536772251,0.0092847291380167,0.81640625,0.00949704647064209,0.8915396332740784,3.235579490661621,0.8180683255195618,5.607005596160889,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.02044830098748207,marlin_nvfp4,1.776642875483958e-06,0.007789740174550455,0.08825950472640584,0.037109375,3.665551452058935e-05,8.854440793312813e-05,0.009409803820119106,0.1015625,0.643411902707764
3,model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,4.799626367457677e-07,0.011053633876144886,0.008046726696193218,0.134765625,0.00255662202835083,0.6547608971595764,1.816826343536377,0.7004428505897522,0.8215903639793396,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.02311834692955017,dense_nvfp4,9.667986660133465e-07,0.007912722251626573,0.08895348363963365,0.0146484375,5.258479639280722e-06,0.005264467050293041,0.07255664718199871,0.02734375,0.03160478879545666
3,model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,4.799626367457677e-07,0.011053633876144886,0.008046726696193218,0.134765625,0.00255662202835083,0.6547608971595764,1.816826343536377,0.7004428505897522,0.8215903639793396,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.02311834692955017,sparse_bf16,1.977465581148863e-05,0.16184482308301273,0.4022994196901267,0.0810546875,3.004944202800175e-06,0.003008365692897208,0.05484857056384613,0.0341796875,0.03160478879545666
3,model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,4.799626367457677e-07,0.011053633876144886,0.008046726696193218,0.134765625,0.00255662202835083,0.6547608971595764,1.816826343536377,0.7004428505897522,0.8215903639793396,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.02311834692955017,sparse_nvfp4,3.213193122064695e-05,0.2629824141212021,0.5128181101728001,0.08984375,1.1845921271458337e-05,0.011859409276421212,0.10890091494758532,0.060546875,0.03160478879545666
