method,metric,n,pearson,spearman
dense_nvfp4,weight_mse,224,-0.053359401638327676,-0.12791479820627802
dense_nvfp4,weight_rel_mse,224,0.11590972394243354,-0.0024065769805680123
dense_nvfp4,weight_rmse_over_rms,224,0.11660742970401773,-0.0024065769805680123
dense_nvfp4,weight_max_abs_error,224,0.03512551742388397,-0.06189649320958819
dense_nvfp4,output_mse,224,0.03774148596833162,-0.06689194960495409
dense_nvfp4,output_rel_mse,224,-0.09048362155496101,0.15860452701259878
dense_nvfp4,output_rmse_over_rms,224,-0.11371804885633838,0.15860452701259878
dense_nvfp4,output_max_abs_error,224,0.6113201914284294,-0.08617595568393804
marlin_nvfp4,weight_mse,224,-0.053359401638327676,-0.12791479820627802
marlin_nvfp4,weight_rel_mse,224,0.11590972394243354,-0.0024065769805680123
marlin_nvfp4,weight_rmse_over_rms,224,0.11660742970401773,-0.0024065769805680123
marlin_nvfp4,weight_max_abs_error,224,0.03512551742388397,-0.06189649320958819
marlin_nvfp4,output_mse,224,0.03774148596833162,-0.06689194960495409
marlin_nvfp4,output_rel_mse,224,-0.09048362155496101,0.15860452701259878
marlin_nvfp4,output_rmse_over_rms,224,-0.11371804885633838,0.15860452701259878
marlin_nvfp4,output_max_abs_error,224,0.6113201914284294,-0.08617595568393804
sparse_bf16,weight_mse,224,-0.187431264485819,-0.18252829382874228
sparse_bf16,weight_rel_mse,224,-0.17762908306019082,-0.3577578475336323
sparse_bf16,weight_rmse_over_rms,224,-0.16000184027924694,-0.3577578475336323
sparse_bf16,weight_max_abs_error,224,-0.15260792367482173,-0.2664075329721053
sparse_bf16,output_mse,224,0.015105230943484127,0.03968396327140722
sparse_bf16,output_rel_mse,224,0.3195524944463068,0.39510249839846256
sparse_bf16,output_rmse_over_rms,224,0.3165076611976743,0.39510249839846256
sparse_bf16,output_max_abs_error,224,0.19301237610286062,-0.09350106202531511
sparse_nvfp4,weight_mse,224,-0.18285777989538277,-0.2033717702327568
sparse_nvfp4,weight_rel_mse,224,-0.23857491732676694,-0.3557719410634209
sparse_nvfp4,weight_rmse_over_rms,224,-0.23336987080586696,-0.3557719410634209
sparse_nvfp4,weight_max_abs_error,224,-0.04189103494872184,-0.19714814234969416
sparse_nvfp4,output_mse,224,-0.042409530375431534,0.029143711296177665
sparse_nvfp4,output_rel_mse,224,0.14509163682018916,0.38644565449498186
sparse_nvfp4,output_rmse_over_rms,224,0.12711505554323246,0.38644565449498186
sparse_nvfp4,output_max_abs_error,224,0.356411556713321,-0.044910061368750996
all,weight_mse,896,0.26179367292701433,0.4519009496423693
all,weight_rel_mse,896,0.34251045266173474,0.4691772279614132
all,weight_rmse_over_rms,896,0.338096527494461,0.4691772279614132
all,weight_max_abs_error,896,0.11822249495329991,0.3850083238030076
all,output_mse,896,0.2024128033552378,0.4242490517055687
all,output_rel_mse,896,0.37033031059441096,0.5714598342489969
all,output_rmse_over_rms,896,0.3602943493414625,0.5714598342489969
all,output_max_abs_error,896,0.445389326195298,0.40662320229853754
