method,metric,n,pearson,spearman
dense_nvfp4,weight_mse,1,nan,nan
dense_nvfp4,weight_rel_mse,1,nan,nan
dense_nvfp4,weight_rmse_over_rms,1,nan,nan
dense_nvfp4,weight_max_abs_error,1,nan,nan
dense_nvfp4,output_mse,1,nan,nan
dense_nvfp4,output_rel_mse,1,nan,nan
dense_nvfp4,output_rmse_over_rms,1,nan,nan
dense_nvfp4,output_max_abs_error,1,nan,nan
sparse_nvfp4,weight_mse,1,nan,nan
sparse_nvfp4,weight_rel_mse,1,nan,nan
sparse_nvfp4,weight_rmse_over_rms,1,nan,nan
sparse_nvfp4,weight_max_abs_error,1,nan,nan
sparse_nvfp4,output_mse,1,nan,nan
sparse_nvfp4,output_rel_mse,1,nan,nan
sparse_nvfp4,output_rmse_over_rms,1,nan,nan
sparse_nvfp4,output_max_abs_error,1,nan,nan
all,weight_mse,2,-1.0000000000000002,-0.9999999999999999
all,weight_rel_mse,2,-1.0000000000000002,-0.9999999999999999
all,weight_rmse_over_rms,2,-1.0,-0.9999999999999999
all,weight_max_abs_error,2,-1.0,-0.9999999999999999
all,output_mse,2,-1.0,-0.9999999999999999
all,output_rel_mse,2,-1.0,-0.9999999999999999
all,output_rmse_over_rms,2,-1.0,-0.9999999999999999
all,output_max_abs_error,2,nan,nan
