method,metric,n,pearson,spearman
dense_nvfp4,weight_mse,224,-0.07682519184384194,-0.18767563527653214
dense_nvfp4,weight_rel_mse,224,0.13252104732983505,0.05829809950886184
dense_nvfp4,weight_rmse_over_rms,224,0.13328075254273733,0.05829809950886184
dense_nvfp4,weight_max_abs_error,224,0.04547519144888374,-0.027578898269111383
dense_nvfp4,output_mse,224,-0.04699762993970702,-0.17124813153961138
dense_nvfp4,output_rel_mse,224,-0.09099478155995828,0.15691010036301517
dense_nvfp4,output_rmse_over_rms,224,-0.13188246966419445,0.15691010036301517
dense_nvfp4,output_max_abs_error,224,0.7728871448736173,-0.13320707104043064
sparse_nvfp4,weight_mse,224,-0.15403877562522542,-0.18807708733717704
sparse_nvfp4,weight_rel_mse,224,-0.20737842116823735,-0.3323894939141576
sparse_nvfp4,weight_rmse_over_rms,224,-0.2030859880821128,-0.3323894939141576
sparse_nvfp4,weight_max_abs_error,224,0.01155108193747789,-0.16043968366505976
sparse_nvfp4,output_mse,224,-0.02290269663457064,-0.016649583600256247
sparse_nvfp4,output_rel_mse,224,0.0963901973517649,0.3540209267563528
sparse_nvfp4,output_rmse_over_rms,224,0.08301453823778829,0.3540209267563528
sparse_nvfp4,output_max_abs_error,224,0.5577141976749952,-0.029645281644268023
all,weight_mse,448,0.2521265644377085,0.44420153339582796
all,weight_rel_mse,448,0.32932239505851985,0.4428728109979137
all,weight_rmse_over_rms,448,0.3410100064765615,0.4428728109979137
all,weight_max_abs_error,448,0.17971690618191485,0.4513321183811293
all,output_mse,448,0.17374230226035903,0.34673662255742493
all,output_rel_mse,448,0.3145549319160024,0.5806691710779467
all,output_rmse_over_rms,448,0.31173099399217513,0.5806691710779467
all,output_max_abs_error,448,0.6126315201333221,0.37109066531309154
