method,linear_type,rows,loss_delta_mean,loss_delta_min,loss_delta_max
dense_nvfp4,down_proj,1,0.037456107466188104,0.037456107466188104,0.037456107466188104
dense_nvfp4,gate_proj,1,0.008374104527811177,0.008374104527811177,0.008374104527811177
dense_nvfp4,k_proj,1,0.003135035415918086,0.003135035415918086,0.003135035415918086
dense_nvfp4,o_proj,1,0.0066066889380289595,0.0066066889380289595,0.0066066889380289595
dense_nvfp4,q_proj,1,0.004686986396923887,0.004686986396923887,0.004686986396923887
dense_nvfp4,up_proj,1,0.008449328155666791,0.008449328155666791,0.008449328155666791
dense_nvfp4,v_proj,1,0.011222095172232605,0.011222095172232605,0.011222095172232605
sparse_nvfp4,down_proj,1,0.2132075668081146,0.2132075668081146,0.2132075668081146
sparse_nvfp4,gate_proj,1,0.1415381590214262,0.1415381590214262,0.1415381590214262
sparse_nvfp4,k_proj,1,0.02006068761568014,0.02006068761568014,0.02006068761568014
sparse_nvfp4,o_proj,1,0.04005038668264849,0.04005038668264849,0.04005038668264849
sparse_nvfp4,q_proj,1,0.028317983369771316,0.028317983369771316,0.028317983369771316
sparse_nvfp4,up_proj,1,0.15864835839915403,0.15864835839915403,0.15864835839915403
sparse_nvfp4,v_proj,1,0.08004448418514598,0.08004448418514598,0.08004448418514598
