policy_id,sample_kind,method,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,worker_index,gpu,source_artifact
c004_balanced_003,balanced,sparse_nvfp4,4,4,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9725229651494036,0.01463451030902907,7.18879069637353,65408,129018.78210449219,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c004_balanced_007,balanced,sparse_nvfp4,4,4,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.979212013476049,0.021323558635674367,7.23703804929375,65408,129456.2993774414,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c004_balanced_011,balanced,sparse_nvfp4,4,4,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.964110080043397,0.006221625203022496,7.128565913491811,65408,128468.51211547852,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c008_uniform_000,uniform,sparse_nvfp4,8,8,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9828974146199085,0.02500895977953399,7.263758645412865,65408,129697.35409545898,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c008_uniform_004,uniform,sparse_nvfp4,8,8,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9680219998331685,0.010133544992793952,7.156506907392969,65408,128724.38296508789,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c008_uniform_008,uniform,sparse_nvfp4,8,8,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9794563869207573,0.021567932080382768,7.23880680532104,65408,129472.28335571289,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c008_uniform_012,uniform,sparse_nvfp4,8,8,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9947398376091585,0.03685138276878397,7.350290509966513,65408,130471.94329833984,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c016_balanced_001,balanced,sparse_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9961591191487769,0.038270664308402313,7.3607300481676505,65408,130564.7756652832,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c016_balanced_005,balanced,sparse_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9961279973591843,0.03823954251880979,7.360500972640483,65408,130562.74005126953,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c016_balanced_009,balanced,sparse_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.996849808440983,0.03896135360060837,7.3658157817234144,65408,130609.95227050781,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c016_balanced_013,balanced,sparse_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.016662478213674,0.05877402337329962,7.513207548189354,65408,131905.859375,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c032_uniform_002,uniform,sparse_nvfp4,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.039644508212513,0.08175605337213843,7.68787573635855,65408,133409.06799316406,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c032_uniform_006,uniform,sparse_nvfp4,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.0719661124765056,0.11407765763613109,7.940419538590171,65408,135523.15948486328,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c032_uniform_010,uniform,sparse_nvfp4,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.0457000816404936,0.087811626800119,7.734571474426394,65408,133805.1509399414,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c032_uniform_014,uniform,sparse_nvfp4,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.0278683604559555,0.06997990561558098,7.597873157695359,65408,132638.81372070312,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c064_balanced_003,balanced,sparse_nvfp4,64,64,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.1355382999562003,0.1776498451158257,8.461600160131502,65408,139681.28912353516,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c064_balanced_007,balanced,sparse_nvfp4,64,64,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.149612991310612,0.19172453647023757,8.581536625199792,65408,140601.88653564453,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c064_balanced_011,balanced,sparse_nvfp4,64,64,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.1336818375932727,0.17579338275289813,8.445906090136614,65408,139559.86163330078,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c112_uniform_000,uniform,sparse_nvfp4,112,112,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.3843249705439677,0.4264365157035932,10.851734951246332,65408,155953.92767333984,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c112_uniform_004,uniform,sparse_nvfp4,112,112,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.4256147759767894,0.4677263211364149,11.309179894684458,65408,158654.61126708984,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c112_uniform_008,uniform,sparse_nvfp4,112,112,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.4684461156916013,0.5105576608512268,11.80409040258934,65408,161456.12353515625,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c112_uniform_012,uniform,sparse_nvfp4,112,112,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.4838446926930646,0.5259562378526901,11.987263278983386,65408,162463.31365966797,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c168_balanced_001,balanced,sparse_nvfp4,168,168,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.72689087656846,0.7690024217280855,15.285289213670378,65408,178360.47845458984,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c168_balanced_005,balanced,sparse_nvfp4,168,168,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.801161314410006,0.8432728595696315,16.463755269699618,65408,183218.3592529297,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c168_balanced_009,balanced,sparse_nvfp4,168,168,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.7504454172287436,0.792556962388369,15.649600933884464,65408,179901.13385009766,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c168_balanced_013,balanced,sparse_nvfp4,168,168,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.8358568846596195,0.8779684298192449,17.044999643243944,65408,185487.7271118164,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c224_uniform_002,uniform,sparse_nvfp4,224,224,selected_compressed_weight_to_real_kernel_module,runtime_kernel,3.2928979317502733,1.3350094769098988,26.92076526501028,65408,215381.86791992188,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c224_uniform_006,uniform,sparse_nvfp4,224,224,selected_compressed_weight_to_real_kernel_module,runtime_kernel,3.2928979317502733,1.3350094769098988,26.92076526501028,65408,215381.86791992188,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c224_uniform_010,uniform,sparse_nvfp4,224,224,selected_compressed_weight_to_real_kernel_module,runtime_kernel,3.2928979317502733,1.3350094769098988,26.92076526501028,65408,215381.86791992188,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
c224_uniform_014,uniform,sparse_nvfp4,224,224,selected_compressed_weight_to_real_kernel_module,runtime_kernel,3.2928979317502733,1.3350094769098988,26.92076526501028,65408,215381.86791992188,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/sparse_nvfp4/model.pt
