policy_id,sample_kind,method,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,worker_index,gpu
c004_balanced_005,balanced,sparse_bf16,4,4,1.9574986735901954,-0.00038978125017918863,7.081591521315882,65408,128036.0732421875,1.9578884548403745,3,3
c004_balanced_009,balanced,sparse_bf16,4,4,1.9598796750234764,0.0019912201831018272,7.098472890184507,65408,128191.80978393555,1.9578884548403745,3,3
c004_balanced_013,balanced,sparse_bf16,4,4,1.9585311342825396,0.0006426794421650062,7.088906761900236,65408,128103.60443115234,1.9578884548403745,3,3
c008_uniform_002,uniform,sparse_bf16,8,8,1.9672255973293358,0.009337142488961225,7.150809716302973,65408,128672.29187011719,1.9578884548403745,3,3
c008_uniform_006,uniform,sparse_bf16,8,8,1.9674809179660626,0.009592463125688067,7.152635698688425,65408,128688.99188232422,1.9578884548403745,3,3
c008_uniform_010,uniform,sparse_bf16,8,8,1.9633059678945524,0.005417513054177814,7.122836051071666,65408,128415.91674804688,1.9578884548403745,3,3
c008_uniform_014,uniform,sparse_bf16,8,8,1.962196287576933,0.004307832736558437,7.114936363974439,65408,128343.33477783203,1.9578884548403745,3,3
c016_balanced_003,balanced,sparse_bf16,16,16,1.9684075413384783,0.010519086498103736,7.159266569786819,65408,128749.60046386719,1.9578884548403745,3,3
c016_balanced_007,balanced,sparse_bf16,16,16,1.9649096029845237,0.007021148144149114,7.134267644505626,65408,128520.80731201172,1.9578884548403745,3,3
c016_balanced_011,balanced,sparse_bf16,16,16,1.9780527738209106,0.020164318980536056,7.228653448621021,65408,129380.47583007812,1.9578884548403745,3,3
c032_uniform_000,uniform,sparse_bf16,32,32,2.0004284479846692,0.042539993144294685,7.392222603417639,65408,130844.02392578125,1.9578884548403745,3,3
c032_uniform_004,uniform,sparse_bf16,32,32,1.986337215699795,0.028448760859420386,7.288787552797735,65408,129922.34460449219,1.9578884548403745,3,3
c032_uniform_008,uniform,sparse_bf16,32,32,2.000861272419969,0.04297281757959426,7.395422830509854,65408,130872.33410644531,1.9578884548403745,3,3
c032_uniform_012,uniform,sparse_bf16,32,32,1.9842991651620883,0.026410710321713715,7.273947762664263,65408,129789.03979492188,1.9578884548403745,3,3
c064_balanced_001,balanced,sparse_bf16,64,64,2.040067903216338,0.08217944837596325,7.69113143370971,65408,133436.76141357422,1.9578884548403745,3,3
c064_balanced_005,balanced,sparse_bf16,64,64,2.027122966930591,0.06923451209021647,7.592211862445608,65408,132590.0590209961,1.9578884548403745,3,3
c064_balanced_009,balanced,sparse_bf16,64,64,2.0197745330646315,0.06188607822425696,7.536625482233569,65408,132109.4126586914,1.9578884548403745,3,3
c064_balanced_013,balanced,sparse_bf16,64,64,2.029463395680467,0.0715749408400923,7.610001703170489,65408,132743.14178466797,1.9578884548403745,3,3
c112_uniform_002,uniform,sparse_bf16,112,112,2.081424006743907,0.12353555190353238,8.0158754515772,65408,136141.78143310547,1.9578884548403745,3,3
c112_uniform_006,uniform,sparse_bf16,112,112,2.0820130965947636,0.12412464175438909,8.020598913586623,65408,136180.3126220703,1.9578884548403745,3,3
c112_uniform_010,uniform,sparse_bf16,112,112,2.0855184506530167,0.12762999581264212,8.04876328674871,65408,136409.5908203125,1.9578884548403745,3,3
c112_uniform_014,uniform,sparse_bf16,112,112,2.0981724089605702,0.14028395412019568,8.151259123171807,65408,137237.26092529297,1.9578884548403745,3,3
c168_balanced_003,balanced,sparse_bf16,168,168,2.1703937282300974,0.2125052733897228,8.761733103366991,65408,141961.11297607422,1.9578884548403745,3,3
c168_balanced_007,balanced,sparse_bf16,168,168,2.1793798373869953,0.2214913825466207,8.84082181111649,65408,142548.8764038086,1.9578884548403745,3,3
c168_balanced_011,balanced,sparse_bf16,168,168,2.191458813131672,0.23357035829129758,8.948257433222999,65408,143338.9380493164,1.9578884548403745,3,3
c224_uniform_000,uniform,sparse_bf16,224,224,2.3204822614934812,0.3625938066531067,10.180582825461173,65408,151778.10375976562,1.9578884548403745,3,3
c224_uniform_004,uniform,sparse_bf16,224,224,2.3204822614934812,0.3625938066531067,10.180582825461173,65408,151778.10375976562,1.9578884548403745,3,3
c224_uniform_008,uniform,sparse_bf16,224,224,2.3204822614934812,0.3625938066531067,10.180582825461173,65408,151778.10375976562,1.9578884548403745,3,3
c224_uniform_012,uniform,sparse_bf16,224,224,2.3204822614934812,0.3625938066531067,10.180582825461173,65408,151778.10375976562,1.9578884548403745,3,3
