policy_id,pair_id,arm,sample_kind,method,selected_modules,selected_names,raw_error_sum,empirical_score_sum,composition
sparse_nvfp4_empirical_c064_pair00_low_empirical,sparse_nvfp4_empirical_c064_pair00,low_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.1.mlp.down_proj;model.layers.1.self_attn.k_proj;model.layers.1.self_attn.q_proj;model.layers.1.self_attn.v_proj;model.layers.10.self_attn.k_proj;model.layers.11.self_attn.q_proj;model.layers.11.self_attn.v_proj;model.layers.12.mlp.up_proj;model.layers.12.self_attn.v_proj;model.layers.13.mlp.down_proj;model.layers.13.mlp.up_proj;model.layers.13.self_attn.q_proj;model.layers.14.mlp.down_proj;model.layers.14.mlp.gate_proj;model.layers.14.self_attn.o_proj;model.layers.16.self_attn.v_proj;model.layers.17.mlp.up_proj;model.layers.17.self_attn.k_proj;model.layers.17.self_attn.v_proj;model.layers.18.mlp.down_proj;model.layers.18.mlp.gate_proj;model.layers.18.self_attn.q_proj;model.layers.19.mlp.up_proj;model.layers.19.self_attn.v_proj;model.layers.2.self_attn.k_proj;model.layers.20.mlp.up_proj;model.layers.20.self_attn.o_proj;model.layers.20.self_attn.v_proj;model.layers.21.mlp.gate_proj;model.layers.21.self_attn.k_proj;model.layers.21.self_attn.v_proj;model.layers.22.mlp.gate_proj;model.layers.22.mlp.up_proj;model.layers.22.self_attn.q_proj;model.layers.23.mlp.gate_proj;model.layers.23.self_attn.k_proj;model.layers.23.self_attn.q_proj;model.layers.24.self_attn.q_proj;model.layers.24.self_attn.v_proj;model.layers.25.self_attn.q_proj;model.layers.25.self_attn.v_proj;model.layers.26.mlp.down_proj;model.layers.26.self_attn.k_proj;model.layers.26.self_attn.q_proj;model.layers.26.self_attn.v_proj;model.layers.27.self_attn.k_proj;model.layers.27.self_attn.v_proj;model.layers.28.self_attn.k_proj;model.layers.28.self_attn.q_proj;model.layers.29.self_attn.v_proj;model.layers.3.mlp.up_proj;model.layers.3.self_attn.o_proj;model.layers.30.self_attn.k_proj;model.layers.31.self_attn.k_proj;model.layers.31.self_attn.v_proj;model.layers.4.mlp.down_proj;model.layers.4.mlp.gate_proj;model.layers.4.self_attn.k_proj;model.layers.7.self_attn.q_proj;model.layers.8.mlp.down_proj;model.layers.8.self_attn.k_proj;model.layers.9.mlp.up_proj;model.layers.9.self_attn.q_proj;model.layers.9.self_attn.v_proj,6.341524857360025,0.02621577600565863,"early:11,middle:37,late:16;down_proj:7,gate_proj:6,k_proj:13,o_proj:3,q_proj:12,up_proj:8,v_proj:15"
sparse_nvfp4_empirical_c064_pair00_high_empirical,sparse_nvfp4_empirical_c064_pair00,high_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.gate_proj;model.layers.0.self_attn.k_proj;model.layers.0.self_attn.o_proj;model.layers.0.self_attn.q_proj;model.layers.10.mlp.gate_proj;model.layers.10.mlp.up_proj;model.layers.10.self_attn.v_proj;model.layers.11.mlp.down_proj;model.layers.11.mlp.gate_proj;model.layers.12.self_attn.k_proj;model.layers.12.self_attn.o_proj;model.layers.12.self_attn.q_proj;model.layers.13.mlp.up_proj;model.layers.13.self_attn.o_proj;model.layers.14.mlp.down_proj;model.layers.14.self_attn.k_proj;model.layers.14.self_attn.v_proj;model.layers.15.mlp.gate_proj;model.layers.15.self_attn.v_proj;model.layers.16.self_attn.k_proj;model.layers.16.self_attn.q_proj;model.layers.17.mlp.down_proj;model.layers.17.mlp.gate_proj;model.layers.17.self_attn.o_proj;model.layers.17.self_attn.q_proj;model.layers.18.mlp.down_proj;model.layers.18.mlp.gate_proj;model.layers.19.mlp.gate_proj;model.layers.2.mlp.down_proj;model.layers.2.mlp.gate_proj;model.layers.2.mlp.up_proj;model.layers.2.self_attn.v_proj;model.layers.20.mlp.down_proj;model.layers.20.mlp.gate_proj;model.layers.20.self_attn.o_proj;model.layers.21.mlp.down_proj;model.layers.21.mlp.gate_proj;model.layers.21.self_attn.v_proj;model.layers.22.mlp.down_proj;model.layers.24.mlp.down_proj;model.layers.25.mlp.up_proj;model.layers.26.self_attn.k_proj;model.layers.27.mlp.gate_proj;model.layers.27.self_attn.k_proj;model.layers.3.mlp.down_proj;model.layers.3.self_attn.k_proj;model.layers.30.mlp.gate_proj;model.layers.30.self_attn.q_proj;model.layers.31.mlp.gate_proj;model.layers.31.mlp.up_proj;model.layers.31.self_attn.q_proj;model.layers.4.mlp.up_proj;model.layers.4.self_attn.q_proj;model.layers.4.self_attn.v_proj;model.layers.5.mlp.down_proj;model.layers.6.mlp.down_proj;model.layers.6.mlp.gate_proj;model.layers.7.mlp.down_proj;model.layers.7.mlp.up_proj;model.layers.7.self_attn.q_proj;model.layers.8.mlp.down_proj;model.layers.8.mlp.gate_proj;model.layers.8.self_attn.q_proj;model.layers.9.self_attn.k_proj,6.342148104908575,0.24219385946515581,"early:19,middle:35,late:10;down_proj:14,gate_proj:15,k_proj:8,o_proj:5,q_proj:9,up_proj:7,v_proj:6"
sparse_nvfp4_empirical_c064_pair01_low_empirical,sparse_nvfp4_empirical_c064_pair01,low_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.gate_proj;model.layers.0.self_attn.o_proj;model.layers.0.self_attn.q_proj;model.layers.1.mlp.down_proj;model.layers.10.mlp.up_proj;model.layers.10.self_attn.k_proj;model.layers.10.self_attn.q_proj;model.layers.10.self_attn.v_proj;model.layers.11.self_attn.q_proj;model.layers.12.mlp.gate_proj;model.layers.12.self_attn.k_proj;model.layers.13.mlp.gate_proj;model.layers.15.self_attn.v_proj;model.layers.16.self_attn.o_proj;model.layers.17.mlp.up_proj;model.layers.17.self_attn.k_proj;model.layers.17.self_attn.o_proj;model.layers.17.self_attn.q_proj;model.layers.18.self_attn.o_proj;model.layers.19.self_attn.v_proj;model.layers.20.mlp.up_proj;model.layers.20.self_attn.o_proj;model.layers.20.self_attn.q_proj;model.layers.20.self_attn.v_proj;model.layers.21.mlp.gate_proj;model.layers.21.self_attn.q_proj;model.layers.22.mlp.up_proj;model.layers.22.self_attn.k_proj;model.layers.23.mlp.up_proj;model.layers.24.mlp.gate_proj;model.layers.24.self_attn.k_proj;model.layers.25.mlp.gate_proj;model.layers.25.self_attn.q_proj;model.layers.27.mlp.up_proj;model.layers.27.self_attn.o_proj;model.layers.27.self_attn.q_proj;model.layers.27.self_attn.v_proj;model.layers.28.mlp.down_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.v_proj;model.layers.29.mlp.down_proj;model.layers.29.self_attn.k_proj;model.layers.29.self_attn.o_proj;model.layers.29.self_attn.q_proj;model.layers.3.self_attn.o_proj;model.layers.30.mlp.up_proj;model.layers.30.self_attn.k_proj;model.layers.30.self_attn.o_proj;model.layers.30.self_attn.q_proj;model.layers.31.mlp.up_proj;model.layers.31.self_attn.k_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.o_proj;model.layers.4.self_attn.q_proj;model.layers.5.mlp.up_proj;model.layers.6.mlp.gate_proj;model.layers.6.mlp.up_proj;model.layers.8.mlp.up_proj;model.layers.8.self_attn.o_proj;model.layers.8.self_attn.q_proj;model.layers.8.self_attn.v_proj;model.layers.9.mlp.down_proj;model.layers.9.mlp.gate_proj;model.layers.9.self_attn.o_proj,6.188246712803688,0.023391418303302366,"early:11,middle:32,late:21;down_proj:4,gate_proj:8,k_proj:9,o_proj:12,q_proj:12,up_proj:12,v_proj:7"
sparse_nvfp4_empirical_c064_pair01_high_empirical,sparse_nvfp4_empirical_c064_pair01,high_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.0.self_attn.k_proj;model.layers.0.self_attn.o_proj;model.layers.0.self_attn.q_proj;model.layers.0.self_attn.v_proj;model.layers.1.mlp.up_proj;model.layers.1.self_attn.q_proj;model.layers.1.self_attn.v_proj;model.layers.11.mlp.down_proj;model.layers.11.mlp.up_proj;model.layers.11.self_attn.v_proj;model.layers.12.self_attn.q_proj;model.layers.13.self_attn.k_proj;model.layers.14.mlp.down_proj;model.layers.14.self_attn.o_proj;model.layers.14.self_attn.v_proj;model.layers.17.mlp.down_proj;model.layers.17.mlp.gate_proj;model.layers.18.mlp.down_proj;model.layers.18.self_attn.k_proj;model.layers.19.mlp.gate_proj;model.layers.19.mlp.up_proj;model.layers.2.mlp.down_proj;model.layers.2.mlp.gate_proj;model.layers.2.self_attn.k_proj;model.layers.20.mlp.down_proj;model.layers.20.self_attn.q_proj;model.layers.21.mlp.down_proj;model.layers.25.mlp.up_proj;model.layers.26.mlp.gate_proj;model.layers.26.self_attn.k_proj;model.layers.26.self_attn.v_proj;model.layers.27.mlp.down_proj;model.layers.27.mlp.gate_proj;model.layers.28.mlp.down_proj;model.layers.28.self_attn.k_proj;model.layers.29.mlp.gate_proj;model.layers.29.mlp.up_proj;model.layers.3.mlp.down_proj;model.layers.3.self_attn.k_proj;model.layers.3.self_attn.q_proj;model.layers.3.self_attn.v_proj;model.layers.30.self_attn.k_proj;model.layers.31.mlp.gate_proj;model.layers.31.self_attn.k_proj;model.layers.4.mlp.down_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.o_proj;model.layers.5.mlp.down_proj;model.layers.5.mlp.gate_proj;model.layers.5.self_attn.q_proj;model.layers.6.mlp.gate_proj;model.layers.6.mlp.up_proj;model.layers.6.self_attn.o_proj;model.layers.6.self_attn.v_proj;model.layers.7.mlp.up_proj;model.layers.7.self_attn.k_proj;model.layers.7.self_attn.o_proj;model.layers.7.self_attn.q_proj;model.layers.7.self_attn.v_proj;model.layers.8.mlp.down_proj;model.layers.8.mlp.up_proj;model.layers.8.self_attn.o_proj;model.layers.8.self_attn.v_proj;model.layers.9.mlp.gate_proj,6.195781553821521,0.23677341217457404,"early:29,middle:22,late:13;down_proj:13,gate_proj:10,k_proj:11,o_proj:6,q_proj:7,up_proj:8,v_proj:9"
sparse_nvfp4_empirical_c064_pair02_low_empirical,sparse_nvfp4_empirical_c064_pair02,low_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.1.self_attn.k_proj;model.layers.1.self_attn.o_proj;model.layers.10.self_attn.k_proj;model.layers.10.self_attn.v_proj;model.layers.11.mlp.gate_proj;model.layers.11.self_attn.o_proj;model.layers.13.mlp.gate_proj;model.layers.13.self_attn.q_proj;model.layers.13.self_attn.v_proj;model.layers.14.mlp.up_proj;model.layers.14.self_attn.k_proj;model.layers.15.self_attn.o_proj;model.layers.16.mlp.down_proj;model.layers.16.self_attn.q_proj;model.layers.17.mlp.down_proj;model.layers.17.mlp.gate_proj;model.layers.17.self_attn.o_proj;model.layers.17.self_attn.q_proj;model.layers.18.mlp.down_proj;model.layers.18.mlp.up_proj;model.layers.18.self_attn.k_proj;model.layers.18.self_attn.v_proj;model.layers.19.mlp.down_proj;model.layers.19.mlp.gate_proj;model.layers.19.self_attn.k_proj;model.layers.19.self_attn.o_proj;model.layers.20.self_attn.o_proj;model.layers.21.self_attn.k_proj;model.layers.21.self_attn.o_proj;model.layers.22.self_attn.q_proj;model.layers.23.self_attn.o_proj;model.layers.23.self_attn.q_proj;model.layers.23.self_attn.v_proj;model.layers.24.mlp.down_proj;model.layers.24.self_attn.o_proj;model.layers.24.self_attn.q_proj;model.layers.24.self_attn.v_proj;model.layers.25.self_attn.v_proj;model.layers.26.mlp.down_proj;model.layers.27.self_attn.k_proj;model.layers.27.self_attn.o_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.k_proj;model.layers.28.self_attn.v_proj;model.layers.29.mlp.down_proj;model.layers.29.self_attn.o_proj;model.layers.29.self_attn.v_proj;model.layers.3.self_attn.o_proj;model.layers.3.self_attn.q_proj;model.layers.30.mlp.down_proj;model.layers.30.mlp.up_proj;model.layers.30.self_attn.v_proj;model.layers.5.self_attn.k_proj;model.layers.5.self_attn.q_proj;model.layers.5.self_attn.v_proj;model.layers.6.mlp.gate_proj;model.layers.6.self_attn.q_proj;model.layers.6.self_attn.v_proj;model.layers.7.self_attn.k_proj;model.layers.8.self_attn.o_proj;model.layers.8.self_attn.v_proj;model.layers.9.mlp.gate_proj;model.layers.9.mlp.up_proj;model.layers.9.self_attn.q_proj,6.798847402614407,0.024324901721356238,"early:11,middle:36,late:17;down_proj:8,gate_proj:6,k_proj:10,o_proj:13,q_proj:10,up_proj:5,v_proj:12"
sparse_nvfp4_empirical_c064_pair02_high_empirical,sparse_nvfp4_empirical_c064_pair02,high_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.gate_proj;model.layers.0.mlp.up_proj;model.layers.0.self_attn.o_proj;model.layers.1.mlp.gate_proj;model.layers.1.mlp.up_proj;model.layers.1.self_attn.o_proj;model.layers.10.mlp.down_proj;model.layers.10.mlp.up_proj;model.layers.10.self_attn.o_proj;model.layers.11.mlp.gate_proj;model.layers.11.self_attn.v_proj;model.layers.12.mlp.down_proj;model.layers.13.self_attn.o_proj;model.layers.14.mlp.gate_proj;model.layers.14.self_attn.k_proj;model.layers.14.self_attn.o_proj;model.layers.15.mlp.gate_proj;model.layers.15.mlp.up_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.gate_proj;model.layers.16.self_attn.q_proj;model.layers.17.mlp.up_proj;model.layers.17.self_attn.k_proj;model.layers.17.self_attn.q_proj;model.layers.17.self_attn.v_proj;model.layers.18.mlp.down_proj;model.layers.18.mlp.gate_proj;model.layers.18.self_attn.q_proj;model.layers.19.mlp.down_proj;model.layers.19.mlp.gate_proj;model.layers.19.mlp.up_proj;model.layers.19.self_attn.k_proj;model.layers.2.mlp.gate_proj;model.layers.2.self_attn.k_proj;model.layers.20.mlp.gate_proj;model.layers.20.self_attn.o_proj;model.layers.20.self_attn.v_proj;model.layers.21.mlp.up_proj;model.layers.22.mlp.down_proj;model.layers.22.mlp.gate_proj;model.layers.22.mlp.up_proj;model.layers.23.self_attn.q_proj;model.layers.24.mlp.gate_proj;model.layers.25.self_attn.q_proj;model.layers.26.self_attn.o_proj;model.layers.27.mlp.gate_proj;model.layers.28.self_attn.o_proj;model.layers.3.mlp.down_proj;model.layers.3.mlp.gate_proj;model.layers.3.mlp.up_proj;model.layers.30.mlp.down_proj;model.layers.4.mlp.down_proj;model.layers.4.mlp.gate_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.k_proj;model.layers.6.mlp.down_proj;model.layers.6.self_attn.o_proj;model.layers.6.self_attn.v_proj;model.layers.7.mlp.up_proj;model.layers.8.mlp.gate_proj;model.layers.8.mlp.up_proj;model.layers.8.self_attn.o_proj;model.layers.8.self_attn.v_proj;model.layers.9.mlp.down_proj,6.789882292124047,0.23768172344938807,"early:19,middle:39,late:6;down_proj:10,gate_proj:16,k_proj:5,o_proj:10,q_proj:5,up_proj:12,v_proj:6"
sparse_nvfp4_empirical_c064_pair03_low_empirical,sparse_nvfp4_empirical_c064_pair03,low_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.gate_proj;model.layers.0.mlp.up_proj;model.layers.0.self_attn.q_proj;model.layers.1.self_attn.o_proj;model.layers.1.self_attn.q_proj;model.layers.10.self_attn.k_proj;model.layers.10.self_attn.q_proj;model.layers.11.mlp.down_proj;model.layers.11.mlp.up_proj;model.layers.11.self_attn.v_proj;model.layers.12.self_attn.v_proj;model.layers.14.self_attn.v_proj;model.layers.15.self_attn.q_proj;model.layers.16.self_attn.k_proj;model.layers.16.self_attn.q_proj;model.layers.16.self_attn.v_proj;model.layers.17.self_attn.k_proj;model.layers.17.self_attn.o_proj;model.layers.17.self_attn.q_proj;model.layers.18.mlp.up_proj;model.layers.18.self_attn.k_proj;model.layers.18.self_attn.q_proj;model.layers.18.self_attn.v_proj;model.layers.19.mlp.up_proj;model.layers.19.self_attn.o_proj;model.layers.19.self_attn.v_proj;model.layers.2.self_attn.v_proj;model.layers.20.self_attn.k_proj;model.layers.21.self_attn.k_proj;model.layers.21.self_attn.o_proj;model.layers.21.self_attn.q_proj;model.layers.21.self_attn.v_proj;model.layers.22.mlp.up_proj;model.layers.22.self_attn.o_proj;model.layers.22.self_attn.q_proj;model.layers.23.mlp.down_proj;model.layers.23.self_attn.o_proj;model.layers.24.self_attn.o_proj;model.layers.24.self_attn.v_proj;model.layers.25.mlp.up_proj;model.layers.25.self_attn.v_proj;model.layers.26.mlp.down_proj;model.layers.26.self_attn.k_proj;model.layers.26.self_attn.q_proj;model.layers.27.self_attn.k_proj;model.layers.27.self_attn.v_proj;model.layers.28.self_attn.k_proj;model.layers.28.self_attn.v_proj;model.layers.29.self_attn.v_proj;model.layers.3.self_attn.o_proj;model.layers.30.mlp.up_proj;model.layers.30.self_attn.q_proj;model.layers.30.self_attn.v_proj;model.layers.31.mlp.down_proj;model.layers.31.self_attn.k_proj;model.layers.4.self_attn.k_proj;model.layers.5.self_attn.v_proj;model.layers.6.mlp.gate_proj;model.layers.7.mlp.down_proj;model.layers.8.self_attn.k_proj;model.layers.8.self_attn.q_proj;model.layers.9.mlp.gate_proj;model.layers.9.self_attn.k_proj;model.layers.9.self_attn.v_proj,6.249653021468268,-0.01417555592960152,"early:11,middle:36,late:17;down_proj:5,gate_proj:3,k_proj:13,o_proj:8,q_proj:12,up_proj:7,v_proj:16"
sparse_nvfp4_empirical_c064_pair03_high_empirical,sparse_nvfp4_empirical_c064_pair03,high_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.gate_proj;model.layers.0.self_attn.q_proj;model.layers.1.self_attn.o_proj;model.layers.10.self_attn.k_proj;model.layers.11.self_attn.k_proj;model.layers.11.self_attn.o_proj;model.layers.12.self_attn.v_proj;model.layers.13.mlp.down_proj;model.layers.13.mlp.gate_proj;model.layers.13.self_attn.q_proj;model.layers.13.self_attn.v_proj;model.layers.14.mlp.gate_proj;model.layers.14.self_attn.k_proj;model.layers.15.mlp.down_proj;model.layers.15.self_attn.o_proj;model.layers.16.self_attn.o_proj;model.layers.17.self_attn.k_proj;model.layers.17.self_attn.o_proj;model.layers.17.self_attn.v_proj;model.layers.18.self_attn.q_proj;model.layers.19.self_attn.q_proj;model.layers.2.mlp.up_proj;model.layers.2.self_attn.k_proj;model.layers.2.self_attn.o_proj;model.layers.2.self_attn.q_proj;model.layers.2.self_attn.v_proj;model.layers.20.mlp.gate_proj;model.layers.21.mlp.gate_proj;model.layers.21.mlp.up_proj;model.layers.22.mlp.down_proj;model.layers.22.mlp.gate_proj;model.layers.22.self_attn.k_proj;model.layers.22.self_attn.q_proj;model.layers.23.mlp.gate_proj;model.layers.23.mlp.up_proj;model.layers.23.self_attn.k_proj;model.layers.23.self_attn.v_proj;model.layers.25.mlp.gate_proj;model.layers.25.self_attn.k_proj;model.layers.26.self_attn.v_proj;model.layers.27.self_attn.o_proj;model.layers.27.self_attn.q_proj;model.layers.28.mlp.down_proj;model.layers.29.mlp.gate_proj;model.layers.29.self_attn.o_proj;model.layers.29.self_attn.q_proj;model.layers.3.mlp.down_proj;model.layers.3.mlp.gate_proj;model.layers.3.mlp.up_proj;model.layers.3.self_attn.v_proj;model.layers.30.mlp.up_proj;model.layers.4.mlp.up_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.q_proj;model.layers.5.mlp.down_proj;model.layers.5.mlp.gate_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.v_proj;model.layers.6.mlp.down_proj;model.layers.6.mlp.gate_proj;model.layers.6.self_attn.k_proj;model.layers.7.mlp.down_proj;model.layers.8.self_attn.k_proj;model.layers.9.mlp.gate_proj,6.24459966600018,0.19861632502620669,"early:23,middle:31,late:10;down_proj:8,gate_proj:13,k_proj:11,o_proj:8,q_proj:9,up_proj:7,v_proj:8"
sparse_nvfp4_empirical_c064_pair04_low_empirical,sparse_nvfp4_empirical_c064_pair04,low_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.0.self_attn.o_proj;model.layers.1.mlp.up_proj;model.layers.1.self_attn.o_proj;model.layers.1.self_attn.v_proj;model.layers.10.mlp.up_proj;model.layers.10.self_attn.k_proj;model.layers.11.self_attn.k_proj;model.layers.11.self_attn.o_proj;model.layers.12.mlp.gate_proj;model.layers.12.self_attn.o_proj;model.layers.12.self_attn.v_proj;model.layers.13.mlp.up_proj;model.layers.13.self_attn.o_proj;model.layers.14.mlp.down_proj;model.layers.14.self_attn.k_proj;model.layers.15.mlp.up_proj;model.layers.15.self_attn.k_proj;model.layers.15.self_attn.q_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.gate_proj;model.layers.16.self_attn.q_proj;model.layers.17.mlp.gate_proj;model.layers.19.mlp.down_proj;model.layers.19.mlp.gate_proj;model.layers.2.self_attn.k_proj;model.layers.20.mlp.down_proj;model.layers.20.self_attn.k_proj;model.layers.20.self_attn.v_proj;model.layers.21.mlp.down_proj;model.layers.21.mlp.gate_proj;model.layers.21.mlp.up_proj;model.layers.21.self_attn.o_proj;model.layers.22.mlp.up_proj;model.layers.22.self_attn.o_proj;model.layers.23.mlp.down_proj;model.layers.23.self_attn.o_proj;model.layers.23.self_attn.v_proj;model.layers.24.mlp.gate_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.k_proj;model.layers.24.self_attn.o_proj;model.layers.25.self_attn.o_proj;model.layers.25.self_attn.q_proj;model.layers.26.mlp.up_proj;model.layers.26.self_attn.k_proj;model.layers.26.self_attn.o_proj;model.layers.26.self_attn.v_proj;model.layers.27.mlp.down_proj;model.layers.27.self_attn.k_proj;model.layers.27.self_attn.q_proj;model.layers.28.self_attn.o_proj;model.layers.28.self_attn.q_proj;model.layers.28.self_attn.v_proj;model.layers.29.self_attn.k_proj;model.layers.29.self_attn.q_proj;model.layers.30.self_attn.q_proj;model.layers.31.self_attn.k_proj;model.layers.4.self_attn.k_proj;model.layers.6.self_attn.k_proj;model.layers.7.self_attn.o_proj;model.layers.8.self_attn.q_proj;model.layers.9.self_attn.k_proj;model.layers.9.self_attn.q_proj;model.layers.9.self_attn.v_proj,6.528786028761301,0.010637067935245454,"early:8,middle:36,late:20;down_proj:6,gate_proj:6,k_proj:14,o_proj:13,q_proj:9,up_proj:8,v_proj:8"
sparse_nvfp4_empirical_c064_pair04_high_empirical,sparse_nvfp4_empirical_c064_pair04,high_empirical,empirical_structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.down_proj;model.layers.0.mlp.gate_proj;model.layers.0.mlp.up_proj;model.layers.1.self_attn.v_proj;model.layers.10.mlp.down_proj;model.layers.10.mlp.gate_proj;model.layers.10.mlp.up_proj;model.layers.10.self_attn.k_proj;model.layers.10.self_attn.o_proj;model.layers.11.mlp.down_proj;model.layers.11.self_attn.k_proj;model.layers.12.self_attn.q_proj;model.layers.13.mlp.down_proj;model.layers.14.mlp.gate_proj;model.layers.14.mlp.up_proj;model.layers.14.self_attn.q_proj;model.layers.15.mlp.down_proj;model.layers.15.self_attn.q_proj;model.layers.17.mlp.down_proj;model.layers.17.self_attn.q_proj;model.layers.19.mlp.gate_proj;model.layers.2.mlp.gate_proj;model.layers.2.self_attn.k_proj;model.layers.2.self_attn.q_proj;model.layers.20.mlp.gate_proj;model.layers.20.mlp.up_proj;model.layers.20.self_attn.k_proj;model.layers.20.self_attn.v_proj;model.layers.22.mlp.down_proj;model.layers.23.mlp.gate_proj;model.layers.23.mlp.up_proj;model.layers.23.self_attn.q_proj;model.layers.24.mlp.down_proj;model.layers.24.mlp.gate_proj;model.layers.24.self_attn.o_proj;model.layers.25.mlp.down_proj;model.layers.26.mlp.gate_proj;model.layers.27.mlp.up_proj;model.layers.27.self_attn.k_proj;model.layers.27.self_attn.o_proj;model.layers.28.self_attn.k_proj;model.layers.28.self_attn.v_proj;model.layers.29.mlp.up_proj;model.layers.29.self_attn.k_proj;model.layers.3.mlp.down_proj;model.layers.3.mlp.gate_proj;model.layers.3.self_attn.k_proj;model.layers.3.self_attn.v_proj;model.layers.31.mlp.gate_proj;model.layers.31.self_attn.q_proj;model.layers.4.mlp.down_proj;model.layers.4.mlp.up_proj;model.layers.4.self_attn.o_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.v_proj;model.layers.6.mlp.down_proj;model.layers.6.mlp.gate_proj;model.layers.6.self_attn.k_proj;model.layers.6.self_attn.o_proj;model.layers.7.mlp.gate_proj;model.layers.8.mlp.gate_proj;model.layers.8.self_attn.o_proj;model.layers.9.mlp.down_proj;model.layers.9.self_attn.v_proj,6.532131047959438,0.22246878677920337,"early:21,middle:29,late:14;down_proj:13,gate_proj:14,k_proj:9,o_proj:6,q_proj:7,up_proj:9,v_proj:6"
