policy_id,pair_id,arm,sample_kind,method,selected_modules,selected_names,raw_error_sum,structural_proxy_sum,layer_score_sum,type_score_sum,composition
sparse_nvfp4_struct_c064_pair00_low_structural,sparse_nvfp4_struct_c064_pair00,low_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.down_proj;model.layers.0.mlp.gate_proj;model.layers.0.self_attn.k_proj;model.layers.0.self_attn.o_proj;model.layers.1.mlp.up_proj;model.layers.1.self_attn.k_proj;model.layers.1.self_attn.o_proj;model.layers.1.self_attn.q_proj;model.layers.10.mlp.gate_proj;model.layers.11.mlp.gate_proj;model.layers.11.self_attn.k_proj;model.layers.14.mlp.gate_proj;model.layers.14.self_attn.o_proj;model.layers.14.self_attn.q_proj;model.layers.15.self_attn.q_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.down_proj;model.layers.17.mlp.gate_proj;model.layers.18.self_attn.v_proj;model.layers.19.mlp.down_proj;model.layers.19.mlp.gate_proj;model.layers.2.mlp.down_proj;model.layers.2.mlp.gate_proj;model.layers.2.mlp.up_proj;model.layers.2.self_attn.k_proj;model.layers.2.self_attn.q_proj;model.layers.20.self_attn.o_proj;model.layers.21.self_attn.q_proj;model.layers.22.mlp.down_proj;model.layers.23.mlp.up_proj;model.layers.23.self_attn.k_proj;model.layers.24.mlp.down_proj;model.layers.24.self_attn.v_proj;model.layers.25.mlp.up_proj;model.layers.25.self_attn.v_proj;model.layers.26.mlp.down_proj;model.layers.26.mlp.gate_proj;model.layers.26.self_attn.o_proj;model.layers.26.self_attn.v_proj;model.layers.27.mlp.up_proj;model.layers.27.self_attn.o_proj;model.layers.28.mlp.gate_proj;model.layers.3.mlp.down_proj;model.layers.3.mlp.up_proj;model.layers.3.self_attn.k_proj;model.layers.3.self_attn.v_proj;model.layers.30.mlp.down_proj;model.layers.30.mlp.gate_proj;model.layers.30.mlp.up_proj;model.layers.30.self_attn.o_proj;model.layers.31.mlp.down_proj;model.layers.31.self_attn.o_proj;model.layers.4.mlp.gate_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.q_proj;model.layers.5.mlp.down_proj;model.layers.5.mlp.gate_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.o_proj;model.layers.7.mlp.down_proj;model.layers.8.mlp.gate_proj;model.layers.8.self_attn.k_proj;model.layers.9.mlp.up_proj;model.layers.9.self_attn.q_proj,6.048940777694479,0.3314795759986193,0.40823561321402874,4.90994376676523,"early:25,middle:22,late:17;down_proj:12,gate_proj:13,k_proj:8,o_proj:9,q_proj:7,up_proj:9,v_proj:6"
sparse_nvfp4_struct_c064_pair00_high_structural,sparse_nvfp4_struct_c064_pair00,high_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.1.mlp.down_proj;model.layers.1.mlp.gate_proj;model.layers.1.self_attn.k_proj;model.layers.1.self_attn.v_proj;model.layers.11.self_attn.k_proj;model.layers.12.self_attn.o_proj;model.layers.12.self_attn.q_proj;model.layers.13.mlp.up_proj;model.layers.13.self_attn.o_proj;model.layers.13.self_attn.q_proj;model.layers.14.mlp.down_proj;model.layers.14.mlp.up_proj;model.layers.15.mlp.gate_proj;model.layers.16.self_attn.o_proj;model.layers.16.self_attn.v_proj;model.layers.17.self_attn.k_proj;model.layers.17.self_attn.q_proj;model.layers.18.self_attn.v_proj;model.layers.19.self_attn.k_proj;model.layers.19.self_attn.q_proj;model.layers.2.mlp.up_proj;model.layers.2.self_attn.v_proj;model.layers.20.self_attn.q_proj;model.layers.21.mlp.up_proj;model.layers.21.self_attn.q_proj;model.layers.22.self_attn.o_proj;model.layers.22.self_attn.q_proj;model.layers.22.self_attn.v_proj;model.layers.23.self_attn.k_proj;model.layers.23.self_attn.o_proj;model.layers.23.self_attn.q_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.q_proj;model.layers.25.self_attn.k_proj;model.layers.25.self_attn.v_proj;model.layers.26.self_attn.k_proj;model.layers.26.self_attn.q_proj;model.layers.26.self_attn.v_proj;model.layers.27.mlp.down_proj;model.layers.27.mlp.up_proj;model.layers.27.self_attn.q_proj;model.layers.28.mlp.gate_proj;model.layers.28.self_attn.k_proj;model.layers.28.self_attn.v_proj;model.layers.29.mlp.gate_proj;model.layers.29.self_attn.k_proj;model.layers.29.self_attn.q_proj;model.layers.30.self_attn.k_proj;model.layers.30.self_attn.q_proj;model.layers.31.self_attn.q_proj;model.layers.4.mlp.gate_proj;model.layers.4.self_attn.o_proj;model.layers.4.self_attn.v_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.o_proj;model.layers.6.mlp.up_proj;model.layers.6.self_attn.v_proj;model.layers.7.self_attn.k_proj;model.layers.8.mlp.down_proj;model.layers.8.self_attn.k_proj;model.layers.8.self_attn.v_proj;model.layers.9.mlp.down_proj;model.layers.9.mlp.up_proj;model.layers.9.self_attn.q_proj,6.05153524780669,0.38742419289306196,0.40021766117410945,5.911567234180487,"early:14,middle:31,late:19;down_proj:5,gate_proj:5,k_proj:12,o_proj:7,q_proj:15,up_proj:9,v_proj:11"
sparse_nvfp4_struct_c064_pair01_low_structural,sparse_nvfp4_struct_c064_pair01,low_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.up_proj;model.layers.0.self_attn.k_proj;model.layers.0.self_attn.q_proj;model.layers.1.self_attn.o_proj;model.layers.1.self_attn.q_proj;model.layers.10.self_attn.o_proj;model.layers.11.self_attn.o_proj;model.layers.12.mlp.gate_proj;model.layers.14.mlp.down_proj;model.layers.14.mlp.gate_proj;model.layers.14.mlp.up_proj;model.layers.14.self_attn.k_proj;model.layers.15.self_attn.o_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.down_proj;model.layers.16.mlp.up_proj;model.layers.17.mlp.down_proj;model.layers.17.mlp.gate_proj;model.layers.17.mlp.up_proj;model.layers.17.self_attn.q_proj;model.layers.18.mlp.up_proj;model.layers.18.self_attn.v_proj;model.layers.19.mlp.up_proj;model.layers.19.self_attn.k_proj;model.layers.2.self_attn.k_proj;model.layers.2.self_attn.o_proj;model.layers.20.mlp.up_proj;model.layers.20.self_attn.o_proj;model.layers.21.mlp.up_proj;model.layers.21.self_attn.q_proj;model.layers.21.self_attn.v_proj;model.layers.22.mlp.gate_proj;model.layers.22.self_attn.v_proj;model.layers.23.mlp.down_proj;model.layers.23.self_attn.q_proj;model.layers.24.mlp.gate_proj;model.layers.25.self_attn.v_proj;model.layers.26.self_attn.o_proj;model.layers.27.self_attn.v_proj;model.layers.28.mlp.down_proj;model.layers.28.mlp.gate_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.v_proj;model.layers.29.mlp.down_proj;model.layers.29.self_attn.o_proj;model.layers.3.mlp.gate_proj;model.layers.30.mlp.down_proj;model.layers.30.mlp.up_proj;model.layers.31.mlp.up_proj;model.layers.4.mlp.down_proj;model.layers.4.mlp.up_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.o_proj;model.layers.4.self_attn.q_proj;model.layers.5.self_attn.o_proj;model.layers.5.self_attn.q_proj;model.layers.5.self_attn.v_proj;model.layers.6.self_attn.k_proj;model.layers.6.self_attn.o_proj;model.layers.7.self_attn.o_proj;model.layers.7.self_attn.q_proj;model.layers.7.self_attn.v_proj;model.layers.9.self_attn.k_proj;model.layers.9.self_attn.o_proj,6.705826540882038,0.35483929922080776,0.44897579458369424,5.299527674722841,"early:21,middle:30,late:13;down_proj:8,gate_proj:7,k_proj:7,o_proj:13,q_proj:8,up_proj:12,v_proj:9"
sparse_nvfp4_struct_c064_pair01_high_structural,sparse_nvfp4_struct_c064_pair01,high_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.0.self_attn.q_proj;model.layers.10.mlp.down_proj;model.layers.10.self_attn.k_proj;model.layers.11.mlp.up_proj;model.layers.11.self_attn.k_proj;model.layers.11.self_attn.q_proj;model.layers.11.self_attn.v_proj;model.layers.12.self_attn.o_proj;model.layers.12.self_attn.q_proj;model.layers.13.mlp.up_proj;model.layers.13.self_attn.o_proj;model.layers.13.self_attn.q_proj;model.layers.14.self_attn.k_proj;model.layers.14.self_attn.o_proj;model.layers.14.self_attn.v_proj;model.layers.15.mlp.up_proj;model.layers.17.self_attn.q_proj;model.layers.18.self_attn.o_proj;model.layers.18.self_attn.q_proj;model.layers.2.mlp.gate_proj;model.layers.2.self_attn.v_proj;model.layers.20.mlp.gate_proj;model.layers.20.self_attn.k_proj;model.layers.20.self_attn.q_proj;model.layers.21.mlp.gate_proj;model.layers.21.self_attn.o_proj;model.layers.21.self_attn.q_proj;model.layers.22.mlp.gate_proj;model.layers.22.self_attn.k_proj;model.layers.23.self_attn.v_proj;model.layers.24.mlp.down_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.k_proj;model.layers.24.self_attn.o_proj;model.layers.24.self_attn.q_proj;model.layers.24.self_attn.v_proj;model.layers.25.mlp.down_proj;model.layers.25.mlp.gate_proj;model.layers.25.self_attn.k_proj;model.layers.25.self_attn.v_proj;model.layers.26.self_attn.k_proj;model.layers.26.self_attn.q_proj;model.layers.27.mlp.up_proj;model.layers.27.self_attn.k_proj;model.layers.27.self_attn.v_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.k_proj;model.layers.28.self_attn.v_proj;model.layers.29.self_attn.k_proj;model.layers.29.self_attn.v_proj;model.layers.3.mlp.gate_proj;model.layers.3.mlp.up_proj;model.layers.3.self_attn.o_proj;model.layers.30.mlp.up_proj;model.layers.30.self_attn.k_proj;model.layers.30.self_attn.o_proj;model.layers.31.self_attn.k_proj;model.layers.4.mlp.up_proj;model.layers.6.mlp.up_proj;model.layers.7.mlp.down_proj;model.layers.7.self_attn.v_proj;model.layers.8.self_attn.k_proj;model.layers.8.self_attn.v_proj;model.layers.9.self_attn.o_proj,6.703607040842428,0.39804102617875464,0.4276777277851456,6.246737584196255,"early:10,middle:30,late:24;down_proj:4,gate_proj:6,k_proj:14,o_proj:9,q_proj:10,up_proj:10,v_proj:11"
sparse_nvfp4_struct_c064_pair02_low_structural,sparse_nvfp4_struct_c064_pair02,low_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.down_proj;model.layers.0.mlp.up_proj;model.layers.0.self_attn.o_proj;model.layers.0.self_attn.q_proj;model.layers.1.self_attn.q_proj;model.layers.10.mlp.down_proj;model.layers.10.self_attn.k_proj;model.layers.10.self_attn.o_proj;model.layers.10.self_attn.v_proj;model.layers.11.mlp.gate_proj;model.layers.11.self_attn.k_proj;model.layers.13.mlp.down_proj;model.layers.13.mlp.up_proj;model.layers.15.mlp.down_proj;model.layers.15.self_attn.q_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.gate_proj;model.layers.16.self_attn.q_proj;model.layers.16.self_attn.v_proj;model.layers.17.mlp.down_proj;model.layers.17.mlp.gate_proj;model.layers.17.mlp.up_proj;model.layers.17.self_attn.k_proj;model.layers.18.mlp.down_proj;model.layers.18.mlp.up_proj;model.layers.19.mlp.up_proj;model.layers.2.mlp.gate_proj;model.layers.2.mlp.up_proj;model.layers.2.self_attn.k_proj;model.layers.2.self_attn.o_proj;model.layers.2.self_attn.q_proj;model.layers.2.self_attn.v_proj;model.layers.20.self_attn.o_proj;model.layers.22.self_attn.o_proj;model.layers.22.self_attn.v_proj;model.layers.23.self_attn.q_proj;model.layers.23.self_attn.v_proj;model.layers.24.mlp.down_proj;model.layers.24.self_attn.o_proj;model.layers.26.mlp.down_proj;model.layers.27.mlp.up_proj;model.layers.27.self_attn.q_proj;model.layers.29.mlp.up_proj;model.layers.29.self_attn.o_proj;model.layers.3.mlp.up_proj;model.layers.3.self_attn.k_proj;model.layers.31.mlp.down_proj;model.layers.31.self_attn.o_proj;model.layers.31.self_attn.v_proj;model.layers.4.mlp.up_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.o_proj;model.layers.5.mlp.down_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.k_proj;model.layers.5.self_attn.q_proj;model.layers.5.self_attn.v_proj;model.layers.6.self_attn.o_proj;model.layers.6.self_attn.q_proj;model.layers.7.self_attn.k_proj;model.layers.8.mlp.gate_proj;model.layers.9.mlp.gate_proj;model.layers.9.mlp.up_proj;model.layers.9.self_attn.q_proj,6.128768818619009,0.3411569662682596,0.42260427487708435,4.960757253759658,"early:24,middle:30,late:10;down_proj:10,gate_proj:6,k_proj:8,o_proj:10,q_proj:10,up_proj:12,v_proj:8"
sparse_nvfp4_struct_c064_pair02_high_structural,sparse_nvfp4_struct_c064_pair02,high_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.up_proj;model.layers.1.self_attn.o_proj;model.layers.10.mlp.up_proj;model.layers.10.self_attn.q_proj;model.layers.11.mlp.down_proj;model.layers.11.self_attn.k_proj;model.layers.13.self_attn.o_proj;model.layers.13.self_attn.q_proj;model.layers.13.self_attn.v_proj;model.layers.14.mlp.up_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.up_proj;model.layers.17.mlp.up_proj;model.layers.17.self_attn.q_proj;model.layers.18.mlp.down_proj;model.layers.18.self_attn.k_proj;model.layers.18.self_attn.q_proj;model.layers.19.self_attn.k_proj;model.layers.2.self_attn.v_proj;model.layers.20.self_attn.k_proj;model.layers.21.self_attn.k_proj;model.layers.22.mlp.gate_proj;model.layers.22.self_attn.k_proj;model.layers.23.mlp.down_proj;model.layers.23.mlp.gate_proj;model.layers.23.self_attn.k_proj;model.layers.23.self_attn.o_proj;model.layers.24.mlp.down_proj;model.layers.24.self_attn.o_proj;model.layers.25.mlp.up_proj;model.layers.25.self_attn.k_proj;model.layers.25.self_attn.q_proj;model.layers.25.self_attn.v_proj;model.layers.26.self_attn.q_proj;model.layers.27.mlp.gate_proj;model.layers.27.self_attn.q_proj;model.layers.27.self_attn.v_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.k_proj;model.layers.28.self_attn.q_proj;model.layers.29.mlp.up_proj;model.layers.29.self_attn.o_proj;model.layers.29.self_attn.q_proj;model.layers.30.mlp.gate_proj;model.layers.30.self_attn.o_proj;model.layers.30.self_attn.q_proj;model.layers.30.self_attn.v_proj;model.layers.31.mlp.up_proj;model.layers.31.self_attn.k_proj;model.layers.31.self_attn.q_proj;model.layers.4.mlp.down_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.q_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.k_proj;model.layers.6.mlp.down_proj;model.layers.6.self_attn.q_proj;model.layers.7.mlp.gate_proj;model.layers.7.self_attn.o_proj;model.layers.8.mlp.down_proj;model.layers.8.mlp.gate_proj;model.layers.8.mlp.up_proj;model.layers.8.self_attn.q_proj;model.layers.9.mlp.up_proj,6.1376477159096625,0.38552764187788463,0.4022726287410221,5.883189513430539,"early:12,middle:29,late:23;down_proj:7,gate_proj:6,k_proj:12,o_proj:7,q_proj:14,up_proj:12,v_proj:6"
sparse_nvfp4_struct_c064_pair03_low_structural,sparse_nvfp4_struct_c064_pair03,low_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.gate_proj;model.layers.0.mlp.up_proj;model.layers.0.self_attn.k_proj;model.layers.1.mlp.down_proj;model.layers.1.mlp.gate_proj;model.layers.1.mlp.up_proj;model.layers.1.self_attn.v_proj;model.layers.10.self_attn.q_proj;model.layers.11.mlp.down_proj;model.layers.11.mlp.up_proj;model.layers.12.mlp.gate_proj;model.layers.15.mlp.up_proj;model.layers.15.self_attn.q_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.gate_proj;model.layers.17.mlp.gate_proj;model.layers.18.mlp.gate_proj;model.layers.18.self_attn.k_proj;model.layers.18.self_attn.v_proj;model.layers.19.self_attn.k_proj;model.layers.19.self_attn.o_proj;model.layers.2.mlp.down_proj;model.layers.2.self_attn.k_proj;model.layers.2.self_attn.q_proj;model.layers.20.mlp.down_proj;model.layers.20.mlp.gate_proj;model.layers.20.mlp.up_proj;model.layers.20.self_attn.o_proj;model.layers.21.mlp.down_proj;model.layers.21.self_attn.v_proj;model.layers.22.mlp.down_proj;model.layers.22.self_attn.o_proj;model.layers.23.mlp.up_proj;model.layers.23.self_attn.k_proj;model.layers.23.self_attn.o_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.o_proj;model.layers.24.self_attn.v_proj;model.layers.25.mlp.down_proj;model.layers.26.mlp.up_proj;model.layers.26.self_attn.o_proj;model.layers.27.mlp.up_proj;model.layers.28.mlp.down_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.o_proj;model.layers.29.mlp.down_proj;model.layers.30.mlp.down_proj;model.layers.31.mlp.down_proj;model.layers.31.mlp.up_proj;model.layers.31.self_attn.q_proj;model.layers.4.self_attn.v_proj;model.layers.5.self_attn.o_proj;model.layers.5.self_attn.q_proj;model.layers.5.self_attn.v_proj;model.layers.6.mlp.gate_proj;model.layers.6.self_attn.o_proj;model.layers.6.self_attn.v_proj;model.layers.7.mlp.gate_proj;model.layers.7.self_attn.v_proj;model.layers.8.mlp.up_proj;model.layers.8.self_attn.k_proj;model.layers.9.mlp.down_proj;model.layers.9.mlp.up_proj;model.layers.9.self_attn.o_proj,6.766656822994326,0.35370210939017044,0.45052642011537064,5.269647172871705,"early:19,middle:30,late:15;down_proj:12,gate_proj:9,k_proj:6,o_proj:10,q_proj:5,up_proj:13,v_proj:9"
sparse_nvfp4_struct_c064_pair03_high_structural,sparse_nvfp4_struct_c064_pair03,high_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.down_proj;model.layers.1.mlp.down_proj;model.layers.1.mlp.gate_proj;model.layers.10.mlp.up_proj;model.layers.11.mlp.gate_proj;model.layers.11.self_attn.o_proj;model.layers.12.mlp.down_proj;model.layers.12.mlp.gate_proj;model.layers.12.self_attn.q_proj;model.layers.15.self_attn.k_proj;model.layers.16.mlp.down_proj;model.layers.16.mlp.gate_proj;model.layers.16.self_attn.q_proj;model.layers.16.self_attn.v_proj;model.layers.17.mlp.down_proj;model.layers.17.mlp.up_proj;model.layers.17.self_attn.q_proj;model.layers.18.mlp.down_proj;model.layers.19.mlp.gate_proj;model.layers.19.self_attn.k_proj;model.layers.2.mlp.gate_proj;model.layers.20.mlp.up_proj;model.layers.21.mlp.down_proj;model.layers.21.self_attn.q_proj;model.layers.22.mlp.down_proj;model.layers.22.self_attn.o_proj;model.layers.22.self_attn.q_proj;model.layers.23.mlp.down_proj;model.layers.23.self_attn.k_proj;model.layers.23.self_attn.o_proj;model.layers.23.self_attn.q_proj;model.layers.23.self_attn.v_proj;model.layers.24.mlp.down_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.k_proj;model.layers.24.self_attn.q_proj;model.layers.25.mlp.gate_proj;model.layers.25.self_attn.k_proj;model.layers.25.self_attn.q_proj;model.layers.25.self_attn.v_proj;model.layers.26.mlp.gate_proj;model.layers.26.mlp.up_proj;model.layers.26.self_attn.k_proj;model.layers.26.self_attn.q_proj;model.layers.27.self_attn.k_proj;model.layers.27.self_attn.o_proj;model.layers.27.self_attn.v_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.v_proj;model.layers.29.mlp.down_proj;model.layers.29.self_attn.k_proj;model.layers.3.mlp.down_proj;model.layers.3.mlp.gate_proj;model.layers.30.self_attn.v_proj;model.layers.31.self_attn.k_proj;model.layers.31.self_attn.o_proj;model.layers.4.mlp.gate_proj;model.layers.5.mlp.down_proj;model.layers.6.mlp.up_proj;model.layers.7.mlp.gate_proj;model.layers.8.mlp.down_proj;model.layers.8.mlp.gate_proj;model.layers.9.self_attn.k_proj;model.layers.9.self_attn.q_proj,6.76766742247904,0.39988300660841253,0.43921442162267943,6.1875269351113,"early:10,middle:32,late:22;down_proj:14,gate_proj:12,k_proj:10,o_proj:5,q_proj:10,up_proj:7,v_proj:6"
sparse_nvfp4_struct_c064_pair04_low_structural,sparse_nvfp4_struct_c064_pair04,low_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.0.mlp.down_proj;model.layers.0.mlp.gate_proj;model.layers.0.mlp.up_proj;model.layers.0.self_attn.k_proj;model.layers.0.self_attn.q_proj;model.layers.0.self_attn.v_proj;model.layers.1.self_attn.v_proj;model.layers.10.self_attn.k_proj;model.layers.10.self_attn.v_proj;model.layers.11.mlp.down_proj;model.layers.11.mlp.gate_proj;model.layers.11.mlp.up_proj;model.layers.11.self_attn.q_proj;model.layers.12.self_attn.o_proj;model.layers.15.mlp.up_proj;model.layers.15.self_attn.k_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.down_proj;model.layers.16.mlp.gate_proj;model.layers.17.mlp.down_proj;model.layers.17.mlp.up_proj;model.layers.17.self_attn.o_proj;model.layers.18.mlp.down_proj;model.layers.18.mlp.up_proj;model.layers.19.self_attn.k_proj;model.layers.2.mlp.gate_proj;model.layers.2.self_attn.q_proj;model.layers.2.self_attn.v_proj;model.layers.20.self_attn.v_proj;model.layers.21.self_attn.v_proj;model.layers.22.mlp.up_proj;model.layers.23.self_attn.o_proj;model.layers.23.self_attn.v_proj;model.layers.24.mlp.gate_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.k_proj;model.layers.25.mlp.down_proj;model.layers.25.self_attn.o_proj;model.layers.26.mlp.down_proj;model.layers.26.mlp.gate_proj;model.layers.26.self_attn.o_proj;model.layers.27.self_attn.o_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.v_proj;model.layers.29.mlp.down_proj;model.layers.29.self_attn.o_proj;model.layers.3.mlp.down_proj;model.layers.3.mlp.up_proj;model.layers.3.self_attn.k_proj;model.layers.3.self_attn.q_proj;model.layers.30.self_attn.v_proj;model.layers.31.mlp.down_proj;model.layers.31.mlp.gate_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.q_proj;model.layers.5.mlp.down_proj;model.layers.6.mlp.up_proj;model.layers.7.mlp.gate_proj;model.layers.7.self_attn.q_proj;model.layers.7.self_attn.v_proj;model.layers.8.self_attn.o_proj;model.layers.8.self_attn.v_proj;model.layers.9.self_attn.o_proj;model.layers.9.self_attn.q_proj,6.7640690502063,0.35069232290342756,0.4489779154838897,5.275708401253912,"early:21,middle:27,late:16;down_proj:11,gate_proj:8,k_proj:7,o_proj:9,q_proj:7,up_proj:10,v_proj:12"
sparse_nvfp4_struct_c064_pair04_high_structural,sparse_nvfp4_struct_c064_pair04,high_structural,structural_raw_matched,sparse_nvfp4,64,model.layers.11.mlp.gate_proj;model.layers.11.self_attn.o_proj;model.layers.11.self_attn.q_proj;model.layers.12.mlp.down_proj;model.layers.12.self_attn.q_proj;model.layers.13.self_attn.o_proj;model.layers.13.self_attn.q_proj;model.layers.14.mlp.down_proj;model.layers.14.self_attn.o_proj;model.layers.14.self_attn.q_proj;model.layers.15.mlp.up_proj;model.layers.15.self_attn.o_proj;model.layers.15.self_attn.q_proj;model.layers.16.self_attn.o_proj;model.layers.16.self_attn.q_proj;model.layers.17.mlp.down_proj;model.layers.17.self_attn.o_proj;model.layers.18.mlp.down_proj;model.layers.18.mlp.up_proj;model.layers.18.self_attn.k_proj;model.layers.19.mlp.gate_proj;model.layers.19.self_attn.k_proj;model.layers.2.mlp.down_proj;model.layers.2.mlp.gate_proj;model.layers.2.self_attn.k_proj;model.layers.20.mlp.down_proj;model.layers.20.mlp.up_proj;model.layers.20.self_attn.k_proj;model.layers.21.mlp.down_proj;model.layers.21.self_attn.k_proj;model.layers.24.mlp.down_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.o_proj;model.layers.25.self_attn.k_proj;model.layers.26.mlp.down_proj;model.layers.26.mlp.up_proj;model.layers.26.self_attn.k_proj;model.layers.26.self_attn.o_proj;model.layers.26.self_attn.v_proj;model.layers.27.self_attn.q_proj;model.layers.27.self_attn.v_proj;model.layers.28.mlp.gate_proj;model.layers.28.self_attn.q_proj;model.layers.29.mlp.down_proj;model.layers.29.mlp.gate_proj;model.layers.29.self_attn.k_proj;model.layers.29.self_attn.o_proj;model.layers.29.self_attn.q_proj;model.layers.30.self_attn.k_proj;model.layers.31.self_attn.k_proj;model.layers.31.self_attn.q_proj;model.layers.4.mlp.gate_proj;model.layers.5.mlp.down_proj;model.layers.5.self_attn.k_proj;model.layers.5.self_attn.q_proj;model.layers.6.mlp.up_proj;model.layers.6.self_attn.v_proj;model.layers.7.mlp.down_proj;model.layers.7.self_attn.k_proj;model.layers.7.self_attn.q_proj;model.layers.8.mlp.up_proj;model.layers.8.self_attn.v_proj;model.layers.9.mlp.down_proj;model.layers.9.self_attn.k_proj,6.765914788808766,0.4013074805339531,0.43655449599799045,6.177725629853059,"early:12,middle:31,late:21;down_proj:13,gate_proj:6,k_proj:13,o_proj:9,q_proj:12,up_proj:7,v_proj:4"
