method,variant,split,rows,pearson,spearman,mae,rmse
sparse_nvfp4,local_only,train,56,0.9433534915196575,0.9258373205741627,0.04476112452386994,0.059053474517732796
sparse_nvfp4,local_only,holdout,24,0.9318132387575587,0.9278260869565217,0.05117662832847609,0.06710555343125936
sparse_nvfp4,local_only,all,80,0.9399585951417806,0.9281059540553213,0.04668577566525178,0.06157974981457982
sparse_nvfp4,local_layer,train,56,0.9652559464082158,0.9456596035543404,0.03857534136280561,0.04772915386467804
sparse_nvfp4,local_layer,holdout,24,0.9326795161922372,0.9408695652173913,0.05426480552142464,0.06897911033837897
sparse_nvfp4,local_layer,all,80,0.9548023547357767,0.943624003750586,0.04328218061039132,0.05497350078873417
sparse_nvfp4,local_type,train,56,0.9547390584037116,0.9522898154477102,0.04225046553783792,0.05352969452744442
sparse_nvfp4,local_type,holdout,24,0.9423522686714532,0.948695652173913,0.04782222906638159,0.06334858248614751
sparse_nvfp4,local_type,all,80,0.9512821591572449,0.9604781997187061,0.043921994596401025,0.05665432559162919
sparse_nvfp4,final_layer_type,train,56,0.9724288871701756,0.9674641148325358,0.03626918733588157,0.04314865387627519
sparse_nvfp4,final_layer_type,holdout,24,0.9457512859958123,0.9643478260869566,0.05042809572851133,0.06378266945752363
sparse_nvfp4,final_layer_type,all,80,0.9639818805563104,0.9695733708391937,0.04051685985367049,0.050236770486094484
