pair_id,selected_modules,raw_rel_gap,empirical_score_delta,type_score_delta,depth_score_delta,low_composition,high_composition
sparse_nvfp4_empirical_c064_pair00,64,5.229724508661597e-05,0.0998737875824539,0.04988222731542302,0.049991560267030874,"early:12,middle:31,late:21;down_proj:6,gate_proj:9,k_proj:11,o_proj:7,q_proj:9,up_proj:11,v_proj:11","early:19,middle:30,late:15;down_proj:12,gate_proj:13,k_proj:9,o_proj:10,q_proj:8,up_proj:6,v_proj:6"
sparse_nvfp4_empirical_c064_pair01,64,4.747048827868677e-05,0.0999759260350031,0.050236822406806964,0.049739103628196155,"early:17,middle:30,late:17;down_proj:10,gate_proj:8,k_proj:8,o_proj:12,q_proj:8,up_proj:7,v_proj:11","early:21,middle:32,late:11;down_proj:12,gate_proj:11,k_proj:6,o_proj:7,q_proj:6,up_proj:15,v_proj:7"
sparse_nvfp4_empirical_c064_pair02,64,1.2172272337697983e-05,0.10031669972437907,0.04998148521524185,0.05033521450913722,"early:16,middle:35,late:13;down_proj:9,gate_proj:12,k_proj:8,o_proj:9,q_proj:6,up_proj:7,v_proj:13","early:19,middle:32,late:13;down_proj:15,gate_proj:12,k_proj:6,o_proj:6,q_proj:11,up_proj:8,v_proj:6"
sparse_nvfp4_empirical_c064_pair03,64,5.8798194580348506e-05,0.09970084740767532,0.049737051194312765,0.049963796213362555,"early:14,middle:33,late:17;down_proj:6,gate_proj:7,k_proj:12,o_proj:8,q_proj:7,up_proj:12,v_proj:12","early:20,middle:26,late:18;down_proj:8,gate_proj:12,k_proj:8,o_proj:11,q_proj:6,up_proj:10,v_proj:9"
sparse_nvfp4_empirical_c064_pair04,64,8.92477732416701e-05,0.1003510997036394,0.050148213422133305,0.050202886281506084,"early:18,middle:32,late:14;down_proj:7,gate_proj:6,k_proj:10,o_proj:13,q_proj:13,up_proj:7,v_proj:8","early:19,middle:34,late:11;down_proj:11,gate_proj:9,k_proj:9,o_proj:8,q_proj:12,up_proj:10,v_proj:5"
sparse_nvfp4_empirical_c064_pair05,64,0.00020223506376782933,0.09996365640712639,0.049869300885704626,0.05009435552142176,"early:15,middle:29,late:20;down_proj:7,gate_proj:10,k_proj:9,o_proj:7,q_proj:8,up_proj:12,v_proj:11","early:19,middle:34,late:11;down_proj:10,gate_proj:13,k_proj:3,o_proj:7,q_proj:11,up_proj:8,v_proj:12"
sparse_nvfp4_empirical_c064_pair06,64,0.00018846641853259997,0.09988937504864723,0.04987003680626071,0.05001933824238652,"early:12,middle:37,late:15;down_proj:5,gate_proj:9,k_proj:13,o_proj:9,q_proj:10,up_proj:8,v_proj:10","early:18,middle:34,late:12;down_proj:12,gate_proj:9,k_proj:13,o_proj:9,q_proj:4,up_proj:8,v_proj:9"
sparse_nvfp4_empirical_c064_pair07,64,7.26818090762756e-05,0.09961373468610435,0.04976477076816543,0.049848963917938936,"early:11,middle:40,late:13;down_proj:9,gate_proj:6,k_proj:6,o_proj:12,q_proj:15,up_proj:7,v_proj:9","early:15,middle:33,late:16;down_proj:9,gate_proj:13,k_proj:8,o_proj:9,q_proj:11,up_proj:7,v_proj:7"
sparse_nvfp4_empirical_c064_pair08,64,9.107128436929907e-05,0.09978254785493584,0.04973033141481317,0.050052216440122664,"early:14,middle:32,late:18;down_proj:4,gate_proj:9,k_proj:10,o_proj:10,q_proj:11,up_proj:10,v_proj:10","early:18,middle:31,late:15;down_proj:7,gate_proj:14,k_proj:6,o_proj:11,q_proj:10,up_proj:8,v_proj:8"
sparse_nvfp4_empirical_c064_pair09,64,9.004188819006136e-05,0.09987459070445501,0.050184716508467696,0.0496898741959873,"early:8,middle:34,late:22;down_proj:6,gate_proj:8,k_proj:11,o_proj:9,q_proj:9,up_proj:9,v_proj:12","early:15,middle:33,late:16;down_proj:14,gate_proj:7,k_proj:7,o_proj:12,q_proj:10,up_proj:6,v_proj:8"
sparse_nvfp4_empirical_c064_pair10,64,0.00013647995197757753,0.09978915243870218,0.04976913258267065,0.05002001985603153,"early:12,middle:31,late:21;down_proj:8,gate_proj:6,k_proj:12,o_proj:14,q_proj:4,up_proj:8,v_proj:12","early:13,middle:37,late:14;down_proj:13,gate_proj:6,k_proj:8,o_proj:6,q_proj:13,up_proj:10,v_proj:8"
sparse_nvfp4_empirical_c064_pair11,64,0.00023270840295442935,0.09987122858371403,0.05003684641967469,0.049834382164039355,"early:13,middle:33,late:18;down_proj:6,gate_proj:7,k_proj:11,o_proj:8,q_proj:10,up_proj:7,v_proj:15","early:20,middle:25,late:19;down_proj:8,gate_proj:13,k_proj:8,o_proj:11,q_proj:11,up_proj:9,v_proj:4"
