candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,prefill_first_ms,prefill_steady_ms,decode_ms,decode_first_ms,decode_steady_ms,total_ms,weighted_total_ms,online_conversion_ms,timing_mode,model_key,scenario,linear_group,n,k,count,method,source,requested_gpu,local_gpu,m_prefill
dense_bf16,dense_bf16,dense_bf16,True,,6.398860836029053,6.992127895355225,6.398860836029053,0.0,0.0,0.0,6.398860836029053,204.7635467529297,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.down_proj,4096,11008,32,dense_bf16,fresh_microbench,7,0,16384
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,5.116531181335449,5.5207037925720215,5.116531181335449,0.0,0.0,0.0,5.116531181335449,163.72899780273437,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.down_proj,4096,11008,32,dense_nvfp4,fresh_microbench,7,0,16384
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.2431904077529907,43.754913330078125,3.2431904077529907,0.0,0.0,0.0,3.2431904077529907,103.7820930480957,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.down_proj,4096,11008,32,sparse_bf16,fresh_microbench,7,0,16384
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,4.806080055236817,5.18236780166626,4.806080055236817,0.0,0.0,0.0,4.806080055236817,153.79456176757813,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.down_proj,4096,11008,32,sparse_nvfp4,fresh_microbench,7,0,16384
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.1879072189331055,6.184576034545898,6.1879072189331055,0.0,0.0,0.0,6.1879072189331055,198.01303100585938,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.down_proj,4096,11008,32,marlin_nvfp4,fresh_microbench,7,0,16384
dense_bf16,dense_bf16,dense_bf16,True,,6.114396762847901,6.351776123046875,6.114396762847901,0.0,0.0,0.0,6.114396762847901,195.66069641113282,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.gate_proj,11008,4096,32,dense_bf16,fresh_microbench,7,0,16384
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.8061856031417847,3.010848045349121,2.8061856031417847,0.0,0.0,0.0,2.8061856031417847,89.79793930053711,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.gate_proj,11008,4096,32,dense_nvfp4,fresh_microbench,7,0,16384
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.238054394721985,39.4549446105957,3.238054394721985,0.0,0.0,0.0,3.238054394721985,103.61774063110352,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.gate_proj,11008,4096,32,sparse_bf16,fresh_microbench,7,0,16384
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.3487871646881104,2.431648015975952,2.3487871646881104,0.0,0.0,0.0,2.3487871646881104,75.16118927001953,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.gate_proj,11008,4096,32,sparse_nvfp4,fresh_microbench,7,0,16384
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.43273286819458,6.434112071990967,6.43273286819458,0.0,0.0,0.0,6.43273286819458,205.84745178222656,0.0,warm_e2e_aligned,llama2-7b,prefill_only,mlp.gate_proj,11008,4096,32,marlin_nvfp4,fresh_microbench,7,0,16384
