policy_id,sample_kind,method,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,worker_index,gpu,source_artifact
dense_nvfp4_strat_c016_b00_00,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9600545711480009,0.002166116307626309,7.099714494155738,65408,128203.24938964844,1.9578884548403745,0,0,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b00_01,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9623094752810006,0.004421020440626089,7.115741732864133,65408,128350.73815917969,1.9578884548403745,1,1,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b00_02,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9632965865200513,0.0054081316796767975,7.122769229392602,65408,128415.30313110352,1.9578884548403745,2,2,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b00_03,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9622220507806527,0.0043335959402781565,7.115119669890701,65408,128345.01989746094,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b00_04,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9611461115909883,0.0032576567506137355,7.1074683507139165,65408,128274.64486694336,1.9578884548403745,0,0,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b01_00,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9641178606074383,0.006229405767063767,7.1286213779711955,65408,128469.02102661133,1.9578884548403745,1,1,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b01_01,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9615627958816557,0.0036743410412811706,7.1104305382277175,65408,128301.89935302734,1.9578884548403745,2,2,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b01_02,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9625315456241077,0.00464309078373315,7.117322103542446,65408,128365.26333618164,1.9578884548403745,3,3,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b01_03,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9600919459430672,0.0022034911026926896,7.099979849488757,65408,128205.69400024414,1.9578884548403745,0,0,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
dense_nvfp4_strat_c016_b01_04,stratified_raw_bin_diverse,dense_nvfp4,16,16,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9637102110278584,0.0058217561874838175,7.125715990693666,65408,128442.35748291016,1.9578884548403745,1,1,/root/wja/project/my/cospaq/fake/artifacts/results/main/003_llama2_7b_arc_easy_accuracy/prepared/dense_nvfp4/model.pt
