module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.1.mlp.gate_proj,1,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.01200470422485662
model.layers.2.mlp.gate_proj,2,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.007191319901031855
model.layers.2.mlp.up_proj,2,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.005680257879377429
model.layers.4.mlp.gate_proj,4,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.0062637312831265845
model.layers.4.mlp.up_proj,4,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.006001919197688038
model.layers.5.mlp.gate_proj,5,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.005922884699298757
model.layers.5.mlp.up_proj,5,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.0059122677609109095
model.layers.6.mlp.up_proj,6,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.004780913829120229
model.layers.7.mlp.gate_proj,7,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.00495542993371918
model.layers.7.mlp.up_proj,7,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.005581432488535452
model.layers.8.mlp.up_proj,8,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.004285120302112331
model.layers.9.mlp.gate_proj,9,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.01054134696904959
model.layers.10.mlp.up_proj,10,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.0038866647148623054
model.layers.13.mlp.up_proj,13,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.004948698264325817
model.layers.16.mlp.gate_proj,16,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.00557308947923713
model.layers.16.mlp.up_proj,16,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.005442742112296008
model.layers.17.mlp.gate_proj,17,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.006188731659399196
model.layers.17.mlp.up_proj,17,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.006148447738009937
model.layers.18.mlp.gate_proj,18,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.006958017875462805
model.layers.18.mlp.up_proj,18,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.006774135988806774
model.layers.19.mlp.up_proj,19,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.00403500171869681
model.layers.20.mlp.gate_proj,20,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.0064375908974079795
model.layers.20.mlp.up_proj,20,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.005660999690346356
model.layers.21.mlp.up_proj,21,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.003968616924942962
model.layers.22.mlp.gate_proj,22,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.005403534581748455
model.layers.22.mlp.up_proj,22,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.0044137250127724145
model.layers.27.mlp.gate_proj,27,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.005446172367684374
model.layers.27.mlp.up_proj,27,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.004363172655289611
model.layers.30.mlp.gate_proj,30,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.007079498304769136
