policy_id,sample_kind,method,selected_modules,raw_bin,selected_names,raw_error_sum,layer_entropy,type_entropy
dense_nvfp4_strat_c016_b00_00,stratified_raw_bin_diverse,dense_nvfp4,16,0,model.layers.10.self_attn.q_proj;model.layers.14.mlp.up_proj;model.layers.14.self_attn.k_proj;model.layers.14.self_attn.q_proj;model.layers.15.self_attn.q_proj;model.layers.16.self_attn.o_proj;model.layers.17.self_attn.q_proj;model.layers.2.self_attn.v_proj;model.layers.21.self_attn.q_proj;model.layers.24.self_attn.q_proj;model.layers.28.self_attn.q_proj;model.layers.4.mlp.gate_proj;model.layers.4.self_attn.q_proj;model.layers.8.mlp.down_proj;model.layers.8.mlp.up_proj;model.layers.9.self_attn.q_proj,0.1397524289202521,2.3933121229745242,1.4500064999181648
dense_nvfp4_strat_c016_b00_01,stratified_raw_bin_diverse,dense_nvfp4,16,0,model.layers.11.self_attn.q_proj;model.layers.13.self_attn.q_proj;model.layers.16.mlp.gate_proj;model.layers.17.mlp.gate_proj;model.layers.18.mlp.gate_proj;model.layers.21.mlp.gate_proj;model.layers.21.self_attn.q_proj;model.layers.22.mlp.gate_proj;model.layers.23.mlp.gate_proj;model.layers.27.mlp.gate_proj;model.layers.27.self_attn.o_proj;model.layers.3.mlp.gate_proj;model.layers.30.mlp.gate_proj;model.layers.5.self_attn.o_proj;model.layers.8.mlp.gate_proj;model.layers.9.mlp.gate_proj,0.15396934355750114,2.599301927099795,0.8314025204956377
dense_nvfp4_strat_c016_b00_02,stratified_raw_bin_diverse,dense_nvfp4,16,0,model.layers.0.mlp.up_proj;model.layers.1.mlp.gate_proj;model.layers.11.self_attn.k_proj;model.layers.12.mlp.up_proj;model.layers.14.mlp.gate_proj;model.layers.16.mlp.up_proj;model.layers.17.mlp.gate_proj;model.layers.17.self_attn.k_proj;model.layers.18.mlp.up_proj;model.layers.19.mlp.up_proj;model.layers.2.mlp.down_proj;model.layers.24.mlp.up_proj;model.layers.27.self_attn.o_proj;model.layers.30.mlp.up_proj;model.layers.31.mlp.gate_proj;model.layers.5.self_attn.k_proj,0.16132864789259907,2.685945324669788,1.3686896376228384
dense_nvfp4_strat_c016_b00_03,stratified_raw_bin_diverse,dense_nvfp4,16,0,model.layers.0.self_attn.k_proj;model.layers.11.self_attn.k_proj;model.layers.15.mlp.down_proj;model.layers.19.mlp.down_proj;model.layers.19.self_attn.k_proj;model.layers.20.mlp.down_proj;model.layers.22.self_attn.k_proj;model.layers.25.self_attn.o_proj;model.layers.26.self_attn.k_proj;model.layers.29.mlp.down_proj;model.layers.29.self_attn.o_proj;model.layers.3.self_attn.o_proj;model.layers.31.mlp.down_proj;model.layers.4.mlp.down_proj;model.layers.5.self_attn.k_proj;model.layers.5.self_attn.o_proj,0.16496779154317812,2.5126585295298014,1.0821955300387671
dense_nvfp4_strat_c016_b00_04,stratified_raw_bin_diverse,dense_nvfp4,16,0,model.layers.0.mlp.down_proj;model.layers.10.mlp.gate_proj;model.layers.11.mlp.gate_proj;model.layers.11.self_attn.k_proj;model.layers.13.mlp.gate_proj;model.layers.14.self_attn.k_proj;model.layers.14.self_attn.v_proj;model.layers.16.self_attn.v_proj;model.layers.17.self_attn.k_proj;model.layers.20.self_attn.q_proj;model.layers.22.self_attn.k_proj;model.layers.22.self_attn.v_proj;model.layers.29.self_attn.q_proj;model.layers.30.self_attn.v_proj;model.layers.5.self_attn.v_proj;model.layers.7.self_attn.v_proj,0.16517977674707834,2.5126585295298014,1.4614721293040243
dense_nvfp4_strat_c016_b01_00,stratified_raw_bin_diverse,dense_nvfp4,16,1,model.layers.0.mlp.gate_proj;model.layers.10.self_attn.q_proj;model.layers.14.mlp.gate_proj;model.layers.15.mlp.down_proj;model.layers.15.mlp.gate_proj;model.layers.15.self_attn.o_proj;model.layers.18.self_attn.o_proj;model.layers.18.self_attn.q_proj;model.layers.21.mlp.gate_proj;model.layers.23.mlp.up_proj;model.layers.26.mlp.gate_proj;model.layers.29.mlp.gate_proj;model.layers.30.self_attn.v_proj;model.layers.31.mlp.gate_proj;model.layers.5.mlp.gate_proj;model.layers.9.mlp.gate_proj,0.1780614889445818,2.4799555205445176,1.3633631023481714
dense_nvfp4_strat_c016_b01_01,stratified_raw_bin_diverse,dense_nvfp4,16,1,model.layers.1.self_attn.q_proj;model.layers.12.self_attn.v_proj;model.layers.13.self_attn.q_proj;model.layers.15.self_attn.q_proj;model.layers.17.mlp.up_proj;model.layers.20.mlp.up_proj;model.layers.20.self_attn.q_proj;model.layers.23.mlp.up_proj;model.layers.23.self_attn.q_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.v_proj;model.layers.25.mlp.up_proj;model.layers.26.self_attn.q_proj;model.layers.4.mlp.down_proj;model.layers.4.mlp.up_proj;model.layers.6.self_attn.q_proj,0.1783374097010162,2.4260151319598084,1.1626998334975678
dense_nvfp4_strat_c016_b01_02,stratified_raw_bin_diverse,dense_nvfp4,16,1,model.layers.0.self_attn.q_proj;model.layers.11.self_attn.v_proj;model.layers.14.mlp.gate_proj;model.layers.17.mlp.down_proj;model.layers.18.self_attn.v_proj;model.layers.2.self_attn.q_proj;model.layers.21.self_attn.q_proj;model.layers.23.self_attn.v_proj;model.layers.29.self_attn.v_proj;model.layers.3.self_attn.k_proj;model.layers.3.self_attn.v_proj;model.layers.31.self_attn.q_proj;model.layers.7.mlp.gate_proj;model.layers.8.mlp.down_proj;model.layers.8.self_attn.q_proj;model.layers.8.self_attn.v_proj,0.17866329255164592,2.479955520544517,1.424442778503618
dense_nvfp4_strat_c016_b01_03,stratified_raw_bin_diverse,dense_nvfp4,16,1,model.layers.0.mlp.down_proj;model.layers.0.self_attn.k_proj;model.layers.0.self_attn.q_proj;model.layers.12.self_attn.k_proj;model.layers.15.mlp.down_proj;model.layers.15.self_attn.o_proj;model.layers.17.mlp.up_proj;model.layers.18.self_attn.o_proj;model.layers.19.self_attn.q_proj;model.layers.23.self_attn.o_proj;model.layers.24.mlp.gate_proj;model.layers.24.self_attn.o_proj;model.layers.4.self_attn.o_proj;model.layers.5.self_attn.o_proj;model.layers.7.self_attn.q_proj;model.layers.9.self_attn.o_proj,0.18183975785278247,2.393312122974524,1.5419764327628247
dense_nvfp4_strat_c016_b01_04,stratified_raw_bin_diverse,dense_nvfp4,16,1,model.layers.10.mlp.down_proj;model.layers.12.mlp.down_proj;model.layers.13.self_attn.k_proj;model.layers.17.self_attn.k_proj;model.layers.19.mlp.up_proj;model.layers.20.self_attn.v_proj;model.layers.21.self_attn.o_proj;model.layers.21.self_attn.v_proj;model.layers.22.mlp.down_proj;model.layers.25.mlp.down_proj;model.layers.30.mlp.down_proj;model.layers.30.self_attn.k_proj;model.layers.31.self_attn.k_proj;model.layers.4.mlp.down_proj;model.layers.6.self_attn.k_proj;model.layers.8.self_attn.k_proj,0.18237841404165753,2.599301927099795,1.3421257227487469
