name,backend,n,k,predicted_latency_ms,reason
backbone.layer.0.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.0.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.0.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.0.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.0.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.0.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.0.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.1.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.1.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.1.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.1.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.1.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.1.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.1.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.2.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.2.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.2.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.2.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.2.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.2.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.2.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.3.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.3.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.3.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.3.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.3.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.3.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.3.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.4.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.4.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.4.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.4.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.4.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.4.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.4.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.5.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.5.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.5.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.5.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.5.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.5.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.5.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.6.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.6.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.6.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.6.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.6.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.6.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.6.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.7.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.7.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.7.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.7.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.7.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.7.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.7.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.8.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.8.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.8.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.8.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.8.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.8.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.8.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.9.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.9.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.9.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.9.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.9.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.9.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.9.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.10.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.10.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.10.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.10.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.10.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.10.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.10.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.11.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.11.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.11.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.11.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.11.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.11.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.11.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.12.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.12.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.12.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.12.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.12.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.12.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.12.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.13.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.13.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.13.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.13.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.13.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.13.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.13.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
