supported,reason,latency_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,source,batch_size,m,n,k,backend
True,,2.4489503860473634,2.4494080543518066,2.4582686901092528,2.438271999359131,2.461695909500122,manual_profile,16,16384,4096,4096,dense_bf16
True,,2.0315327882766723,2.0278559923171997,2.048022484779358,2.0183041095733643,2.0482239723205566,manual_profile,16,16384,4096,4096,dense_nvfp4
True,,1.3042752027511597,1.3011839985847473,1.316032028198242,1.2974720001220703,1.319200038909912,manual_profile,16,16384,4096,4096,sparse_bf16
True,,1.8852447867393494,1.8806719779968262,1.9015872001647949,1.8730560541152954,1.9080959558486938,manual_profile,16,16384,4096,4096,sparse_nvfp4
True,,6.493967962265015,6.493135929107666,6.503935861587524,6.483839988708496,6.509407997131348,manual_profile,16,16384,4096,11008,dense_bf16
True,,5.135273599624634,5.135807991027832,5.141942405700683,5.122655868530273,5.149631977081299,manual_profile,16,16384,4096,11008,dense_nvfp4
True,,3.277968001365662,3.2776960134506226,3.2810719966888424,3.272671937942505,3.2829439640045166,manual_profile,16,16384,4096,11008,sparse_bf16
True,,4.815846347808838,4.8172478675842285,4.82915530204773,4.798975944519043,4.83465576171875,manual_profile,16,16384,4096,11008,sparse_nvfp4
True,,6.186233568191528,6.185119867324829,6.1960255146026615,6.177824020385742,6.203167915344238,manual_profile,16,16384,11008,4096,dense_bf16
True,,2.8333663940429688,2.822816014289856,2.8379839897155765,2.8128321170806885,2.9393599033355713,manual_profile,16,16384,11008,4096,dense_nvfp4
True,,3.2717792272567747,3.2700799703598022,3.2813663482666016,3.2642879486083984,3.2815680503845215,manual_profile,16,16384,11008,4096,sparse_bf16
True,,2.3703775882720945,2.3689600229263306,2.3736448049545285,2.3639039993286133,2.389888048171997,manual_profile,16,16384,11008,4096,sparse_nvfp4
