batch_size,family,latency_mean_ms,samples_per_sec,best_uniform_family,best_uniform_latency_mean_ms,best_uniform_samples_per_sec,speedup_vs_best_uniform,replaced_linear_count,skipped_linear_count,backend_counts,device_name,policy_path
1,manual_profile,64.374396,15.534126,uniform_sparse_bf16,65.807288,15.195885,1.022259,224,0,"{""sparse_bf16"": 128, ""sparse_nvfp4"": 96}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/manual_profile/batch_1/policy.json
1,latency_model,60.203033,16.610459,uniform_sparse_bf16,65.807288,15.195885,1.093089,224,0,"{""sparse_bf16"": 160, ""sparse_nvfp4"": 64}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/latency_model/batch_1/policy.json
2,manual_profile,105.338689,18.986376,uniform_sparse_nvfp4,103.283284,19.364218,0.980488,224,0,"{""dense_nvfp4"": 64, ""sparse_bf16"": 160}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/manual_profile/batch_2/policy.json
2,latency_model,100.744896,19.852122,uniform_sparse_nvfp4,103.283284,19.364218,1.025196,224,0,"{""sparse_bf16"": 32, ""sparse_nvfp4"": 192}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/latency_model/batch_2/policy.json
4,manual_profile,192.355710,20.794808,uniform_sparse_nvfp4,204.053455,19.602707,1.060813,224,0,"{""sparse_bf16"": 160, ""sparse_nvfp4"": 64}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/manual_profile/batch_4/policy.json
4,latency_model,192.638408,20.764291,uniform_sparse_nvfp4,204.053455,19.602707,1.059256,224,0,"{""sparse_bf16"": 160, ""sparse_nvfp4"": 64}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/latency_model/batch_4/policy.json
8,manual_profile,404.644479,19.770441,uniform_sparse_bf16,433.177371,18.468185,1.070513,224,0,"{""sparse_bf16"": 160, ""sparse_nvfp4"": 64}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/manual_profile/batch_8/policy.json
8,latency_model,405.282205,19.739332,uniform_sparse_bf16,433.177371,18.468185,1.068829,224,0,"{""sparse_bf16"": 160, ""sparse_nvfp4"": 64}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/latency_model/batch_8/policy.json
16,manual_profile,804.428046,19.889908,uniform_sparse_bf16,863.468427,18.529919,1.073394,224,0,"{""sparse_bf16"": 160, ""sparse_nvfp4"": 64}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/manual_profile/batch_16/policy.json
16,latency_model,804.234747,19.894689,uniform_sparse_bf16,863.468427,18.529919,1.073652,224,0,"{""sparse_bf16"": 160, ""sparse_nvfp4"": 64}",NVIDIA GeForce RTX 5090,/home/agent/wja/project/my/cospaq/fake/artifacts/debug/021_fakevlm_linear_hybrid_prefill_speed/policies/latency_model/batch_16/policy.json
