method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_hybrid_linear_attn_block_pct,prefill_full_attn_block_pct,prefill_mlp_block_pct,prefill_norm_pct,prefill_lm_head_pct,prefill_vision_pct,prefill_all_linear_pct,prefill_other_pct,decode_hybrid_linear_attn_block_pct,decode_full_attn_block_pct,decode_mlp_block_pct,decode_norm_pct,decode_lm_head_pct,decode_vision_pct,decode_all_linear_pct,decode_other_pct,prefill_total_ms,decode_total_ms,status
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,1,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,81.0143413571412,2.9521846950917987,10.288387722093125,3.018660223356842,1.2146516084546648,,15.378233797506786,1.5117743938623676,48.13755508708892,12.879098345037564,15.28948599624046,14.34221475796313,2.458078339807916,,28.749333149026967,6.8935674738620065,183.7234649658203,51.55220527648926,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,1,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,69.37347794586357,3.075443723789939,21.79704003360737,1.707892847250776,3.2398011760232057,,33.992200587654494,0.8063442734651431,46.835430948255244,11.969198239625856,15.770824401850378,14.109586178837796,2.131670890861162,,28.474527508122744,9.183289340569559,262.39772644042966,59.98359336853027,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4096,1,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,52.82849034552104,5.179728285610807,32.94717655072691,2.8558318713014605,5.635757580155542,,51.780291876992,0.5530153666842352,33.672117440142706,8.680100506612368,38.305587381583216,9.902691596192636,1.3621344423183446,,45.962587429747266,8.077368633150726,600.9613159179687,94.27087097167968,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,1,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,53.73750198508481,5.785582230127342,29.96918010801671,4.427599015901093,5.508533534251001,,46.74011560601887,0.5716031266190384,44.090819482289604,11.510319504994378,17.994495554515044,12.665983555919743,1.9475340616287173,,28.333817754120847,11.790847840652518,1229.64443359375,65.76028747558594,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,1,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,55.81290992927097,4.0372386165123455,30.968308204679754,3.1914709558161816,4.539675587780157,,47.75737068544462,1.450396705940591,43.521389583449256,11.369350462893028,19.208147905083965,12.325196476038842,1.7008297830455692,,29.01660801713309,11.875085789489333,187.74480133056642,72.85893096923829,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,1024,1,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,42.77470366989817,5.162234971797068,41.57780775581751,3.320848214774076,6.506840532143869,,59.936381191459574,0.657564855569305,42.40251869436954,11.105973544586085,20.92647298470378,11.839049166201718,1.5401018309457706,,27.91999204386932,12.185883779193105,520.8403289794921,80.6334213256836,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,4096,1,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,45.94176366111297,5.876444414654655,35.08910397550449,5.578204965510974,6.731679117998048,,54.948124502375066,0.7828038652188525,55.336287202743684,8.484074112713024,16.149909961915192,9.16844347912464,1.0924900049515478,,44.047503033202275,9.768795238551917,2022.7044799804687,113.7734146118164,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,8192,1,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOM
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,256,1,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,44.03679933994483,5.16023517546521,39.78574319806996,3.4997046680482757,6.78144665934398,,62.40778826714626,0.7360709591277441,31.76981754933036,8.246835933632253,40.24744079377686,8.693947512758069,0.9428445737651885,,21.515639101554186,10.099113636737272,502.3023162841797,132.8863784790039,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,1024,1,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,45.164868695630105,5.1113961309088065,36.60924826850594,5.575763641846152,6.740742527471542,,56.49462137170046,0.7979807356374522,40.938390142140705,10.765258753942266,22.33825327164949,11.158417977912606,1.1498628098424344,,28.48621398110745,13.649817044512503,2024.4371459960937,109.33951416015626,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,4096,1,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOM
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,8192,1,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOM
