method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,1,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,162.04788208007812,34.84767646789551,34.84767646789551,0.0,0.0,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,32,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,140.69655151367186,933.5944799423218,30.199250984191895,30.115950965881346,33.204994958748266,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,128,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,131.3797866821289,3566.767228126526,28.135718727111815,28.084781323830914,35.60647271807188,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,256,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,130.87295379638672,7141.244136810303,28.0379581451416,28.00487896788354,35.70806362515677,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,1,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,188.13482971191405,28.032368087768553,28.032368087768553,0.0,0.0,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,188.32412109375,863.6955753326416,28.043657493591308,27.861147591375534,35.892276034945226,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,188.45382080078124,3533.189400291443,28.031683349609374,27.820388978672778,35.94486046786061,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,256,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,188.49513092041016,7093.18099155426,27.970268630981444,27.816396045310825,35.95002021006154,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4096,1,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,573.6025329589844,28.164665603637694,28.164665603637694,0.0,0.0,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4096,32,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,573.5131103515625,864.8838569641114,28.122134399414062,27.899479256906815,35.84296290234303,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4096,128,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,573.531640625,3546.6765686035155,28.177862548828124,27.92658715435839,35.8081707038783,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4096,256,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,573.6462158203125,7115.113490486145,28.094694328308105,27.902405845043706,35.8392034562722,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,1,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,1219.6126831054687,28.159647941589355,28.159647941589355,0.0,0.0,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,1220.0835205078124,867.6541860580444,28.16021728515625,27.98884471154982,35.728520069545496,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,128,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,1219.9028198242188,3547.953123855591,28.153219413757324,27.936638770516463,35.79528690671877,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,256,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,1219.6248901367187,7131.06176147461,28.13086071014404,27.964948084214154,35.75905082993832,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,1,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,151.7579574584961,28.876620864868165,28.876620864868165,0.0,0.0,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,32,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,151.78028106689453,894.4112031936645,28.97779197692871,28.851974296569825,138.6386927592527,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,128,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,151.72870483398438,3655.9397151947023,28.934118270874023,28.78692689129687,138.95196299016263,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,256,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,151.73071899414063,7343.867404365539,28.938768196105958,28.799480017119762,138.89139656765374,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,1024,1,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,500.7745635986328,29.003129768371583,29.003129768371583,0.0,0.0,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,500.68104858398436,888.80182762146,28.86937599182129,28.671026697466452,139.51366451601345,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,500.7138732910156,3635.601495552063,28.85497932434082,28.626783429543803,139.72928568257743,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,1024,256,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,500.68407287597654,7306.8765846252445,28.79608325958252,28.654417978922528,139.59452964433964,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,4096,1,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,2020.062060546875,28.976777839660645,28.976777839660645,0.0,0.0,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,4096,32,False,4096,0,4096,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,2021.6082641601563,888.5506494522094,28.91924476623535,28.662924175877723,139.55310265818372,
