model,batch_size,input_tokens,output_tokens,scenario,prefill_ms,decode_per_token_ms,first_decode_ms,prefill_all_linear_pct,decode_all_linear_pct,prefill_other_pct,decode_other_pct,status
2b,1,256,1,prefill_only,121.36455307006835,0.0,25.803113746643067,9.2,20.9,2.2,9.4,
2b,1,256,32,prefill_decode,120.49981689453125,25.56005602805845,25.811417198181154,9.1,20.9,2.2,9.3,
2b,1,256,128,prefill_decode,97.74898986816406,20.781857498048797,20.864851188659667,10.5,21.9,5.8,10.4,
2b,1,256,256,prefill_decode,97.50171508789063,20.71183204725677,20.836032104492187,10.8,23.3,5.9,11.2,
2b,1,1024,1,prefill_only,137.8445846557617,0.0,20.709801483154298,14.0,21.9,1.5,10.5,
2b,1,1024,32,prefill_decode,138.07161865234374,20.549855736763245,20.754771041870118,16.3,24.4,2.5,11.8,
2b,1,1024,128,prefill_decode,137.9865921020508,20.55831800746167,20.70422077178955,16.5,25.9,4.0,12.4,
2b,1,1024,256,prefill_decode,138.08396911621094,20.506971497629202,20.685465621948243,16.3,26.1,4.1,12.6,
2b,1,4096,1,prefill_only,299.3867218017578,0.0,20.83402214050293,19.7,23.3,0.6,11.3,
2b,1,4096,32,prefill_decode,299.2834167480469,20.5835479551746,20.77521915435791,22.4,27.1,1.4,13.5,
2b,1,4096,128,prefill_decode,299.37171936035156,20.565720948647325,20.99048957824707,21.7,28.7,2.3,13.2,
2b,1,4096,256,prefill_decode,299.16786499023436,20.553683536753933,20.793587112426756,21.2,28.8,2.6,13.4,
2b,1,8192,1,prefill_only,539.7602722167969,0.0,20.632595252990722,24.7,18.7,0.4,32.9,
2b,1,8192,32,prefill_decode,540.0147094726562,20.517150245174285,20.679337882995604,25.5,27.9,0.7,14.6,
2b,1,8192,128,prefill_decode,539.7279357910156,20.526152836056205,20.721382713317873,25.2,28.3,1.1,13.9,
2b,1,8192,256,prefill_decode,539.6349060058594,20.502553360134947,20.654668617248536,24.6,29.1,1.5,14.6,
2b,4,256,1,prefill_only,100.89320526123046,0.0,21.123267364501952,19.8,25.8,2.7,12.3,
2b,4,256,32,prefill_decode,100.7605354309082,20.973213238869945,21.04282569885254,21.2,28.6,8.8,14.7,
2b,4,256,128,prefill_decode,100.78929595947265,20.98278976200134,21.05440330505371,21.1,29.0,10.5,15.0,
2b,4,256,256,prefill_decode,100.75694732666015,20.97204232982561,21.069881439208984,20.7,30.2,11.0,14.5,
2b,4,1024,1,prefill_only,161.7040817260742,0.0,21.145869064331055,41.4,26.2,1.4,12.7,
2b,4,1024,32,prefill_decode,161.7094711303711,21.041381546758835,21.16100482940674,33.5,29.6,4.5,14.5,
2b,4,1024,128,prefill_decode,161.70067596435547,20.986766179903285,21.10575351715088,33.2,30.2,6.0,14.8,
2b,4,1024,256,prefill_decode,162.1171112060547,21.04030575770958,21.129830360412598,33.0,29.8,7.6,14.7,
2b,4,4096,1,prefill_only,640.1039611816407,0.0,21.254774284362792,42.4,26.7,0.9,13.0,
2b,4,4096,32,prefill_decode,640.1613708496094,21.08511756158644,21.247190284729005,42.1,30.1,1.4,15.0,
2b,4,4096,128,prefill_decode,640.0815490722656,21.06155242469367,21.280365180969238,41.8,31.4,1.9,14.8,
2b,4,4096,256,prefill_decode,640.0378234863281,21.078984341340906,21.241433334350585,41.5,30.6,2.0,15.3,
2b,4,8192,1,prefill_only,1366.8608642578124,0.0,21.259741020202636,38.3,27.1,0.9,13.3,
2b,4,8192,32,prefill_decode,1367.2971313476562,21.06210629863124,21.236352157592773,37.8,30.9,1.1,15.1,
2b,4,8192,128,prefill_decode,1367.264453125,21.02499232404814,21.215439987182616,37.9,30.8,1.3,15.4,
2b,4,8192,256,prefill_decode,1366.6526611328125,21.015851336460486,21.232098960876463,37.6,30.9,1.7,15.6,
2b,16,256,1,prefill_only,149.93058013916016,0.0,21.280652618408205,46.9,20.5,2.6,10.0,
2b,16,256,32,prefill_decode,149.75645904541017,21.134628751201014,21.25237121582031,33.8,30.8,9.7,15.2,
2b,16,256,128,prefill_decode,149.81634979248048,21.150006457952063,21.293503952026366,33.1,31.1,11.6,15.3,
2b,16,256,256,prefill_decode,149.8279800415039,21.162093298668953,21.24583625793457,32.3,31.4,12.8,15.6,
2b,16,1024,1,prefill_only,595.9907043457031,0.0,21.295283126831055,45.6,27.8,1.0,14.1,
2b,16,1024,32,prefill_decode,595.981494140625,21.149590313819147,21.334377670288085,45.2,31.1,1.5,15.6,
2b,16,1024,128,prefill_decode,595.9369873046875,21.12804995409147,21.278764533996583,45.0,31.5,2.0,15.8,
2b,16,1024,256,prefill_decode,595.6654602050781,21.105079309800093,21.299891471862793,N/A,N/A,N/A,N/A,
2b,16,4096,1,prefill_only,,,,N/A,N/A,N/A,N/A,OOM
2b,16,4096,32,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
2b,16,4096,128,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
2b,16,4096,256,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
2b,16,8192,1,prefill_only,,,,N/A,N/A,N/A,N/A,OOM
2b,16,8192,32,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
2b,16,8192,128,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
2b,16,8192,256,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
4b,1,256,1,prefill_only,158.18887023925782,0.0,33.988175582885745,9.3,23.9,2.0,8.6,
4b,1,256,32,prefill_decode,149.4104476928711,31.95443174915929,32.21841278076172,10.3,25.3,2.1,8.5,
4b,1,256,128,prefill_decode,127.41878662109374,27.18995258000892,27.324316787719727,N/A,N/A,N/A,N/A,
4b,1,256,256,prefill_decode,127.08626251220703,27.113726935293162,27.152790451049803,N/A,N/A,N/A,N/A,
4b,1,1024,1,prefill_only,179.99252166748047,0.0,27.132457733154297,17.7,22.7,1.1,10.1,
4b,1,1024,32,prefill_decode,180.36678771972657,27.00573201333323,27.19381446838379,22.1,24.9,1.2,10.1,
