method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4,128,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.58582229614258,3473.4577394485473,27.473840141296385,27.350060940539745,36.56298982931134,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4,256,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.58439712524414,6962.392924308777,27.387705421447755,27.303501663955988,36.625338841432345,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,4,512,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.45649490356445,13975.179111480713,27.435507202148436,27.348687106615877,36.56482653451001,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,16,128,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.77163925170899,3480.0155540466308,27.519971466064455,27.401697275957723,36.494089761271866,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,16,256,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.86870040893555,6991.81473312378,27.49880313873291,27.418881306367762,36.471218093342124,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,16,512,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.84323577880859,13980.37203540802,27.493282890319826,27.358849384360116,36.551244752699915,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,64,128,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.56871871948242,3464.045338821411,27.366755104064943,27.27594754977489,36.662337694231745,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,64,256,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.7490623474121,6963.44231929779,27.392278289794923,27.307616938422708,36.61981938061272,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,64,512,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.9183235168457,13963.054502487183,27.487750625610353,27.324959887450454,36.59657705332151,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,128,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,127.00401916503907,3482.5630783081056,27.427065658569337,27.421756522111068,36.46739402684387,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,256,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,126.76007308959962,7041.190661239624,27.445753479003905,27.612512397018133,36.215465859165704,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,256,512,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,126.94718399047852,14005.351020240783,27.47120018005371,27.40773193784889,36.48605445600712,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,4,128,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.99089279174805,3573.440268325806,28.208105659484865,28.13732494744729,142.15992484967526,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,4,256,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,113.18493194580078,7158.417050933838,28.244364738464355,28.072223729152306,142.48960248368567,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,4,512,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,113.17713241577148,14340.549420928955,28.29334087371826,28.06369749692555,142.53289326676253,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,16,128,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,113.63160400390625,3583.6476448059084,28.34656639099121,28.217697990597703,141.75500784411338,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,16,256,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,113.83914184570312,7191.673256492615,28.37846088409424,28.202640221539667,141.83069275000054,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,16,512,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,113.99755477905273,14389.492807769775,28.381171226501465,28.15947711892324,142.0480921256876,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,64,128,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,114.7551643371582,3588.2917198181153,28.32648983001709,28.25426551037886,141.57154425163338,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,64,256,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,114.57638473510742,7177.827148246765,28.259090995788576,28.14834175783045,142.1042857306953,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,64,512,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,114.65042266845703,14399.548051071168,28.366572761535643,28.179154698769405,141.9488995592434,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,128,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,151.12315368652344,3573.549135017395,28.248294258117674,28.1381821654913,142.15559400655258,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,256,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,151.1447998046875,7161.665776252747,28.183456039428712,28.084963828442145,142.42496534566047,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,256,512,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,151.22115631103514,14351.945377731323,28.172876930236818,28.08599878225308,142.41971706299125,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,4,128,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,113.80873489379883,3592.857143211365,28.409948921203615,28.290213726073738,565.5666003418548,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,4,256,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,113.75073318481445,7209.71759967804,28.385817527770996,28.273402351678588,565.9028864295875,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,16,4,512,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,113.8742691040039,14431.604597854614,28.429814529418945,28.24188766703447,566.5343686879721,
