model,batch_size,input_tokens,output_tokens,prefill_ms,decode_per_token_ms,prefill_all_linear_pct,decode_all_linear_pct
2b,1,4,128,92.23774337768555,21.561207051915446,8.1,22.1
2b,1,4,256,84.3951301574707,20.244538173301546,N/A,N/A
2b,1,4,512,84.50618591308594,20.27927213732277,N/A,N/A
2b,1,16,128,84.67975692749023,20.269942600520576,8.4,22.0
2b,1,16,256,84.84344635009765,20.279475649665383,N/A,N/A
2b,1,16,512,84.82993621826172,20.275691363862816,N/A,N/A
2b,1,64,128,84.37349090576171,20.297220925458774,9.4,23.3
2b,1,64,256,84.35623626708984,20.242884380116184,N/A,N/A
2b,1,64,512,84.43836135864258,20.271258950280117,N/A,N/A
2b,1,256,128,95.12293395996093,20.42712285950428,69.9,24.6
2b,1,256,256,94.97206649780273,20.350487634247425,N/A,N/A
2b,1,256,512,95.15667419433593,20.393034903643883,N/A,N/A
2b,4,4,128,85.03274230957031,20.716731978589156,11.1,25.7
2b,4,4,256,85.0148826599121,20.752227313471774,N/A,N/A
2b,4,4,512,85.05338516235352,20.719546561791706,N/A,N/A
2b,4,16,128,85.3288803100586,20.76149988850271,13.0,26.3
2b,4,16,256,85.23335113525391,20.711002934773763,N/A,N/A
2b,4,16,512,85.44069137573243,20.760481970650808,N/A,N/A
2b,4,64,128,85.30616455078125,20.763163398382233,14.3,27.4
2b,4,64,256,85.28731536865234,20.70763956032547,N/A,N/A
2b,4,64,512,85.3186019897461,20.70597037111943,N/A,N/A
2b,4,256,128,98.6535430908203,20.648508250619482,21.0,27.9
2b,4,256,256,98.68490219116211,20.696021764418656,N/A,N/A
2b,4,256,512,98.83292083740234,20.71144524255144,N/A,N/A
2b,16,4,128,85.34896926879883,20.833129035769485,15.1,28.1
2b,16,4,256,85.46077423095703,20.870658202077827,N/A,N/A
2b,16,4,512,85.48657608032227,20.838947779511752,N/A,N/A
2b,16,16,128,86.33133468627929,20.859649634173536,15.6,28.0
2b,16,16,256,86.37017974853515,20.841937670240217,N/A,N/A
2b,16,16,512,86.50393524169922,20.846823131314927,N/A,N/A
2b,16,64,128,89.20845794677734,20.882988178823876,22.3,28.9
2b,16,64,256,89.32248001098633,20.83494280198041,N/A,N/A
2b,16,64,512,89.40220947265625,20.842270128880926,N/A,N/A
2b,16,256,128,149.7128875732422,20.892017941212092,41.0,28.3
2b,16,256,256,149.7077209472656,20.865638422498517,N/A,N/A
2b,16,256,512,149.72567138671874,20.85869045742804,N/A,N/A
4b,1,4,128,139.9475212097168,31.615204578309548,9.1,25.8
4b,1,4,256,117.36942596435547,28.08528066223743,N/A,N/A
4b,1,4,512,116.75896911621093,27.962876779739172,N/A,N/A
4b,1,16,128,116.59303741455078,28.104788529403567,9.4,24.7
4b,1,16,256,116.61277770996094,28.063891408583697,N/A,N/A
4b,1,16,512,116.70244750976562,28.349437562453538,N/A,N/A
4b,1,64,128,116.11845474243164,27.933619210851475,10.6,23.6
4b,1,64,256,116.24655380249024,27.909831842908673,N/A,N/A
4b,1,64,512,116.50172729492188,27.892284087612204,N/A,N/A
