module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.1.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0003467593583927032
model.language_model.layers.1.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005355969082889627
model.language_model.layers.2.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005065870475457267
model.language_model.layers.2.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005586176059684637
model.language_model.layers.3.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00046012045038778025
model.language_model.layers.3.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004808576686683666
model.language_model.layers.4.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004167221867565545
model.language_model.layers.4.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005220341891147685
model.language_model.layers.5.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.000390760334226779
model.language_model.layers.6.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00045429139069714223
model.language_model.layers.7.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004394715077865109
model.language_model.layers.8.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004289907080224699
model.language_model.layers.9.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004809095795409193
model.language_model.layers.10.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0007228524422106144
model.language_model.layers.10.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.000480038105165058
model.language_model.layers.11.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0008036485134861601
model.language_model.layers.11.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00043023830765396355
model.language_model.layers.12.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0008173708676414469
model.language_model.layers.12.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0003974889737137204
model.language_model.layers.13.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00044175440798510863
model.language_model.layers.14.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0007641276029550993
model.language_model.layers.14.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0003735863222854604
model.language_model.layers.14.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004951103306097936
model.language_model.layers.15.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00036703128707280794
model.language_model.layers.15.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00044201755235908757
model.language_model.layers.16.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.000387760275727436
model.language_model.layers.16.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00046999068325790023
model.language_model.layers.17.self_attn.o_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0007951505329027882
model.language_model.layers.17.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00040042646403748547
model.language_model.layers.17.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004998462307968041
model.language_model.layers.18.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00042097315800419756
model.language_model.layers.19.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00042435269539717373
model.language_model.layers.19.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005106708498512847
model.language_model.layers.20.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004127831524551118
model.language_model.layers.20.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005046998391039328
model.language_model.layers.21.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005343314442464458
model.language_model.layers.22.self_attn.o_proj,dense_nvfp4,sparse_bf16,-0.71184,0.000627002095200432
model.language_model.layers.22.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005075839849801903
model.language_model.layers.22.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005842966641680856
model.language_model.layers.23.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0003792984826228114
model.language_model.layers.23.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004417721623588512
model.language_model.layers.24.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00040558970000565114
model.language_model.layers.24.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00046260475923438557
model.language_model.layers.25.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005037991990430674
model.language_model.layers.25.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.000619355264317085
model.language_model.layers.26.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0003942924810428723
model.language_model.layers.26.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00047093225556974323
model.language_model.layers.27.self_attn.v_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0007695169540084692
model.language_model.layers.27.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0003803697670509655
model.language_model.layers.27.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0004571554412483729
model.language_model.layers.28.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00044754109998687753
model.language_model.layers.28.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0005047090387351124
model.language_model.layers.29.mlp.up_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.00039365917975801325
model.language_model.layers.31.mlp.gate_proj,dense_nvfp4,sparse_nvfp4,-0.49113953200290883,0.0003638211286783299
