module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel,method,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms,batch_size,quality_formula,quality_model_variant,quality_source_method,quality_local_error_metric,quality_cost,global_coef,layer_coef,type_coef,latency_source,prefill_ms,latency_cost,supported,latency_reason,latency_gain_vs_dense,quality_delta_vs_dense
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.0009343598503619432,0.00018267399560781804,0.01351569441826124,0.375,2.261615230319297,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,6.569775895328031e-06,0.08560006320476532,0.6713588237762451,0.6258136630058289,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,6.569775895328031e-06
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_bf16,1.8804927094606683e-05,3.6764969814946954e-06,0.0019174193546260805,0.125,2.261615230319297,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,6.784583510889699e-08,0.07050386071205139,0.6673906445503235,0.39218950271606445,latency_model,0.215636,0.215636,True,,0.172147,6.784583510889699e-08
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_nvfp4,0.000944338331464678,0.00018462485962710093,0.013587673076251906,0.375,2.261615230319297,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,2.9927648909750966e-06,0.090397909283638,0.6212528347969055,0.2886394262313843,latency_model,0.201859,0.201859,True,,0.18592399999999998,2.9927648909750966e-06
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,dense_nvfp4,0.0008674150449223816,0.0002843556796674744,0.01686284909697867,0.4375,1.7465560267013305,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,1.0734592782176938e-05,0.08560006320476532,0.6713588237762451,0.6568933725357056,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,1.0734592782176938e-05
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_bf16,1.431732380297035e-05,4.6934998013289525e-06,0.0021664486611339194,0.08984375,1.7465560267013305,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,9.878025768580582e-08,0.07050386071205139,0.6673906445503235,0.4472808837890625,latency_model,0.215636,0.215636,True,,0.172147,9.878025768580582e-08
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_nvfp4,0.000987557927146554,0.0003237408749463053,0.01799280064209864,0.4375,1.7465560267013305,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,5.451558790605394e-06,0.090397909283638,0.6212528347969055,0.2998447120189667,latency_model,0.201859,0.201859,True,,0.18592399999999998,5.451558790605394e-06
3,model.language_model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
3,model.language_model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,dense_nvfp4,3.326092701172456e-05,0.007592560016765279,0.0871352971921556,0.0703125,0.06618705504459671,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.00021210089329870926,0.08560006320476532,0.6713588237762451,0.48609983921051025,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,0.00021210089329870926
3,model.language_model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_bf16,3.894746441801544e-06,0.0008890640991165808,0.029817177920061128,0.09375,0.06618705504459671,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,6.550829082769846e-06,0.07050386071205139,0.6673906445503235,0.1565922200679779,latency_model,0.215636,0.215636,True,,0.172147,6.550829082769846e-06
3,model.language_model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_nvfp4,5.092558785690926e-05,0.011624918994480808,0.1078189176094845,0.2734375,0.06618705504459671,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,8.983196938551587e-05,0.090397909283638,0.6212528347969055,0.1375986635684967,latency_model,0.201859,0.201859,True,,0.18592399999999998,8.983196938551587e-05
4,model.language_model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
4,model.language_model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,dense_nvfp4,6.726275501023338e-07,0.006150176815071099,0.07842306303040643,0.0546875,0.010457876887665427,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.00018672807932565067,0.08560006320476532,0.6713588237762451,0.5283153653144836,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,0.00018672807932565067
4,model.language_model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_bf16,1.030208636620955e-06,0.009419723100352119,0.09705525797375493,0.0537109375,0.010457876887665427,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,8.645260211249736e-05,0.07050386071205139,0.6673906445503235,0.1950504332780838,latency_model,0.215636,0.215636,True,,0.172147,8.645260211249736e-05
4,model.language_model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_nvfp4,2.9412344701995607e-06,0.02689320715982743,0.16399148502232497,0.095703125,0.010457876887665427,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.0002429329466468601,0.090397909283638,0.6212528347969055,0.16084851324558258,latency_model,0.201859,0.201859,True,,0.18592399999999998,0.0002429329466468601
5,model.language_model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.9517530929178852,0.9517530929178852,True,,0.0,0.0
5,model.language_model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_nvfp4,7.208984607132152e-05,0.009314749231170413,0.09651294851557699,0.203125,0.08797341791713087,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.0002951555448197403,0.08560006320476532,0.6713588237762451,0.5513799786567688,latency_model,0.3590806055009777,0.3590806055009777,True,,0.5926724874169076,0.0002951555448197403
5,model.language_model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_bf16,0.00022951785649638623,0.029656066614769567,0.17220936854529595,0.40625,0.08797341791713087,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,0.00029549511506805594,0.07050386071205139,0.6673906445503235,0.21175990998744965,latency_model,0.48020203828590585,0.48020203828590585,True,,0.4715510546319794,0.00029549511506805594
5,model.language_model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.0004654096846934408,0.06013571590080137,0.24522584672256995,0.6953125,0.08797341791713087,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.000507522817099104,0.090397909283638,0.6212528347969055,0.15027831494808197,latency_model,0.2993950398151209,0.2993950398151209,True,,0.6523580531027644,0.000507522817099104
6,model.language_model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.9517530929178852,0.9517530929178852,True,,0.0,0.0
6,model.language_model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_nvfp4,6.578531611012295e-05,0.011453170698853685,0.10701948747239301,0.0545654296875,0.07578820412966353,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.00035231644641978735,0.08560006320476532,0.6713588237762451,0.5352767705917358,latency_model,0.3590806055009777,0.3590806055009777,True,,0.5926724874169076,0.00035231644641978735
6,model.language_model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_bf16,0.0002201238094130531,0.03832337842489575,0.1957635778813203,0.1953125,0.07578820412966353,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,0.0003146987363584267,0.07050386071205139,0.6673906445503235,0.1745171844959259,latency_model,0.48020203828590585,0.48020203828590585,True,,0.4715510546319794,0.0003146987363584267
6,model.language_model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.0004449491389095783,0.07746528772026655,0.27832586606398363,0.33984375,0.07578820412966353,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.000615352236412095,0.090397909283638,0.6212528347969055,0.14144574105739594,latency_model,0.2993950398151209,0.2993950398151209,True,,0.6523580531027644,0.000615352236412095
7,model.language_model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.9846591372922003,0.9846591372922003,True,,0.0,0.0
7,model.language_model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_nvfp4,3.467704118520487e-06,0.007263334732159616,0.08522520010043752,0.0859375,0.021850077793670077,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.0002082180065133888,0.08560006320476532,0.6713588237762451,0.49883100390434265,latency_model,0.6161100353609755,0.6161100353609755,True,,0.3685491019312248,0.0002082180065133888
7,model.language_model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_bf16,1.5984566061888472e-06,0.0033480726696298864,0.0578625325200158,0.046875,0.021850077793670077,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,3.527227221375371e-05,0.07050386071205139,0.6673906445503235,0.2238955944776535,latency_model,0.5130693747467034,0.5130693747467034,True,,0.4715897625454969,3.527227221375371e-05
7,model.language_model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_nvfp4,7.238482794491574e-06,0.015161479091763472,0.12313195804405724,0.1015625,0.021850077793670077,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.0001397885473475803,0.090397909283638,0.6212528347969055,0.16417357325553894,latency_model,0.5828037906155628,0.5828037906155628,True,,0.4018553466766376,0.0001397885473475803
8,model.language_model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
8,model.language_model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.0013323674211278558,0.0020095696650100814,0.04482822397787003,0.33203125,0.814255065986538,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,7.080963945283514e-05,0.08560006320476532,0.6577641367912292,0.6258136630058289,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,7.080963945283514e-05
