name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.0.self_attn.q_proj,model.language_model.layers.0.self_attn.q_proj,1,0,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.0.self_attn.k_proj,model.language_model.layers.0.self_attn.k_proj,2,0,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.0.self_attn.v_proj,model.language_model.layers.0.self_attn.v_proj,3,0,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.0.self_attn.o_proj,model.language_model.layers.0.self_attn.o_proj,4,0,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.0.mlp.gate_proj,model.language_model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.0.mlp.up_proj,model.language_model.layers.0.mlp.up_proj,6,0,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.0.mlp.down_proj,model.language_model.layers.0.mlp.down_proj,7,0,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,2.6358541644121354e-05,0.9661910731511151
model.language_model.layers.1.self_attn.q_proj,model.language_model.layers.1.self_attn.q_proj,8,1,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.1.self_attn.k_proj,model.language_model.layers.1.self_attn.k_proj,9,1,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.1.self_attn.v_proj,model.language_model.layers.1.self_attn.v_proj,10,1,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.1.self_attn.o_proj,model.language_model.layers.1.self_attn.o_proj,11,1,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.1.mlp.gate_proj,model.language_model.layers.1.mlp.gate_proj,12,1,gate_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,9.004442779177597e-05,0.6509219274804818
model.language_model.layers.1.mlp.up_proj,model.language_model.layers.1.mlp.up_proj,13,1,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.1.mlp.down_proj,model.language_model.layers.1.mlp.down_proj,14,1,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,1.1629399039549235e-08,0.9661910731511151
model.language_model.layers.2.self_attn.q_proj,model.language_model.layers.2.self_attn.q_proj,15,2,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.2.self_attn.k_proj,model.language_model.layers.2.self_attn.k_proj,16,2,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
