module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.2.self_attn.o_proj,dense_bf16,sparse_bf16,-0.656825,0.00037405791290933955
model.language_model.layers.3.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00012419103582068735
model.language_model.layers.3.self_attn.o_proj,dense_bf16,sparse_bf16,-0.656825,0.000372751382772945
model.language_model.layers.4.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00012699750295580483
model.language_model.layers.5.self_attn.q_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.0001495977931850846
model.language_model.layers.5.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00013411378342329948
model.language_model.layers.5.mlp.down_proj,dense_nvfp4,sparse_bf16,-0.4618466160738095,0.000219839396982868
model.language_model.layers.6.self_attn.q_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00019236758913796452
model.language_model.layers.6.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00018098075021821363
model.language_model.layers.6.mlp.down_proj,dense_nvfp4,sparse_bf16,-0.4618466160738095,0.00023562920422758174
model.language_model.layers.7.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.0001839137651006751
model.language_model.layers.7.mlp.down_proj,dense_nvfp4,sparse_bf16,-0.4618466160738095,0.00024141702872405277
model.language_model.layers.8.self_attn.q_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00018306111676950632
model.language_model.layers.8.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00015107322301960126
model.language_model.layers.8.mlp.down_proj,dense_nvfp4,sparse_bf16,-0.4618466160738095,0.00021507523519575644
model.language_model.layers.9.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.0001483552893914653
model.language_model.layers.9.mlp.down_proj,dense_nvfp4,sparse_bf16,-0.4618466160738095,0.00022469251165499428
model.language_model.layers.10.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.0001548642842432317
model.language_model.layers.11.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00015679713285249983
model.language_model.layers.12.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00019323242451772097
model.language_model.layers.13.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00017668790834943714
model.language_model.layers.14.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.0003715405891115554
model.language_model.layers.14.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00016926718037478845
model.language_model.layers.15.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00016562609294906646
model.language_model.layers.16.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.00037617406578250277
model.language_model.layers.16.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00018984748160843758
model.language_model.layers.17.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.0003618207407981571
model.language_model.layers.17.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.0001878553856109149
model.language_model.layers.18.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00019212193487311096
model.language_model.layers.19.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.00036065453924644174
model.language_model.layers.19.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00018211179955841307
model.language_model.layers.20.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.0001637128424222114
model.language_model.layers.21.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00019502856848672176
model.language_model.layers.22.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00017773780511662893
model.language_model.layers.22.self_attn.o_proj,dense_bf16,dense_nvfp4,-0.35333799999999993,0.00016920402799959293
model.language_model.layers.23.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.0003848676665588477
model.language_model.layers.24.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.00039465814856093665
model.language_model.layers.24.self_attn.o_proj,dense_bf16,sparse_bf16,-0.656825,0.000411713474517479
model.language_model.layers.25.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.0004248849182036885
model.language_model.layers.25.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.0002208692609015729
model.language_model.layers.26.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.0003517880596113516
model.language_model.layers.26.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00018975530708919286
model.language_model.layers.26.self_attn.o_proj,dense_bf16,sparse_bf16,-0.656825,0.0004026098273979857
model.language_model.layers.27.mlp.down_proj,dense_nvfp4,sparse_bf16,-0.4618466160738095,0.0003264754593319811
model.language_model.layers.28.self_attn.o_proj,dense_bf16,sparse_bf16,-0.656825,0.00044823945451698656
model.language_model.layers.29.self_attn.q_proj,dense_bf16,sparse_bf16,-0.656825,0.0003953749553773725
model.language_model.layers.29.self_attn.k_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.00024146119049763996
model.language_model.layers.29.self_attn.o_proj,dense_bf16,sparse_bf16,-0.656825,0.00037419414171472205
model.language_model.layers.31.self_attn.q_proj,dense_nvfp4,sparse_bf16,-0.30348700000000006,0.0002588975947485071
