module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216
3,model.language_model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216
4,model.language_model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216
5,model.language_model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,11008,4096,45088768
6,model.language_model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,11008,4096,45088768
7,model.language_model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,4096,11008,45088768
8,model.language_model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216
9,model.language_model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216
10,model.language_model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216
16,model.language_model.layers.2.self_attn.k_proj,2,layers_00_07,k_proj,attention,4096,4096,16777216
17,model.language_model.layers.2.self_attn.v_proj,2,layers_00_07,v_proj,attention,4096,4096,16777216
18,model.language_model.layers.2.self_attn.o_proj,2,layers_00_07,o_proj,attention,4096,4096,16777216
19,model.language_model.layers.2.mlp.gate_proj,2,layers_00_07,gate_proj,mlp,11008,4096,45088768
20,model.language_model.layers.2.mlp.up_proj,2,layers_00_07,up_proj,mlp,11008,4096,45088768
21,model.language_model.layers.2.mlp.down_proj,2,layers_00_07,down_proj,mlp,4096,11008,45088768
22,model.language_model.layers.3.self_attn.q_proj,3,layers_00_07,q_proj,attention,4096,4096,16777216
23,model.language_model.layers.3.self_attn.k_proj,3,layers_00_07,k_proj,attention,4096,4096,16777216
24,model.language_model.layers.3.self_attn.v_proj,3,layers_00_07,v_proj,attention,4096,4096,16777216
25,model.language_model.layers.3.self_attn.o_proj,3,layers_00_07,o_proj,attention,4096,4096,16777216
26,model.language_model.layers.3.mlp.gate_proj,3,layers_00_07,gate_proj,mlp,11008,4096,45088768
27,model.language_model.layers.3.mlp.up_proj,3,layers_00_07,up_proj,mlp,11008,4096,45088768
28,model.language_model.layers.3.mlp.down_proj,3,layers_00_07,down_proj,mlp,4096,11008,45088768
29,model.language_model.layers.4.self_attn.q_proj,4,layers_00_07,q_proj,attention,4096,4096,16777216
30,model.language_model.layers.4.self_attn.k_proj,4,layers_00_07,k_proj,attention,4096,4096,16777216
31,model.language_model.layers.4.self_attn.v_proj,4,layers_00_07,v_proj,attention,4096,4096,16777216
32,model.language_model.layers.4.self_attn.o_proj,4,layers_00_07,o_proj,attention,4096,4096,16777216
33,model.language_model.layers.4.mlp.gate_proj,4,layers_00_07,gate_proj,mlp,11008,4096,45088768
34,model.language_model.layers.4.mlp.up_proj,4,layers_00_07,up_proj,mlp,11008,4096,45088768
35,model.language_model.layers.4.mlp.down_proj,4,layers_00_07,down_proj,mlp,4096,11008,45088768
36,model.language_model.layers.5.self_attn.q_proj,5,layers_00_07,q_proj,attention,4096,4096,16777216
37,model.language_model.layers.5.self_attn.k_proj,5,layers_00_07,k_proj,attention,4096,4096,16777216
38,model.language_model.layers.5.self_attn.v_proj,5,layers_00_07,v_proj,attention,4096,4096,16777216
39,model.language_model.layers.5.self_attn.o_proj,5,layers_00_07,o_proj,attention,4096,4096,16777216
40,model.language_model.layers.5.mlp.gate_proj,5,layers_00_07,gate_proj,mlp,11008,4096,45088768
41,model.language_model.layers.5.mlp.up_proj,5,layers_00_07,up_proj,mlp,11008,4096,45088768
42,model.language_model.layers.5.mlp.down_proj,5,layers_00_07,down_proj,mlp,4096,11008,45088768
43,model.language_model.layers.6.self_attn.q_proj,6,layers_00_07,q_proj,attention,4096,4096,16777216
44,model.language_model.layers.6.self_attn.k_proj,6,layers_00_07,k_proj,attention,4096,4096,16777216
45,model.language_model.layers.6.self_attn.v_proj,6,layers_00_07,v_proj,attention,4096,4096,16777216
46,model.language_model.layers.6.self_attn.o_proj,6,layers_00_07,o_proj,attention,4096,4096,16777216
47,model.language_model.layers.6.mlp.gate_proj,6,layers_00_07,gate_proj,mlp,11008,4096,45088768
48,model.language_model.layers.6.mlp.up_proj,6,layers_00_07,up_proj,mlp,11008,4096,45088768
49,model.language_model.layers.6.mlp.down_proj,6,layers_00_07,down_proj,mlp,4096,11008,45088768
50,model.language_model.layers.7.self_attn.q_proj,7,layers_00_07,q_proj,attention,4096,4096,16777216
