policy_index,policy_name,policy_json,label,backend_counts
0,policy_000_dense,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_000_dense.json,dense,{'dense_bf16': 224}
1,policy_001_dense_nvfp4_r0,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_001_dense_nvfp4_r0.json,dense_nvfp4_ratio_0,{'dense_bf16': 224}
2,policy_002_dense_nvfp4_r0.05,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_002_dense_nvfp4_r0.05.json,dense_nvfp4_ratio_0.05,"{'dense_bf16': 213, 'dense_nvfp4': 11}"
3,policy_003_dense_nvfp4_r0.1,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_003_dense_nvfp4_r0.1.json,dense_nvfp4_ratio_0.1,"{'dense_bf16': 202, 'dense_nvfp4': 22}"
4,policy_004_dense_nvfp4_r0.2,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_004_dense_nvfp4_r0.2.json,dense_nvfp4_ratio_0.2,"{'dense_bf16': 179, 'dense_nvfp4': 45}"
5,policy_005_dense_nvfp4_r0.35,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_005_dense_nvfp4_r0.35.json,dense_nvfp4_ratio_0.35,"{'dense_bf16': 146, 'dense_nvfp4': 78}"
6,policy_006_dense_nvfp4_r0.5,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_006_dense_nvfp4_r0.5.json,dense_nvfp4_ratio_0.5,"{'dense_bf16': 112, 'dense_nvfp4': 112}"
7,policy_007_dense_nvfp4_r0.75,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_007_dense_nvfp4_r0.75.json,dense_nvfp4_ratio_0.75,"{'dense_bf16': 56, 'dense_nvfp4': 168}"
8,policy_008_dense_nvfp4_r1,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_008_dense_nvfp4_r1.json,dense_nvfp4_ratio_1,{'dense_nvfp4': 224}
9,policy_009_sparse_bf16_r0,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_009_sparse_bf16_r0.json,sparse_bf16_ratio_0,{'dense_bf16': 224}
