n,seed,accuracy,abs_error
25,0,0.96,0.02640000000000009
25,1,0.96,0.02640000000000009
25,2,1.0,0.013599999999999945
25,3,1.0,0.013599999999999945
25,4,1.0,0.013599999999999945
25,5,1.0,0.013599999999999945
25,6,1.0,0.013599999999999945
25,7,1.0,0.013599999999999945
25,8,0.96,0.02640000000000009
25,9,1.0,0.013599999999999945
25,10,1.0,0.013599999999999945
25,11,0.96,0.02640000000000009
25,12,1.0,0.013599999999999945
25,13,0.96,0.02640000000000009
25,14,0.96,0.02640000000000009
25,15,1.0,0.013599999999999945
25,16,0.96,0.02640000000000009
25,17,1.0,0.013599999999999945
25,18,1.0,0.013599999999999945
25,19,1.0,0.013599999999999945
25,20,1.0,0.013599999999999945
25,21,1.0,0.013599999999999945
25,22,1.0,0.013599999999999945
25,23,1.0,0.013599999999999945
25,24,1.0,0.013599999999999945
25,25,0.96,0.02640000000000009
25,26,0.96,0.02640000000000009
25,27,0.96,0.02640000000000009
25,28,1.0,0.013599999999999945
25,29,1.0,0.013599999999999945
50,0,0.98,0.006400000000000072
50,1,0.96,0.02640000000000009
50,2,1.0,0.013599999999999945
50,3,0.96,0.02640000000000009
50,4,1.0,0.013599999999999945
50,5,1.0,0.013599999999999945
50,6,0.98,0.006400000000000072
50,7,0.98,0.006400000000000072
50,8,0.98,0.006400000000000072
50,9,1.0,0.013599999999999945
50,10,1.0,0.013599999999999945
50,11,0.98,0.006400000000000072
50,12,1.0,0.013599999999999945
50,13,0.94,0.04640000000000011
50,14,0.98,0.006400000000000072
50,15,0.98,0.006400000000000072
50,16,0.98,0.006400000000000072
50,17,1.0,0.013599999999999945
50,18,1.0,0.013599999999999945
50,19,1.0,0.013599999999999945
50,20,1.0,0.013599999999999945
50,21,0.96,0.02640000000000009
50,22,0.98,0.006400000000000072
50,23,1.0,0.013599999999999945
50,24,1.0,0.013599999999999945
50,25,0.96,0.02640000000000009
50,26,0.98,0.006400000000000072
50,27,0.98,0.006400000000000072
50,28,0.96,0.02640000000000009
50,29,1.0,0.013599999999999945
75,0,0.9866666666666667,0.0002666666666666373
75,1,0.9733333333333334,0.013066666666666671
75,2,1.0,0.013599999999999945
75,3,0.9733333333333334,0.013066666666666671
75,4,1.0,0.013599999999999945
75,5,1.0,0.013599999999999945
75,6,0.9866666666666667,0.0002666666666666373
75,7,0.9866666666666667,0.0002666666666666373
75,8,0.9866666666666667,0.0002666666666666373
75,9,1.0,0.013599999999999945
75,10,1.0,0.013599999999999945
75,11,0.9866666666666667,0.0002666666666666373
75,12,1.0,0.013599999999999945
75,13,0.96,0.02640000000000009
75,14,0.9733333333333334,0.013066666666666671
75,15,0.9866666666666667,0.0002666666666666373
75,16,0.9866666666666667,0.0002666666666666373
75,17,0.9866666666666667,0.0002666666666666373
75,18,0.9866666666666667,0.0002666666666666373
75,19,0.9866666666666667,0.0002666666666666373
75,20,0.9733333333333334,0.013066666666666671
75,21,0.9733333333333334,0.013066666666666671
75,22,0.9866666666666667,0.0002666666666666373
75,23,1.0,0.013599999999999945
75,24,0.9866666666666667,0.0002666666666666373
75,25,0.9733333333333334,0.013066666666666671
75,26,0.9866666666666667,0.0002666666666666373
75,27,0.9866666666666667,0.0002666666666666373
