n,seed,accuracy,abs_error
25,0,0.96,0.027000000000000024
25,1,0.96,0.027000000000000024
25,2,1.0,0.013000000000000012
25,3,1.0,0.013000000000000012
25,4,1.0,0.013000000000000012
25,5,1.0,0.013000000000000012
25,6,1.0,0.013000000000000012
25,7,1.0,0.013000000000000012
25,8,0.96,0.027000000000000024
25,9,1.0,0.013000000000000012
25,10,1.0,0.013000000000000012
25,11,0.96,0.027000000000000024
25,12,1.0,0.013000000000000012
25,13,0.96,0.027000000000000024
25,14,0.96,0.027000000000000024
25,15,1.0,0.013000000000000012
25,16,0.96,0.027000000000000024
25,17,1.0,0.013000000000000012
25,18,1.0,0.013000000000000012
25,19,1.0,0.013000000000000012
25,20,1.0,0.013000000000000012
25,21,1.0,0.013000000000000012
25,22,1.0,0.013000000000000012
25,23,1.0,0.013000000000000012
25,24,1.0,0.013000000000000012
25,25,0.96,0.027000000000000024
25,26,0.96,0.027000000000000024
25,27,0.96,0.027000000000000024
25,28,1.0,0.013000000000000012
25,29,1.0,0.013000000000000012
50,0,0.98,0.007000000000000006
50,1,0.96,0.027000000000000024
50,2,1.0,0.013000000000000012
50,3,0.98,0.007000000000000006
50,4,1.0,0.013000000000000012
50,5,1.0,0.013000000000000012
50,6,0.98,0.007000000000000006
50,7,0.98,0.007000000000000006
50,8,0.98,0.007000000000000006
50,9,1.0,0.013000000000000012
50,10,1.0,0.013000000000000012
50,11,0.98,0.007000000000000006
50,12,1.0,0.013000000000000012
50,13,0.94,0.04700000000000004
50,14,0.98,0.007000000000000006
50,15,0.98,0.007000000000000006
50,16,0.96,0.027000000000000024
50,17,1.0,0.013000000000000012
50,18,1.0,0.013000000000000012
50,19,1.0,0.013000000000000012
50,20,1.0,0.013000000000000012
50,21,0.96,0.027000000000000024
50,22,0.98,0.007000000000000006
50,23,1.0,0.013000000000000012
50,24,1.0,0.013000000000000012
50,25,0.96,0.027000000000000024
50,26,0.98,0.007000000000000006
50,27,0.98,0.007000000000000006
50,28,0.98,0.007000000000000006
50,29,1.0,0.013000000000000012
75,0,0.9866666666666667,0.0003333333333332966
75,1,0.9733333333333334,0.013666666666666605
75,2,1.0,0.013000000000000012
75,3,0.9866666666666667,0.0003333333333332966
75,4,1.0,0.013000000000000012
75,5,1.0,0.013000000000000012
75,6,0.9866666666666667,0.0003333333333332966
75,7,0.9866666666666667,0.0003333333333332966
75,8,0.9866666666666667,0.0003333333333332966
75,9,1.0,0.013000000000000012
75,10,1.0,0.013000000000000012
75,11,0.9866666666666667,0.0003333333333332966
75,12,1.0,0.013000000000000012
75,13,0.96,0.027000000000000024
75,14,0.9733333333333334,0.013666666666666605
75,15,0.9866666666666667,0.0003333333333332966
75,16,0.9733333333333334,0.013666666666666605
75,17,0.9866666666666667,0.0003333333333332966
75,18,1.0,0.013000000000000012
75,19,0.9866666666666667,0.0003333333333332966
75,20,0.9866666666666667,0.0003333333333332966
75,21,0.9733333333333334,0.013666666666666605
75,22,0.9866666666666667,0.0003333333333332966
75,23,1.0,0.013000000000000012
75,24,1.0,0.013000000000000012
75,25,0.9733333333333334,0.013666666666666605
75,26,0.9866666666666667,0.0003333333333332966
75,27,0.9866666666666667,0.0003333333333332966
75,28,0.9866666666666667,0.0003333333333332966
75,29,1.0,0.013000000000000012
100,0,0.97,0.017000000000000015
100,1,0.98,0.007000000000000006
100,2,1.0,0.013000000000000012
100,3,0.98,0.007000000000000006
100,4,0.99,0.0030000000000000027
100,5,0.99,0.0030000000000000027
100,6,0.98,0.007000000000000006
100,7,0.99,0.0030000000000000027
100,8,0.99,0.0030000000000000027
100,9,1.0,0.013000000000000012
100,10,1.0,0.013000000000000012
