n,mean_acc,std_acc,min_acc,max_acc,mean_abs_err,max_abs_err
25,0.9866666666666667,0.01885618083164128,0.96,1.0,0.01766666666666668,0.027000000000000024
50,0.9846666666666668,0.016069294390925283,0.94,1.0,0.013600000000000011,0.04700000000000004
75,0.9880000000000001,0.010526861584290666,0.96,1.0,0.007666666666666644,0.027000000000000024
100,0.9883333333333332,0.009689627902499097,0.96,1.0,0.008000000000000007,0.027000000000000024
150,0.9900000000000001,0.007044829992954364,0.9733333333333334,1.0,0.005977777777777752,0.013666666666666605
200,0.9881666666666664,0.006387922632245606,0.97,1.0,0.005300000000000004,0.017000000000000015
300,0.9864444444444445,0.00530082686305625,0.97,0.9933333333333333,0.004044444444444436,0.017000000000000015
500,0.9865333333333333,0.004063933507767515,0.974,0.994,0.0030666666666666694,0.013000000000000012
750,0.9868888888888888,0.0030808047689997106,0.9813333333333333,0.992,0.002488888888888881,0.005666666666666709
1000,0.9862666666666666,0.0029992591677872006,0.981,0.993,0.002533333333333336,0.006000000000000005
1500,0.9868666666666667,0.0023039418716947055,0.9826666666666667,0.992,0.0018222222222222066,0.0050000000000000044
2000,0.9867500000000001,0.002023816526598528,0.982,0.991,0.0015499999999999921,0.0050000000000000044
3000,0.9865777777777777,0.001400881556664385,0.9846666666666667,0.9903333333333333,0.001244444444444437,0.0033333333333332993
4000,0.9867583333333332,0.0008671873435935747,0.9855,0.9885,0.0007916666666666498,0.0015000000000000568
