n,mean_acc,std_acc,min_acc,max_acc,mean_abs_err,max_abs_err
25,0.9866666666666667,0.01885618083164128,0.96,1.0,0.01773333333333334,0.026800000000000046
50,0.9853333333333334,0.015434449203720316,0.94,1.0,0.01290666666666668,0.046800000000000064
75,0.9871111111111113,0.010027123709047526,0.96,1.0,0.006728888888888873,0.026800000000000046
100,0.9876666666666665,0.009551032521262945,0.96,1.0,0.007613333333333331,0.026800000000000046
150,0.99,0.006831300510639713,0.9733333333333334,1.0,0.005982222222222193,0.013466666666666627
200,0.9883333333333331,0.005821416398857665,0.975,1.0,0.005186666666666665,0.01319999999999999
300,0.9865555555555555,0.004673275743291797,0.9766666666666667,0.9933333333333333,0.003897777777777778,0.010133333333333328
500,0.9860666666666666,0.0037765357435382823,0.978,0.99,0.002920000000000004,0.00880000000000003
750,0.9864444444444445,0.0027985887095877625,0.98,0.992,0.002364444444444447,0.006800000000000028
1000,0.9857999999999999,0.002785677655436826,0.98,0.992,0.00249333333333334,0.006800000000000028
1500,0.9865111111111111,0.002222333330555699,0.9806666666666667,0.9906666666666667,0.0017822222222222258,0.006133333333333324
2000,0.9863333333333332,0.0018900323336446423,0.9805,0.9905,0.0013866666666666582,0.006299999999999972
3000,0.9862888888888889,0.0013628220539077297,0.984,0.9896666666666667,0.001191111111111117,0.002866666666666684
4000,0.9865583333333331,0.0009909661391232834,0.98525,0.9885,0.0008916666666666758,0.0017000000000000348
