n,seed,accuracy,abs_error
25,0,0.96,0.0252
25,1,0.96,0.0252
25,2,1.0,0.014800000000000035
25,3,1.0,0.014800000000000035
25,4,0.96,0.0252
25,5,1.0,0.014800000000000035
25,6,1.0,0.014800000000000035
25,7,1.0,0.014800000000000035
25,8,0.96,0.0252
25,9,1.0,0.014800000000000035
25,10,1.0,0.014800000000000035
25,11,0.96,0.0252
25,12,1.0,0.014800000000000035
25,13,0.96,0.0252
25,14,0.96,0.0252
25,15,1.0,0.014800000000000035
25,16,1.0,0.014800000000000035
25,17,1.0,0.014800000000000035
25,18,1.0,0.014800000000000035
25,19,1.0,0.014800000000000035
25,20,1.0,0.014800000000000035
25,21,1.0,0.014800000000000035
25,22,1.0,0.014800000000000035
25,23,1.0,0.014800000000000035
25,24,1.0,0.014800000000000035
25,25,0.96,0.0252
25,26,1.0,0.014800000000000035
25,27,0.96,0.0252
25,28,1.0,0.014800000000000035
25,29,1.0,0.014800000000000035
50,0,0.98,0.005199999999999982
50,1,0.96,0.0252
50,2,1.0,0.014800000000000035
50,3,1.0,0.014800000000000035
50,4,0.96,0.0252
50,5,1.0,0.014800000000000035
50,6,0.98,0.005199999999999982
50,7,0.98,0.005199999999999982
50,8,0.96,0.0252
50,9,1.0,0.014800000000000035
50,10,1.0,0.014800000000000035
50,11,0.98,0.005199999999999982
50,12,1.0,0.014800000000000035
50,13,0.96,0.0252
50,14,0.98,0.005199999999999982
50,15,0.98,0.005199999999999982
50,16,0.98,0.005199999999999982
50,17,1.0,0.014800000000000035
50,18,1.0,0.014800000000000035
50,19,1.0,0.014800000000000035
50,20,1.0,0.014800000000000035
50,21,0.98,0.005199999999999982
50,22,0.96,0.0252
50,23,1.0,0.014800000000000035
50,24,0.98,0.005199999999999982
50,25,0.96,0.0252
50,26,1.0,0.014800000000000035
50,27,0.98,0.005199999999999982
50,28,1.0,0.014800000000000035
50,29,1.0,0.014800000000000035
75,0,0.9866666666666667,0.0014666666666667272
75,1,0.9733333333333334,0.011866666666666581
75,2,1.0,0.014800000000000035
75,3,1.0,0.014800000000000035
75,4,0.9733333333333334,0.011866666666666581
75,5,1.0,0.014800000000000035
75,6,0.9866666666666667,0.0014666666666667272
75,7,0.9866666666666667,0.0014666666666667272
75,8,0.9733333333333334,0.011866666666666581
75,9,1.0,0.014800000000000035
75,10,1.0,0.014800000000000035
75,11,0.9866666666666667,0.0014666666666667272
75,12,1.0,0.014800000000000035
75,13,0.96,0.0252
75,14,0.9733333333333334,0.011866666666666581
75,15,0.9866666666666667,0.0014666666666667272
75,16,0.9866666666666667,0.0014666666666667272
75,17,1.0,0.014800000000000035
75,18,1.0,0.014800000000000035
75,19,0.9733333333333334,0.011866666666666581
75,20,0.9733333333333334,0.011866666666666581
75,21,0.9733333333333334,0.011866666666666581
75,22,0.96,0.0252
75,23,0.9866666666666667,0.0014666666666667272
75,24,0.9866666666666667,0.0014666666666667272
75,25,0.9733333333333334,0.011866666666666581
75,26,1.0,0.014800000000000035
75,27,0.9866666666666667,0.0014666666666667272
75,28,0.9866666666666667,0.0014666666666667272
75,29,1.0,0.014800000000000035
100,0,0.97,0.015199999999999991
100,1,0.98,0.005199999999999982
100,2,1.0,0.014800000000000035
100,3,0.99,0.0048000000000000265
100,4,0.97,0.015199999999999991
100,5,0.99,0.0048000000000000265
100,6,0.98,0.005199999999999982
100,7,0.99,0.0048000000000000265
100,8,0.97,0.015199999999999991
100,9,1.0,0.014800000000000035
100,10,1.0,0.014800000000000035
100,11,0.99,0.0048000000000000265
100,12,1.0,0.014800000000000035
100,13,0.96,0.0252
100,14,0.98,0.005199999999999982
100,15,0.99,0.0048000000000000265
100,16,0.99,0.0048000000000000265
100,17,1.0,0.014800000000000035
100,18,1.0,0.014800000000000035
