n,mean_acc,std_acc,min_acc,max_acc,mean_abs_err,max_abs_err
25,0.988,0.018330302779823376,0.96,1.0,0.017920000000000026,0.0252
50,0.9853333333333334,0.015434449203720316,0.96,1.0,0.01368000000000001,0.0252
75,0.985777777777778,0.012380789579719208,0.96,1.0,0.010266666666666676,0.0252
100,0.9856666666666665,0.012565384549980518,0.96,1.0,0.01062666666666668,0.0252
150,0.9877777777777779,0.008791129086601082,0.9666666666666667,1.0,0.007671111111111117,0.01853333333333329
200,0.9864999999999999,0.0070887234393789186,0.97,0.995,0.006166666666666672,0.015199999999999991
300,0.9861111111111112,0.005448977704550765,0.9733333333333334,0.9966666666666667,0.0046266666666666826,0.011866666666666581
500,0.9861999999999999,0.004110150037812898,0.976,0.992,0.0036133333333333425,0.009199999999999986
750,0.9856444444444445,0.0029949752157922655,0.98,0.9906666666666667,0.002551111111111119,0.005466666666666731
1000,0.9849333333333334,0.0028394052585395827,0.98,0.991,0.0024399999999999977,0.005800000000000027
1500,0.9849333333333334,0.0021540659228538096,0.9813333333333333,0.9893333333333333,0.001866666666666672,0.004133333333333322
2000,0.9849666666666668,0.0018390818965511651,0.9805,0.9885,0.00144666666666667,0.0046999999999999265
3000,0.9847555555555557,0.0011861338795628943,0.9826666666666667,0.987,0.0010400000000000001,0.0025333333333332764
4000,0.9848666666666666,0.0006542595475463634,0.984,0.986,0.0006666666666666673,0.0011999999999999789
