n,seed,accuracy,abs_error
25,0,0.8,0.031400000000000095
25,1,0.68,0.0885999999999999
25,2,0.84,0.07140000000000002
25,3,0.76,0.008599999999999941
25,4,0.8,0.031400000000000095
25,5,0.84,0.07140000000000002
25,6,0.8,0.031400000000000095
25,7,0.88,0.11140000000000005
25,8,0.72,0.04859999999999998
25,9,0.84,0.07140000000000002
25,10,0.84,0.07140000000000002
25,11,0.76,0.008599999999999941
25,12,0.76,0.008599999999999941
25,13,0.68,0.0885999999999999
25,14,0.68,0.0885999999999999
25,15,0.8,0.031400000000000095
25,16,0.84,0.07140000000000002
25,17,0.84,0.07140000000000002
25,18,0.72,0.04859999999999998
25,19,0.68,0.0885999999999999
25,20,0.76,0.008599999999999941
25,21,0.84,0.07140000000000002
25,22,0.96,0.19140000000000001
25,23,0.76,0.008599999999999941
25,24,0.8,0.031400000000000095
25,25,0.8,0.031400000000000095
25,26,0.64,0.12859999999999994
25,27,0.84,0.07140000000000002
25,28,0.72,0.04859999999999998
25,29,0.84,0.07140000000000002
50,0,0.82,0.0514
50,1,0.74,0.02859999999999996
50,2,0.82,0.0514
50,3,0.78,0.011400000000000077
50,4,0.8,0.031400000000000095
50,5,0.84,0.07140000000000002
50,6,0.7,0.0686
50,7,0.78,0.011400000000000077
50,8,0.7,0.0686
50,9,0.76,0.008599999999999941
50,10,0.78,0.011400000000000077
50,11,0.78,0.011400000000000077
50,12,0.82,0.0514
50,13,0.66,0.10859999999999992
50,14,0.7,0.0686
50,15,0.78,0.011400000000000077
50,16,0.8,0.031400000000000095
50,17,0.82,0.0514
50,18,0.72,0.04859999999999998
50,19,0.76,0.008599999999999941
50,20,0.76,0.008599999999999941
50,21,0.82,0.0514
50,22,0.82,0.0514
50,23,0.76,0.008599999999999941
50,24,0.78,0.011400000000000077
50,25,0.78,0.011400000000000077
50,26,0.7,0.0686
50,27,0.86,0.09140000000000004
50,28,0.7,0.0686
50,29,0.78,0.011400000000000077
75,0,0.8133333333333334,0.0447333333333334
75,1,0.7733333333333333,0.004733333333333367
75,2,0.8,0.031400000000000095
75,3,0.76,0.008599999999999941
75,4,0.76,0.008599999999999941
75,5,0.8266666666666667,0.05806666666666671
75,6,0.72,0.04859999999999998
75,7,0.7733333333333333,0.004733333333333367
75,8,0.7466666666666667,0.02193333333333325
75,9,0.7466666666666667,0.02193333333333325
75,10,0.7733333333333333,0.004733333333333367
75,11,0.7466666666666667,0.02193333333333325
75,12,0.7866666666666666,0.018066666666666675
75,13,0.6933333333333334,0.07526666666666659
75,14,0.7066666666666667,0.061933333333333285
75,15,0.8133333333333334,0.0447333333333334
75,16,0.8133333333333334,0.0447333333333334
75,17,0.7733333333333333,0.004733333333333367
75,18,0.7466666666666667,0.02193333333333325
75,19,0.7866666666666666,0.018066666666666675
75,20,0.76,0.008599999999999941
