name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.0.self_attn.q_proj,model.language_model.layers.0.self_attn.q_proj,1,0,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,5.127508178805612e-08,1.257995
model.language_model.layers.0.self_attn.k_proj,model.language_model.layers.0.self_attn.k_proj,2,0,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.0.self_attn.v_proj,model.language_model.layers.0.self_attn.v_proj,3,0,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,5.044937711021952e-06,1.257995
model.language_model.layers.0.self_attn.o_proj,model.language_model.layers.0.self_attn.o_proj,4,0,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.0.mlp.gate_proj,model.language_model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,0.00015057154713850074,3.0619853161530486
model.language_model.layers.0.mlp.up_proj,model.language_model.layers.0.mlp.up_proj,6,0,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.0.mlp.down_proj,model.language_model.layers.0.mlp.down_proj,7,0,down_proj,mlp,4096,11008,dense_nvfp4,dense_nvfp4,0.00010927434008570074,4.934856405513043
model.language_model.layers.1.self_attn.q_proj,model.language_model.layers.1.self_attn.q_proj,8,1,q_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,3.831093522176076e-05,1.969835
model.language_model.layers.1.self_attn.k_proj,model.language_model.layers.1.self_attn.k_proj,9,1,k_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,4.227460096665313e-05,1.969835
model.language_model.layers.1.self_attn.v_proj,model.language_model.layers.1.self_attn.v_proj,10,1,v_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,0.0003023203331466504,1.969835
model.language_model.layers.1.self_attn.o_proj,model.language_model.layers.1.self_attn.o_proj,11,1,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0003550509975758301,1.8060494999999999
model.language_model.layers.1.mlp.gate_proj,model.language_model.layers.1.mlp.gate_proj,12,1,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0005044706360745835,2.5708457841501398
model.language_model.layers.1.mlp.up_proj,model.language_model.layers.1.mlp.up_proj,13,1,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0008084656416549061,2.5708457841501398
model.language_model.layers.1.mlp.down_proj,model.language_model.layers.1.mlp.down_proj,14,1,down_proj,mlp,4096,11008,sparse_nvfp4,sparse_nvfp4,8.833964304813771e-06,4.5866232192169125
model.language_model.layers.2.self_attn.q_proj,model.language_model.layers.2.self_attn.q_proj,15,2,q_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.00020486475463105276,1.8060494999999999
model.language_model.layers.2.self_attn.k_proj,model.language_model.layers.2.self_attn.k_proj,16,2,k_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,1.9341461872010222e-05,1.969835
model.language_model.layers.2.self_attn.v_proj,model.language_model.layers.2.self_attn.v_proj,17,2,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0005186754916627114,1.257995
model.language_model.layers.2.self_attn.o_proj,model.language_model.layers.2.self_attn.o_proj,18,2,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0005613692677820491,1.8060494999999999
model.language_model.layers.2.mlp.gate_proj,model.language_model.layers.2.mlp.gate_proj,19,2,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.2.mlp.up_proj,model.language_model.layers.2.mlp.up_proj,20,2,up_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,0.0002469610017272443,3.0619853161530486
model.language_model.layers.2.mlp.down_proj,model.language_model.layers.2.mlp.down_proj,21,2,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,4.8993306964390955e-05,3.4039856523906575
model.language_model.layers.3.self_attn.q_proj,model.language_model.layers.3.self_attn.q_proj,22,3,q_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0002727045170953239,1.8060494999999999
model.language_model.layers.3.self_attn.k_proj,model.language_model.layers.3.self_attn.k_proj,23,3,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00014287520218204293,1.257995
model.language_model.layers.3.self_attn.v_proj,model.language_model.layers.3.self_attn.v_proj,24,3,v_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0009078957872081151,1.8060494999999999
model.language_model.layers.3.self_attn.o_proj,model.language_model.layers.3.self_attn.o_proj,25,3,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0004781123578101024,1.8060494999999999
model.language_model.layers.3.mlp.gate_proj,model.language_model.layers.3.mlp.gate_proj,26,3,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0007601213165424491,2.5708457841501398
model.language_model.layers.3.mlp.up_proj,model.language_model.layers.3.mlp.up_proj,27,3,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.3.mlp.down_proj,model.language_model.layers.3.mlp.down_proj,28,3,down_proj,mlp,4096,11008,dense_nvfp4,dense_nvfp4,0.00016857355069884835,4.934856405513043
model.language_model.layers.4.self_attn.q_proj,model.language_model.layers.4.self_attn.q_proj,29,4,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.4.self_attn.k_proj,model.language_model.layers.4.self_attn.k_proj,30,4,k_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,3.0517461380805952e-05,1.969835
model.language_model.layers.4.self_attn.v_proj,model.language_model.layers.4.self_attn.v_proj,31,4,v_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0010876768420539902,1.8060494999999999
model.language_model.layers.4.self_attn.o_proj,model.language_model.layers.4.self_attn.o_proj,32,4,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0007720933633511706,1.8060494999999999
model.language_model.layers.4.mlp.gate_proj,model.language_model.layers.4.mlp.gate_proj,33,4,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.4.mlp.up_proj,model.language_model.layers.4.mlp.up_proj,34,4,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0009055505744544651,2.5708457841501398
model.language_model.layers.4.mlp.down_proj,model.language_model.layers.4.mlp.down_proj,35,4,down_proj,mlp,4096,11008,sparse_nvfp4,sparse_nvfp4,8.419545708969676e-05,4.5866232192169125
model.language_model.layers.5.self_attn.q_proj,model.language_model.layers.5.self_attn.q_proj,36,5,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.5.self_attn.k_proj,model.language_model.layers.5.self_attn.k_proj,37,5,k_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.00023277387698127577,1.8060494999999999
model.language_model.layers.5.self_attn.v_proj,model.language_model.layers.5.self_attn.v_proj,38,5,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0004920553633210163,1.257995
model.language_model.layers.5.self_attn.o_proj,model.language_model.layers.5.self_attn.o_proj,39,5,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0006242785963352389,1.8060494999999999
model.language_model.layers.5.mlp.gate_proj,model.language_model.layers.5.mlp.gate_proj,40,5,gate_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,0.00013621030602216266,3.0619853161530486
model.language_model.layers.5.mlp.up_proj,model.language_model.layers.5.mlp.up_proj,41,5,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.5.mlp.down_proj,model.language_model.layers.5.mlp.down_proj,42,5,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.00038749608104804244,3.4039856523906575
model.language_model.layers.6.self_attn.q_proj,model.language_model.layers.6.self_attn.q_proj,43,6,q_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0003748612452843158,1.8060494999999999
model.language_model.layers.6.self_attn.k_proj,model.language_model.layers.6.self_attn.k_proj,44,6,k_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0003272329343316009,1.8060494999999999
model.language_model.layers.6.self_attn.v_proj,model.language_model.layers.6.self_attn.v_proj,45,6,v_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0009209539070762263,1.8060494999999999
model.language_model.layers.6.self_attn.o_proj,model.language_model.layers.6.self_attn.o_proj,46,6,o_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,0.00019655912410069325,1.969835
model.language_model.layers.6.mlp.gate_proj,model.language_model.layers.6.mlp.gate_proj,47,6,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0005334350259559299,2.5708457841501398
model.language_model.layers.6.mlp.up_proj,model.language_model.layers.6.mlp.up_proj,48,6,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.6.mlp.down_proj,model.language_model.layers.6.mlp.down_proj,49,6,down_proj,mlp,4096,11008,sparse_nvfp4,sparse_nvfp4,0.0007234177918162883,4.5866232192169125
model.language_model.layers.7.self_attn.q_proj,model.language_model.layers.7.self_attn.q_proj,50,7,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00023373991710331008,1.257995
model.language_model.layers.7.self_attn.k_proj,model.language_model.layers.7.self_attn.k_proj,51,7,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00019332083185727086,1.257995
model.language_model.layers.7.self_attn.v_proj,model.language_model.layers.7.self_attn.v_proj,52,7,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.000444154421021376,1.257995
model.language_model.layers.7.self_attn.o_proj,model.language_model.layers.7.self_attn.o_proj,53,7,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.7.mlp.gate_proj,model.language_model.layers.7.mlp.gate_proj,54,7,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,6.993269319161178
model.language_model.layers.7.mlp.up_proj,model.language_model.layers.7.mlp.up_proj,55,7,up_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,0.00021450227802364102,3.0619853161530486
model.language_model.layers.7.mlp.down_proj,model.language_model.layers.7.mlp.down_proj,56,7,down_proj,mlp,4096,11008,sparse_nvfp4,sparse_nvfp4,0.0007384697812238521,4.5866232192169125
model.language_model.layers.8.self_attn.q_proj,model.language_model.layers.8.self_attn.q_proj,57,8,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00023105197461202785,1.257995
model.language_model.layers.8.self_attn.k_proj,model.language_model.layers.8.self_attn.k_proj,58,8,k_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,4.6197432883596066e-05,1.969835
model.language_model.layers.8.self_attn.v_proj,model.language_model.layers.8.self_attn.v_proj,59,8,v_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,0.0002246409464673498,1.969835
model.language_model.layers.8.self_attn.o_proj,model.language_model.layers.8.self_attn.o_proj,60,8,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.000831182594066848,1.8060494999999999
model.language_model.layers.8.mlp.gate_proj,model.language_model.layers.8.mlp.gate_proj,61,8,gate_proj,mlp,11008,4096,sparse_bf16,sparse_bf16,0.0003073198376398481,3.3904291110950173
model.language_model.layers.8.mlp.up_proj,model.language_model.layers.8.mlp.up_proj,62,8,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0007947560550591073,2.5708457841501398
model.language_model.layers.8.mlp.down_proj,model.language_model.layers.8.mlp.down_proj,63,8,down_proj,mlp,4096,11008,dense_bf16,dense_bf16,0.0,7.019237382643977
model.language_model.layers.9.self_attn.q_proj,model.language_model.layers.9.self_attn.q_proj,64,9,q_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,6.932911290986725e-05,1.969835
model.language_model.layers.9.self_attn.k_proj,model.language_model.layers.9.self_attn.k_proj,65,9,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0001780402655974973,1.257995
model.language_model.layers.9.self_attn.v_proj,model.language_model.layers.9.self_attn.v_proj,66,9,v_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,0.00020898698729743687,1.969835
model.language_model.layers.9.self_attn.o_proj,model.language_model.layers.9.self_attn.o_proj,67,9,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0005085105299270628,1.257995
