key,family,policy_name,policy_json,batch_size,predicted_linear_latency_ms,predicted_linear_speedup_vs_dense,predicted_quality_cost,backend_counts,replacement_ratio,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,parent_point,mutation_rate,suspicious_module_count
random_random_001,random,random_001,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_001.json,16,960.1751204355645,1.0255198616521564,0.026395601503066933,"{'dense_bf16': 211, 'dense_nvfp4': 6, 'sparse_bf16': 1, 'sparse_nvfp4': 6}",0.05,211,6,1,6,,,
random_random_002,random,random_002,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_002.json,16,929.2655643149777,1.0596310618663607,0.031393390263242164,"{'dense_bf16': 195, 'dense_nvfp4': 12, 'sparse_bf16': 9, 'sparse_nvfp4': 8}",0.1,195,12,9,8,,,
random_random_003,random,random_003,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_003.json,16,906.4971520178209,1.0862457256253628,0.06935749017845722,"{'dense_bf16': 186, 'dense_nvfp4': 12, 'sparse_bf16': 12, 'sparse_nvfp4': 14}",0.2,186,12,12,14,,,
random_random_004,random,random_004,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_004.json,16,851.4997167947266,1.1564051487621363,0.0772823233484226,"{'dense_bf16': 154, 'dense_nvfp4': 26, 'sparse_bf16': 28, 'sparse_nvfp4': 16}",0.35,154,26,28,16,,,
random_random_005,random,random_005,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_005.json,16,757.7819396887404,1.2994221755606636,0.1688325305181093,"{'dense_bf16': 108, 'dense_nvfp4': 41, 'sparse_bf16': 39, 'sparse_nvfp4': 36}",0.5,108,41,39,36,,,
random_random_006,random,random_006,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_006.json,16,700.0596743420344,1.4065638869949098,0.2084287889667012,"{'dense_bf16': 84, 'dense_nvfp4': 44, 'sparse_bf16': 46, 'sparse_nvfp4': 50}",0.65,84,44,46,50,,,
random_random_007,random,random_007,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_007.json,16,642.2512899754124,1.533167269634631,0.2456362389500904,"{'dense_bf16': 40, 'dense_nvfp4': 57, 'sparse_bf16': 67, 'sparse_nvfp4': 60}",0.8,40,57,67,60,,,
random_random_008,random,random_008,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_008.json,16,542.6303829449124,1.8146397393506932,0.2955746024005137,"{'dense_nvfp4': 66, 'sparse_bf16': 88, 'sparse_nvfp4': 70}",1.0,0,66,88,70,,,
random_random_009,random,random_009,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_009.json,16,965.0878672753332,1.020299487808192,0.030172579544929953,"{'dense_bf16': 214, 'dense_nvfp4': 3, 'sparse_bf16': 4, 'sparse_nvfp4': 3}",0.05,214,3,4,3,,,
random_random_010,random,random_010,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_010.json,16,940.7654760061911,1.0466781379469356,0.04931361149912756,"{'dense_bf16': 195, 'dense_nvfp4': 12, 'sparse_bf16': 8, 'sparse_nvfp4': 9}",0.1,195,12,8,9,,,
random_random_011,random,random_011,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_011.json,16,887.501706208098,1.1094949449483527,0.05640662431291057,"{'dense_bf16': 174, 'dense_nvfp4': 19, 'sparse_bf16': 15, 'sparse_nvfp4': 16}",0.2,174,19,15,16,,,
random_random_012,random,random_012,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_012.json,16,847.7367945410685,1.1615381837991225,0.11989203447437269,"{'dense_bf16': 152, 'dense_nvfp4': 24, 'sparse_bf16': 22, 'sparse_nvfp4': 26}",0.35,152,24,22,26,,,
