key,family,policy_name,policy_json,batch_size,predicted_linear_latency_ms,predicted_linear_speedup_vs_dense,predicted_quality_cost,backend_counts,replacement_ratio,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,parent_point,mutation_rate,suspicious_module_count,actual_batch_size,input_tokens,e2e_prefill_mean_ms,e2e_prefill_p50_ms,e2e_prefill_p90_ms,e2e_prefill_min_ms,e2e_prefill_max_ms,samples_per_sec,global_accuracy,total_right,total_wrong,subset_samples,accuracy_batch_size,calib_samples,replaced_linear_count,skipped_linear_count,backend_counts_runtime,runtime_skipped,warmup,iters,label,fakeclue_accuracy
reference_024_batch_16_point_000,reference_024,batch_16_point_000,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_000.json,16,984.6786566709227,1.0,0.0,"{'dense_bf16': 224, 'dense_nvfp4': 0, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,224,0,0,0,0,,,16,1024,1312.283533,1310.835693,1318.719006,1307.169922,1319.665039,12.192487,0.99300000,993,7,1000,8,128,0,0,{'dense_bf16': 224},[],3,10,batch_16_point_000,0.99300000
reference_024_batch_16_point_004,reference_024,batch_16_point_004,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_004.json,16,968.9535206588902,1.0162289889832274,0.00018781177416607418,"{'dense_bf16': 220, 'dense_nvfp4': 4, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,220,4,0,0,4,,,16,1024,1291.357227,1291.365967,1291.932349,1289.830078,1292.280396,12.390065,0.99300000,993,7,1000,8,128,4,0,"{'dense_bf16': 220, 'dense_nvfp4': 4}",[],3,10,batch_16_point_004,0.99300000
reference_024_batch_16_point_008,reference_024,batch_16_point_008,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_008.json,16,941.4345326378333,1.0459342870203863,0.0009660923416600694,"{'dense_bf16': 213, 'dense_nvfp4': 11, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,213,11,0,0,8,,,16,1024,1282.053137,1282.287231,1282.692505,1281.094360,1282.768311,12.479982,0.99400000,994,6,1000,8,128,11,0,"{'dense_bf16': 213, 'dense_nvfp4': 11}",[],3,10,batch_16_point_008,0.99400000
reference_024_batch_16_point_011,reference_024,batch_16_point_011,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_011.json,16,894.2591246017357,1.1011111092765824,0.0024050409106073796,"{'dense_bf16': 201, 'dense_nvfp4': 23, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,201,23,0,0,11,,,16,1024,1220.815833,1220.436401,1222.721802,1218.544189,1223.331543,13.105990,0.99300000,993,7,1000,8,128,23,0,"{'dense_bf16': 201, 'dense_nvfp4': 23}",[],3,10,batch_16_point_011,0.99300000
reference_024_batch_16_point_015,reference_024,batch_16_point_015,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_015.json,16,752.732900493443,1.3081381935417344,0.00628876239394728,"{'dense_bf16': 165, 'dense_nvfp4': 59, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,165,59,0,0,15,,,16,1024,1091.840649,1091.911377,1092.545557,1090.930054,1092.713867,14.654153,0.99400000,994,6,1000,8,128,59,0,"{'dense_bf16': 165, 'dense_nvfp4': 59}",[],3,10,batch_16_point_015,0.99400000
reference_024_batch_16_point_018,reference_024,batch_16_point_018,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_018.json,16,587.8043501102961,1.6751809619751141,0.023050280472202304,"{'dense_bf16': 103, 'dense_nvfp4': 64, 'sparse_bf16': 57, 'sparse_nvfp4': 0}",,103,64,57,0,18,,,16,1024,949.959863,949.911346,950.200513,949.685730,950.339600,16.842817,0.99200000,992,8,1000,8,128,121,0,"{'dense_bf16': 103, 'dense_nvfp4': 64, 'sparse_bf16': 57}",[],3,10,batch_16_point_018,0.99200000
reference_024_batch_16_point_019,reference_024,batch_16_point_019,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_019.json,16,548.7533711102961,1.7943919955855874,0.03181368247727924,"{'dense_bf16': 70, 'dense_nvfp4': 64, 'sparse_bf16': 90, 'sparse_nvfp4': 0}",,70,64,90,0,19,,,16,1024,914.972687,914.994385,915.141260,914.755615,915.188171,17.486861,0.99300000,993,7,1000,8,128,154,0,"{'dense_bf16': 70, 'dense_nvfp4': 64, 'sparse_bf16': 90}",[],3,10,batch_16_point_019,0.99300000
reference_024_batch_16_point_020,reference_024,batch_16_point_020,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_020.json,16,500.23548811029616,1.9684302295118503,0.04213744969764091,"{'dense_bf16': 29, 'dense_nvfp4': 64, 'sparse_bf16': 131, 'sparse_nvfp4': 0}",,29,64,131,0,20,,,16,1024,864.053986,864.065521,864.329883,863.671753,864.348999,18.517361,0.98800000,988,12,1000,8,128,195,0,"{'dense_bf16': 29, 'dense_nvfp4': 64, 'sparse_bf16': 131}",[],3,10,batch_16_point_020,0.98800000
reference_024_batch_16_point_021,reference_024,batch_16_point_021,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_021.json,16,460.51542625826414,2.138209928539288,0.06277628470124316,"{'dense_bf16': 0, 'dense_nvfp4': 53, 'sparse_bf16': 160, 'sparse_nvfp4': 11}",,0,53,160,11,21,,,16,1024,829.440594,829.443939,829.581476,829.114502,829.747314,19.290110,0.98800000,988,12,1000,8,128,224,0,"{'dense_nvfp4': 53, 'sparse_bf16': 160, 'sparse_nvfp4': 11}",[],3,10,batch_16_point_021,0.98800000
reference_024_batch_16_point_022,reference_024,batch_16_point_022,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_022.json,16,451.1837751502089,2.182433657644497,0.09983027723115029,"{'dense_bf16': 0, 'dense_nvfp4': 34, 'sparse_bf16': 160, 'sparse_nvfp4': 30}",,0,34,160,30,22,,,16,1024,820.230273,820.201324,820.330762,820.112305,820.481934,19.506717,0.93300000,933,67,1000,8,128,224,0,"{'dense_nvfp4': 34, 'sparse_bf16': 160, 'sparse_nvfp4': 30}",[],3,10,batch_16_point_022,0.93300000
reference_024_batch_16_point_025,reference_024,batch_16_point_025,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_025.json,16,434.48503106211,2.266312039022035,0.23572979522396667,"{'dense_bf16': 0, 'dense_nvfp4': 0, 'sparse_bf16': 160, 'sparse_nvfp4': 64}",,0,0,160,64,25,,,16,1024,798.908258,798.871094,799.089960,798.716492,799.200867,20.027331,0.92700000,927,73,1000,8,128,224,0,"{'sparse_bf16': 160, 'sparse_nvfp4': 64}",[],3,10,batch_16_point_025,0.92700000
