model,method,scenario,batch_size,input_tokens,output_tokens,m_prefill,iteration,prefill_ms,gpu,torch_version,cuda_version,device_name,warmup_iters,measure_iters,replaced_linear_count,skipped_linear_count,backend_counts,policy_json
Llama-2-7B,dense_bf16,prefill_only,16,1024,0,16384,0,1797.875732421875,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,,,,
Llama-2-7B,dense_bf16,prefill_only,16,1024,0,16384,1,1795.5604248046875,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,,,,
Llama-2-7B,dense_bf16,prefill_only,16,1024,0,16384,2,1797.6524658203125,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,,,,
Llama-2-7B,dense_bf16,prefill_only,16,1024,0,16384,3,1799.9134521484375,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,,,,
Llama-2-7B,dense_bf16,prefill_only,16,1024,0,16384,4,1804.6392822265625,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,,,,
Llama-2-7B,sparse_bf16,prefill_only,16,1024,0,16384,0,1182.423095703125,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,224,0,"{""sparse_bf16"": 224}",artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/sparse_bf16_policy.json
Llama-2-7B,sparse_bf16,prefill_only,16,1024,0,16384,1,1182.5367431640625,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,224,0,"{""sparse_bf16"": 224}",artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/sparse_bf16_policy.json
Llama-2-7B,sparse_bf16,prefill_only,16,1024,0,16384,2,1181.9049072265625,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,224,0,"{""sparse_bf16"": 224}",artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/sparse_bf16_policy.json
Llama-2-7B,sparse_bf16,prefill_only,16,1024,0,16384,3,1182.38623046875,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,224,0,"{""sparse_bf16"": 224}",artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/sparse_bf16_policy.json
Llama-2-7B,sparse_bf16,prefill_only,16,1024,0,16384,4,1181.590576171875,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,224,0,"{""sparse_bf16"": 224}",artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/sparse_bf16_policy.json
Llama-2-7B,marlin_nvfp4,prefill_only,16,1024,0,16384,0,1791.4306640625,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,0,224,{},artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/marlin_nvfp4_policy.json
Llama-2-7B,marlin_nvfp4,prefill_only,16,1024,0,16384,1,1797.4456787109375,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,0,224,{},artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/marlin_nvfp4_policy.json
Llama-2-7B,marlin_nvfp4,prefill_only,16,1024,0,16384,2,1802.523681640625,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,0,224,{},artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/marlin_nvfp4_policy.json
Llama-2-7B,marlin_nvfp4,prefill_only,16,1024,0,16384,3,1803.0325927734375,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,0,224,{},artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/marlin_nvfp4_policy.json
Llama-2-7B,marlin_nvfp4,prefill_only,16,1024,0,16384,4,1804.031982421875,0,2.9.0+cu128,12.8,NVIDIA GeForce RTX 4090,1,5,0,224,{},artifacts/debug/025_llama2_4090_prefill_speed/results/method_policies/marlin_nvfp4_policy.json
