timestamp,scenario,method,batch_size,actual_batch_size,input_tokens,actual_input_tokens,output_tokens,warmup,iters,prefill_ms,decode_avg_ms,decode_first_ms,decode_steady_ms,decode_total_ms,e2e_ms,samples_per_sec,policy_json,replaced_linear_count,skipped_linear_count,backend_counts,skipped,calib_samples,cuda_visible_devices,device_name,torch_version,cuda_version
2026-06-23T05:25:47,prefill_only,uniform_dense_nvfp4,16,16,1024,1024,0,3,10,984.523566,0.000000,0.000000,0.000000,0.000000,984.523566,16.251516,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/prefill_only/uniform_dense_nvfp4/policy.json,224,0,"{""cutlass_nvfp4_sm120"": 224, ""skipped"": 0}",[],0,6,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:25:50,prefill_only,dense_bf16,16,16,1024,1024,0,3,10,1294.332178,0.000000,0.000000,0.000000,0.000000,1294.332178,12.361587,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/prefill_only/dense_bf16/policy.json,0,0,"{""dense_bf16"": 224}",[],0,5,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:26:21,prefill_only,uniform_marlin_weight_only,16,16,1024,1024,0,3,10,1307.005701,0.000000,0.000000,0.000000,0.000000,1307.005701,12.241722,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/prefill_only/uniform_marlin_weight_only/policy.json,224,0,"{""marlin_nvfp4_sm120"": 224, ""skipped"": 0}",[],0,5,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:26:26,prefill_only,uniform_sparse_bf16,16,16,1024,1024,0,3,10,851.797430,0.000000,0.000000,0.000000,0.000000,851.797430,18.783809,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/prefill_only/uniform_sparse_bf16/policy.json,224,0,"{""cutlass_sparse_bf16_cusparselt"": 224, ""skipped"": 0}",[],128,7,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:26:36,prefill_only,uniform_sparse_nvfp4,16,16,1024,1024,0,3,10,926.891687,0.000000,0.000000,0.000000,0.000000,926.891687,17.261995,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/prefill_only/uniform_sparse_nvfp4/policy.json,224,0,"{""cutlass_sparse_nvfp4_sm120"": 224, ""skipped"": 0}",[],128,6,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:26:49,prefill_only,uniform_dense_nvfp4_prefill_marlin_decode,16,16,1024,1024,0,3,10,982.372198,0.000000,0.000000,0.000000,0.000000,982.372198,16.287106,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/prefill_only/uniform_dense_nvfp4_prefill_marlin_decode/policy.json,224,0,"{""dense_nvfp4_prefill_marlin_decode"": 224, ""skipped"": 0}",[],0,5,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:29:35,normal_01,dense_bf16,1,1,16384,16384,32,3,10,3029.640308,59.064984,59.523958,59.050178,1890.079475,4919.719782,0.203264,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_01/dense_bf16/policy.json,0,0,"{""dense_bf16"": 224}",[],0,6,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:29:40,normal_01,uniform_dense_nvfp4,1,1,16384,16384,32,3,10,2696.266382,83.764560,85.630894,83.704355,2680.465912,5376.732294,0.185987,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_01/uniform_dense_nvfp4/policy.json,224,0,"{""cutlass_nvfp4_sm120"": 224, ""skipped"": 0}",[],0,7,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:30:16,prefill_only,our_linear_hybrid,16,16,1024,1024,0,3,10,796.737274,0.000000,0.000000,0.000000,0.000000,796.737274,20.081902,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/prefill_only/our_linear_hybrid/policy.json,224,0,"{""sparse_bf16"": 160, ""sparse_nvfp4"": 64}",[],128,5,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:31:11,normal_01,uniform_sparse_bf16,1,1,16384,16384,32,3,10,2587.000220,65.605302,66.152221,65.587659,2099.369650,4686.369870,0.213385,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_01/uniform_sparse_bf16/policy.json,224,0,"{""cutlass_sparse_bf16_cusparselt"": 224, ""skipped"": 0}",[],128,6,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:31:20,normal_01,uniform_sparse_nvfp4,1,1,16384,16384,32,3,10,2635.919067,90.466300,91.613068,90.429307,2894.921598,5530.840665,0.180804,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_01/uniform_sparse_nvfp4/policy.json,224,0,"{""cutlass_sparse_nvfp4_sm120"": 224, ""skipped"": 0}",[],128,7,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:31:26,normal_01,uniform_marlin_weight_only,1,1,16384,16384,32,3,10,3022.508643,53.429381,54.123632,53.406986,1709.740199,4732.248841,0.211316,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_01/uniform_marlin_weight_only/policy.json,224,0,"{""marlin_nvfp4_sm120"": 224, ""skipped"": 0}",[],0,5,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:32:19,normal_01,uniform_dense_nvfp4_prefill_marlin_decode,1,1,16384,16384,32,3,10,2714.203174,53.699605,54.056726,53.688085,1718.387347,4432.590520,0.225602,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_01/uniform_dense_nvfp4_prefill_marlin_decode/policy.json,224,0,"{""dense_nvfp4_prefill_marlin_decode"": 224, ""skipped"": 0}",[],0,6,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:33:24,normal_01,our_linear_hybrid,1,1,16384,16384,32,3,10,2694.890479,53.308297,53.420282,53.304684,1705.865500,4400.755978,0.227234,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_01/our_linear_hybrid/policy.json,224,0,"{""dense_nvfp4->marlin_nvfp4"": 224}",[],128,7,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:34:51,normal_02,dense_bf16,1,1,16384,16384,256,3,10,3019.876416,59.007805,59.265277,59.006796,15105.998161,18125.874577,0.055170,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_02/dense_bf16/policy.json,0,0,"{""dense_bf16"": 224}",[],0,5,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:36:36,normal_02,uniform_dense_nvfp4,1,1,16384,16384,256,3,10,2711.982739,80.400559,81.400220,80.396639,20582.543131,23294.525871,0.042929,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_02/uniform_dense_nvfp4/policy.json,224,0,"{""cutlass_nvfp4_sm120"": 224, ""skipped"": 0}",[],0,6,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:37:28,normal_02,uniform_sparse_bf16,1,1,16384,16384,256,3,10,2572.652856,65.449647,65.529696,65.449333,16755.109674,19327.762531,0.051739,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_02/uniform_sparse_bf16/policy.json,224,0,"{""cutlass_sparse_bf16_cusparselt"": 224, ""skipped"": 0}",[],128,7,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
2026-06-23T05:39:40,normal_02,uniform_sparse_nvfp4,1,1,16384,16384,256,3,10,2632.359302,86.957452,87.171938,86.956611,22261.107824,24893.467126,0.040171,artifacts/debug/026_fakevlm_cross_workload_robustness/policies/normal_02/uniform_sparse_nvfp4/policy.json,224,0,"{""cutlass_sparse_nvfp4_sm120"": 224, ""skipped"": 0}",[],128,5,NVIDIA GeForce RTX 5090,2.9.0+cu128,12.8
