name,n,k,count,selected_prefill_backend,selected_decode_backend,selected_total_ms,selected_prefill_ms,selected_decode_ms,selected_conversion_ms,reason
language_model.layers.0.linear_attn.out_proj,1024,2048,1,dense_bf16,dense_bf16,6.412232,0.395976,0.023501,0.0,
language_model.layers.0.linear_attn.in_proj_qkv,6144,1024,1,dense_bf16,dense_bf16,8.941411971430908,1.0328753493285683,0.030892721180087266,0.0,
language_model.layers.0.linear_attn.in_proj_z,2048,1024,1,dense_bf16,dense_bf16,6.436002,0.356002,0.02375,0.0,
language_model.layers.0.linear_attn.in_proj_b,16,1024,1,dense_bf16,dense_bf16,6.176952999999999,0.026553,0.024024999999999998,0.0,
language_model.layers.0.linear_attn.in_proj_a,16,1024,1,dense_bf16,dense_bf16,6.176952999999999,0.026553,0.024024999999999998,0.0,
language_model.layers.0.mlp.gate_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.0.mlp.up_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.0.mlp.down_proj,1024,3584,1,dense_bf16,dense_bf16,7.817127488812515,0.6584719146989862,0.02796349833638097,0.0,
language_model.layers.1.linear_attn.out_proj,1024,2048,1,dense_bf16,dense_bf16,6.412232,0.395976,0.023501,0.0,
language_model.layers.1.linear_attn.in_proj_qkv,6144,1024,1,dense_bf16,dense_bf16,8.941411971430908,1.0328753493285683,0.030892721180087266,0.0,
language_model.layers.1.linear_attn.in_proj_z,2048,1024,1,dense_bf16,dense_bf16,6.436002,0.356002,0.02375,0.0,
language_model.layers.1.linear_attn.in_proj_b,16,1024,1,dense_bf16,dense_bf16,6.176952999999999,0.026553,0.024024999999999998,0.0,
language_model.layers.1.linear_attn.in_proj_a,16,1024,1,dense_bf16,dense_bf16,6.176952999999999,0.026553,0.024024999999999998,0.0,
language_model.layers.1.mlp.gate_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.1.mlp.up_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.1.mlp.down_proj,1024,3584,1,dense_bf16,dense_bf16,7.817127488812515,0.6584719146989862,0.02796349833638097,0.0,
language_model.layers.2.linear_attn.out_proj,1024,2048,1,dense_bf16,dense_bf16,6.412232,0.395976,0.023501,0.0,
language_model.layers.2.linear_attn.in_proj_qkv,6144,1024,1,dense_bf16,dense_bf16,8.941411971430908,1.0328753493285683,0.030892721180087266,0.0,
language_model.layers.2.linear_attn.in_proj_z,2048,1024,1,dense_bf16,dense_bf16,6.436002,0.356002,0.02375,0.0,
language_model.layers.2.linear_attn.in_proj_b,16,1024,1,dense_bf16,dense_bf16,6.176952999999999,0.026553,0.024024999999999998,0.0,
language_model.layers.2.linear_attn.in_proj_a,16,1024,1,dense_bf16,dense_bf16,6.176952999999999,0.026553,0.024024999999999998,0.0,
language_model.layers.2.mlp.gate_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.2.mlp.up_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.2.mlp.down_proj,1024,3584,1,dense_bf16,dense_bf16,7.817127488812515,0.6584719146989862,0.02796349833638097,0.0,
language_model.layers.3.self_attn.q_proj,4096,1024,1,dense_bf16,dense_bf16,6.9730289999999995,0.646629,0.0247125,0.0,
language_model.layers.3.self_attn.k_proj,512,1024,1,dense_bf16,dense_bf16,6.199646,0.113502,0.023774,0.0,
language_model.layers.3.self_attn.v_proj,512,1024,1,dense_bf16,dense_bf16,6.199646,0.113502,0.023774,0.0,
language_model.layers.3.self_attn.o_proj,1024,2048,1,dense_bf16,dense_bf16,6.412232,0.395976,0.023501,0.0,
language_model.layers.3.mlp.gate_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.3.mlp.up_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.3.mlp.down_proj,1024,3584,1,dense_bf16,dense_bf16,7.817127488812515,0.6584719146989862,0.02796349833638097,0.0,
language_model.layers.4.linear_attn.out_proj,1024,2048,1,dense_bf16,dense_bf16,6.412232,0.395976,0.023501,0.0,
language_model.layers.4.linear_attn.in_proj_qkv,6144,1024,1,dense_bf16,dense_bf16,8.941411971430908,1.0328753493285683,0.030892721180087266,0.0,
language_model.layers.4.linear_attn.in_proj_z,2048,1024,1,dense_bf16,dense_bf16,6.436002,0.356002,0.02375,0.0,
language_model.layers.4.linear_attn.in_proj_b,16,1024,1,dense_bf16,dense_bf16,6.176952999999999,0.026553,0.024024999999999998,0.0,
language_model.layers.4.linear_attn.in_proj_a,16,1024,1,dense_bf16,dense_bf16,6.176952999999999,0.026553,0.024024999999999998,0.0,
language_model.layers.4.mlp.gate_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.4.mlp.up_proj,3584,1024,1,dense_bf16,dense_bf16,7.666091388967165,0.613691238684386,0.027548438087042104,0.0,
language_model.layers.4.mlp.down_proj,1024,3584,1,dense_bf16,dense_bf16,7.817127488812515,0.6584719146989862,0.02796349833638097,0.0,
language_model.layers.5.linear_attn.out_proj,1024,2048,1,dense_bf16,dense_bf16,6.412232,0.395976,0.023501,0.0,
