model_variant,average,dense_bf16_speedup_vs_dense,uniform_dense_nvfp4_speedup_vs_dense,uniform_sparse_bf16_speedup_vs_dense,uniform_sparse_nvfp4_speedup_vs_dense,uniform_marlin_weight_only_speedup_vs_dense,uniform_dense_nvfp4_prefill_marlin_decode_speedup_vs_dense,our_linear_hybrid_speedup_vs_dense
0.8B,arith_mean,1.000000,0.759863,0.938025,0.707366,0.956804,0.892365,1.102073
0.8B,geomean,1.000000,0.747073,0.927356,0.684131,0.956365,0.891726,1.100273
2B,arith_mean,1.000000,0.790420,0.963455,0.720529,0.925777,0.944688,1.036082
2B,geomean,1.000000,0.771828,0.947075,0.692925,0.924726,0.942127,1.027291
4B,arith_mean,1.000000,0.803491,1.017203,0.804563,0.979946,1.034653,1.109249
4B,geomean,1.000000,0.781766,1.005114,0.772795,0.979378,1.033562,1.104582
9B,arith_mean,1.000000,0.872598,1.066123,0.870440,0.980373,1.092314,1.186615
9B,geomean,1.000000,0.832526,1.044191,0.819688,0.979385,1.084884,1.173169
llama2-7b,arith_mean,1.000000,0.935651,1.206128,0.931602,1.086830,1.293542,1.428759
llama2-7b,geomean,1.000000,0.885173,1.170575,0.856264,1.083270,1.292555,1.410692
llama31-8b,arith_mean,1.000000,0.911697,1.188209,0.912202,1.026993,1.196479,1.449815
llama31-8b,geomean,1.000000,0.849703,1.143710,0.812477,1.026060,1.188956,1.410485
all_models,overall_arith_mean,1.000000,0.845620,1.063191,0.824450,0.992787,1.075673,1.218765
all_models,overall_geomean,1.000000,0.809920,1.035675,0.770299,0.990243,1.063602,1.195158
