model_variant,scenario,dense_bf16_e2e_ms,dense_bf16_speedup_vs_dense,uniform_dense_nvfp4_e2e_ms,uniform_dense_nvfp4_speedup_vs_dense,uniform_sparse_bf16_e2e_ms,uniform_sparse_bf16_speedup_vs_dense,uniform_sparse_nvfp4_e2e_ms,uniform_sparse_nvfp4_speedup_vs_dense,uniform_marlin_weight_only_e2e_ms,uniform_marlin_weight_only_speedup_vs_dense,uniform_dense_nvfp4_prefill_marlin_decode_e2e_ms,uniform_dense_nvfp4_prefill_marlin_decode_speedup_vs_dense,our_linear_hybrid_e2e_ms,our_linear_hybrid_speedup_vs_dense
0.8B,prefill_only,364.435388,1.000000,387.813461,0.939718,329.894006,1.104704,388.073111,0.939090,365.709152,0.996517,387.481464,0.940523,329.539230,1.105894
0.8B,normal_01,1853.396156,1.000000,2499.780348,0.741424,1956.687529,0.947211,2702.128812,0.685902,1958.379214,0.946393,2134.662693,0.868238,1574.616893,1.177046
0.8B,normal_02,6329.127082,1.000000,10575.926613,0.598447,8304.190253,0.762161,12731.945417,0.497106,6823.837327,0.927503,7288.827834,0.868333,6185.134202,1.023280
2B,prefill_only,526.807068,1.000000,515.926495,1.021089,432.096515,1.219188,525.812415,1.001892,532.952997,0.988468,519.633807,1.013804,430.457925,1.223829
2B,normal_01,1884.916976,1.000000,2517.027112,0.748866,2157.453604,0.873677,2925.757852,0.644249,2120.616180,0.888853,2214.772550,0.851066,2097.785668,0.898527
2B,normal_02,6682.312016,1.000000,11113.036247,0.601304,8379.065821,0.797501,12964.142685,0.515446,7424.710545,0.900010,6894.701404,0.969195,6777.953675,0.985889
4B,prefill_only,1322.743689,1.000000,1255.327881,1.053704,1089.920288,1.213615,1210.764185,1.092487,1346.275574,0.982521,1211.667578,1.091672,1054.070081,1.254892
4B,normal_01,3167.935927,1.000000,4164.576678,0.760686,3143.812619,1.007673,4068.324697,0.778683,3107.709970,1.019380,3055.684495,1.036735,3013.305716,1.051316
4B,normal_02,9730.889331,1.000000,16324.721304,0.596083,11719.433075,0.830321,17936.452505,0.542520,10374.776138,0.937937,9974.761813,0.975551,9525.723662,1.021538
9B,prefill_only,1843.596326,1.000000,1541.040564,1.196332,1378.117017,1.337765,1479.159595,1.246381,1868.757751,0.986536,1478.901648,1.246598,1295.717493,1.422838
9B,normal_01,3626.062152,1.000000,4207.724904,0.861763,3452.363627,1.050313,4331.976929,0.837046,3517.908204,1.030744,3313.139869,1.094449,3149.069213,1.151471
9B,normal_02,9619.825766,1.000000,17187.491928,0.559699,11872.053228,0.810292,18223.075883,0.527893,10412.867789,0.923840,10278.735022,0.935896,9760.998612,0.985537
llama2-7b,prefill_only,1143.555542,1.000000,834.017395,1.371141,711.436505,1.607389,776.407550,1.472881,1159.218604,0.986488,837.380829,1.365634,649.320093,1.761158
llama2-7b,normal_01,2402.678114,1.000000,2945.571920,0.815692,2144.935547,1.120163,3144.607982,0.764063,2240.424323,1.072421,1912.384818,1.256378,1896.383261,1.266979
llama2-7b,normal_02,8862.109505,1.000000,14290.963131,0.620120,9948.134497,0.890831,15885.859853,0.557861,7375.381216,1.201580,7041.163533,1.258614,7043.821485,1.258139
llama31-8b,prefill_only,1212.722974,1.000000,875.412866,1.385315,746.154919,1.625296,809.294086,1.498495,1222.004150,0.992405,874.488562,1.386780,623.995978,1.943479
llama31-8b,normal_01,2076.405363,1.000000,2637.501861,0.787262,1870.179025,1.110271,2668.330610,0.778166,2078.125480,0.999172,1833.765562,1.132318,1647.299417,1.260491
llama31-8b,normal_02,5934.215068,1.000000,10549.452715,0.562514,7157.757000,0.829061,12902.012397,0.459945,5447.219169,1.089403,5544.243098,1.070338,5180.573583,1.145475
