layer,modules,mean_output_rel_mse,mean_quality_cost,normalized_mean_output_rel_mse,normalized_mean_quality_cost
0,7,0.02739842494310186,0.0007912283754055466,0.24677547510514017,0.20857071574684158
1,7,0.04911153646588489,0.002909919842859493,0.4423437759535702,0.7670655947848943
2,7,0.08940313681832977,0.006923722343649355,0.805247075700528,1.825118726445035
3,7,0.10730829808305682,0.0026741281045741657,0.9665174657727001,0.7049100235869381
4,7,0.08991356853157567,0.00412441998803611,0.8098444943042095,1.0872123089675039
5,7,0.1014045947693795,0.0025269678578034864,0.9133432707911265,0.666118040194393
6,7,0.10143707855718054,0.0033576969004737835,0.9136358497325971,0.8851012774078264
7,7,0.10564783296573127,0.004876527079828276,0.9515617860548158,1.2854705101764337
8,7,0.1068736384206804,0.003056857715249726,0.9626025201174395,0.805798959471216
9,7,0.1087118939816972,0.005068954624793447,0.9791595444856889,1.3361951202009692
10,7,0.1090691043005563,0.0030801796063276918,0.9823769099485568,0.8119466959097734
11,7,0.11521411185727921,0.005812068345737024,1.0377245134142359,1.5320826357100776
12,7,0.11815056999847108,0.003730861592859313,1.0641729627110055,0.9834688655803401
13,7,0.11315764135564771,0.0046552136472779535,1.0192020441068317,1.2271314737285157
14,7,0.11957675518548008,0.003822246921200394,1.0770185013813103,1.0075583749221781
15,7,0.11267458276194013,0.00405883294238942,1.0148511730544494,1.0699233220207967
16,7,0.10367635456285357,0.00261609658512554,0.9338048339475321,0.689612701191147
17,7,0.12286454416544504,0.003805349602135712,1.1066313601226874,1.003104179343415
18,7,0.11776980948997,0.002077269967667038,1.0607434825280475,0.5475760190395914
19,7,0.10937685838251394,0.0028320061987782085,0.9851488269455505,0.7465272710624306
20,7,0.1195614980946466,0.004799353586704171,1.0768810819549393,1.2651272929740318
21,7,0.12029218985080374,0.003129865084594008,1.0834623655745468,0.8250439710914403
22,7,0.12871960693558965,0.011569552670280482,1.1593674535248972,3.0497767222697947
23,7,0.13184264319459973,0.003848588496322553,1.1874963973670443,1.0145021112035166
24,7,0.12459264396852161,0.004493434977369874,1.1221962201764653,1.1844860201222729
25,7,0.1293221617969118,0.013233874031827325,1.1647946181333912,3.488497966856935
26,7,0.1196110780789636,0.0036336518427222235,1.077327645004127,0.9578440171877729
27,7,0.12049468296227628,0.003183075079811532,1.0852862052256556,0.8390703219306865
28,7,0.11304780829016063,0.008542772999548824,1.0182127862581007,2.251906446183048
29,7,0.10319897828267993,0.007565712763431783,0.9295051430496641,1.9943497670886485
30,7,0.07791494101258582,0.0037817977360929365,0.7017737926942683,0.996895820656585
31,7,0.06029674973094116,0.003034124538081411,0.5430881188626514,0.7998064101888867
