policy_index,policy_name,policy_json,label,backend_counts,sparse_bf16_count,scenario
0,policy_000_dense_bf16_baseline,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_000_dense_bf16_baseline.json,dense_bf16_baseline,{'dense_bf16': 224},0,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_baseline'}"
1,policy_001_uniform_sparse_bf16,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_001_uniform_sparse_bf16.json,uniform_sparse_bf16,{'sparse_bf16': 224},224,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_uniform'}"
2,policy_002_lowerr_count_45,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_002_lowerr_count_45.json,lowerr_count_45,"{'dense_bf16': 179, 'sparse_bf16': 45}",45,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_lowerr', 'count': 45}"
3,policy_003_speed_count_45,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_003_speed_count_45.json,speed_count_45,"{'dense_bf16': 179, 'sparse_bf16': 45}",45,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_speed', 'count': 45}"
4,policy_004_random_count_45_seed_11,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_004_random_count_45_seed_11.json,random_count_45_seed_11,"{'dense_bf16': 179, 'sparse_bf16': 45}",45,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_random', 'count': 45, 'seed': 11}"
5,policy_005_random_count_45_seed_23,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_005_random_count_45_seed_23.json,random_count_45_seed_23,"{'dense_bf16': 179, 'sparse_bf16': 45}",45,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_random', 'count': 45, 'seed': 23}"
6,policy_006_random_count_45_seed_37,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_006_random_count_45_seed_37.json,random_count_45_seed_37,"{'dense_bf16': 179, 'sparse_bf16': 45}",45,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_random', 'count': 45, 'seed': 37}"
7,policy_007_lowerr_count_78,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_007_lowerr_count_78.json,lowerr_count_78,"{'dense_bf16': 146, 'sparse_bf16': 78}",78,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_lowerr', 'count': 78}"
8,policy_008_speed_count_78,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_008_speed_count_78.json,speed_count_78,"{'dense_bf16': 146, 'sparse_bf16': 78}",78,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_speed', 'count': 78}"
9,policy_009_random_count_78_seed_11,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_009_random_count_78_seed_11.json,random_count_78_seed_11,"{'dense_bf16': 146, 'sparse_bf16': 78}",78,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_random', 'count': 78, 'seed': 11}"
10,policy_010_random_count_78_seed_23,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_010_random_count_78_seed_23.json,random_count_78_seed_23,"{'dense_bf16': 146, 'sparse_bf16': 78}",78,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_random', 'count': 78, 'seed': 23}"
11,policy_011_random_count_78_seed_37,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_011_random_count_78_seed_37.json,random_count_78_seed_37,"{'dense_bf16': 146, 'sparse_bf16': 78}",78,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_random', 'count': 78, 'seed': 37}"
